time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,9.9992866413e-01,6.7824754361e-05,2.6917193626e-07,3.0909181582e-07,3.9634696576e-07,1.6628483623e-06,8.7365663946e-07,2.4403784424e-02
1.0000000000e+00,9.9971315143e-01,2.7285474065e-04,1.0751221039e-06,1.2423188815e-06,1.5866211155e-06,6.5811177774e-06,3.5086466156e-06,4.9034655447e-02
1.5000000000e+00,9.9935334725e-01,6.1516386468e-04,2.4177651211e-06,2.8037471676e-06,3.5610056447e-06,1.4823424741e-05,7.8829475671e-06,7.3818521181e-02
2.0000000000e+00,9.9885480603e-01,1.0896018848e-03,4.3164807095e-06,4.8997705950e-06,6.3069041967e-06,2.6197963554e-05,1.3870964929e-05,9.8461922294e-02
2.5000000000e+00,9.9820931736e-01,1.7042522649e-03,6.7511122497e-06,7.5764975700e-06,9.8837799380e-06,4.0636851849e-05,2.1582133125e-05,1.2337634223e-01
3.0000000000e+00,9.9744896607e-01,2.4265742977e-03,9.8667779332e-06,1.0937718346e-05,1.4262306691e-05,5.8288036710e-05,3.1104795957e-05,1.4793089597e-01
3.5000000000e+00,9.9654507999e-01,3.2848746865e-03,1.3513290715e-05,1.4865377758e-05,1.9694241299e-05,7.9148930923e-05,4.2823487001e-05,1.7285930092e-01
4.0000000000e+00,9.9546765952e-01,4.3088797834e-03,1.8086265785e-05,1.9281226720e-05,2.6195113836e-05,1.0378783272e-04,5.6110257706e-05,1.9860386079e-01
4.5000000000e+00,9.9427923602e-01,5.4383430089e-03,2.3005456825e-05,2.4615765523e-05,3.3124005343e-05,1.3111601947e-04,7.0559724226e-05,2.2375238671e-01
5.0000000000e+00,9.9300803823e-01,6.6477792665e-03,2.8068047450e-05,3.0422695907e-05,4.0513343916e-05,1.5858207913e-04,8.6596341994e-05,2.4790563437e-01
5.5000000000e+00,9.9146240553e-01,8.1199487598e-03,3.4431293030e-05,3.7063855024e-05,4.9157915372e-05,1.9220856535e-04,1.0478408481e-04,2.7439522042e-01
6.0000000000e+00,9.8983695927e-01,9.6669909214e-03,4.1365806331e-05,4.3810450552e-05,5.8259473556e-05,2.2956197756e-04,1.2305210177e-04,2.9991848614e-01
6.5000000000e+00,9.8818073139e-01,1.1232653396e-02,4.9780615594e-05,5.2195504181e-05,6.8851448587e-05,2.7100535097e-04,1.4478229948e-04,3.2507228515e-01
7.0000000000e+00,9.8631768319e-01,1.2998476635e-02,5.8518884576e-05,6.0399957713e-05,8.1045122626e-05,3.1459855121e-04,1.6927765961e-04,3.5093856503e-01
7.5000000000e+00,9.8440027260e-01,1.4818329333e-02,6.7504890078e-05,6.8498537932e-05,9.2522848554e-05,3.6124966932e-04,1.9162212409e-04,3.7552454984e-01
8.0000000000e+00,9.8221938926e-01,1.6892517320e-02,7.8943756040e-05,7.8169547745e-05,1.0629391139e-04,4.0853989925e-04,2.1614630652e-04,4.0175900410e-01
8.5000000000e+00,9.7990372950e-01,1.9095537108e-02,8.9922653478e-05,8.8614069181e-05,1.1984070167e-04,4.5928019342e-04,2.4307577177e-04,4.2783504341e-01
9.0000000000e+00,9.7741576420e-01,2.1460378747e-02,1.0226736190e-04,1.0011508862e-04,1.3450189103e-04,5.1554715520e-04,2.7142555790e-04,4.5438963821e-01
9.5000000000e+00,9.7472226563e-01,2.4018169330e-02,1.1719656769e-04,1.1347873380e-04,1.5246197788e-04,5.7490257366e-04,3.0152518994e-04,4.8201602792e-01
1.0000000000e+01,9.7188799205e-01,2.6718514548e-02,1.3343991039e-04,1.2623155383e-04,1.6741179652e-04,6.3254256525e-04,3.3386757322e-04,5.0898945920e-01
1.0500000000e+01,9.6884916840e-01,2.9613155923e-02,1.4984133118e-04,1.3998483874e-04,1.8682712077e-04,6.9351100606e-04,3.6751137787e-04,5.3656804599e-01
1.1000000000e+01,9.6605017374e-01,3.2269990678e-02,1.6650237331e-04,1.5361133081e-04,2.0572088425e-04,7.5034469268e-04,4.0365630209e-04,5.6141284105e-01
1.1500000000e+01,9.6307734286e-01,3.5077630764e-02,1.8549782089e-04,1.7009394227e-04,2.2494100965e-04,8.2186682931e-04,4.4262677272e-04,5.8738598321e-01
1.2000000000e+01,9.6003447103e-01,3.7948020060e-02,2.0521124665e-04,1.8668780131e-04,2.4682072800e-04,8.9575836797e-04,4.8303076418e-04,6.1314793017e-01
1.2500000000e+01,9.5681189223e-01,4.0998325716e-02,2.2707705231e-04,2.0282254484e-04,2.6803630011e-04,9.6472317690e-04,5.2712297934e-04,6.3902596232e-01
