time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,9.9992865598e-01,6.7832932535e-05,2.6915836562e-07,3.0908599153e-07,3.9638612629e-07,1.6628890896e-06,8.7356766034e-07,0.0000000000e+00
1.0000000000e+00,9.9971314928e-01,2.7285591953e-04,1.0751445213e-06,1.2421868391e-06,1.5867685867e-06,6.5827043323e-06,3.5079948864e-06,0.0000000000e+00
1.5000000000e+00,9.9935336700e-01,6.1514173460e-04,2.4180168633e-06,2.8033188870e-06,3.5615932840e-06,1.4826628625e-05,7.8817072809e-06,0.0000000000e+00
2.0000000000e+00,9.9885475797e-01,1.0896373692e-03,4.3169638754e-06,4.9008415682e-06,6.3085735918e-06,2.6206726516e-05,1.3871558809e-05,0.0000000000e+00
2.5000000000e+00,9.9820926428e-01,1.7042762239e-03,6.7525806225e-06,7.5799630379e-06,9.8861039520e-06,4.0656054377e-05,2.1584794194e-05,0.0000000000e+00
3.0000000000e+00,9.9744831612e-01,2.4271804962e-03,9.8674105404e-06,1.0942456098e-05,1.4265560024e-05,5.8320163281e-05,3.1107798785e-05,0.0000000000e+00
3.5000000000e+00,9.9654386957e-01,3.2860369281e-03,1.3514776322e-05,1.4872714502e-05,1.9693713470e-05,7.9195479594e-05,4.2816814413e-05,0.0000000000e+00
4.0000000000e+00,9.9546651194e-01,4.3099904423e-03,1.8082716030e-05,1.9294109769e-05,2.6185801641e-05,1.0383818493e-04,5.6096802093e-05,0.0000000000e+00
4.5000000000e+00,9.9427753979e-01,5.4399816804e-03,2.3003548408e-05,2.4628487772e-05,3.3114323981e-05,1.3118222371e-04,7.0549943778e-05,0.0000000000e+00
5.0000000000e+00,9.9300464761e-01,6.6510078552e-03,2.8079282547e-05,3.0438609167e-05,4.0511066574e-05,1.5872404372e-04,8.6591530045e-05,0.0000000000e+00
5.5000000000e+00,9.9146002205e-01,8.1221594254e-03,3.4444152184e-05,3.7079210487e-05,4.9154372708e-05,1.9236628650e-04,1.0477450729e-04,0.0000000000e+00
