time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,1.0000000000e+00,4.9303806576e-32,4.8148248610e-33,8.1370540150e-33,1.2325951644e-32,1.7333369499e-33,7.5231638453e-33,1.3322676296e-15
1.0000000000e+00,8.3183036065e-01,9.1455291662e-02,7.8257982265e-03,2.5520268333e-02,1.6846955178e-02,2.5801474265e-02,7.1985168508e-04,2.1681562780e+00
2.0000000000e+00,6.3594039755e-01,3.3070579808e-01,1.0818272067e-02,4.3260745252e-03,9.0730803815e-03,7.4846554592e-03,1.6517219400e-03,2.1142394839e+00
3.0000000000e+00,4.0778892123e-01,5.3193569163e-01,5.1564252011e-03,6.7849841353e-03,3.9949953532e-02,1.8629296610e-03,6.5210946114e-03,2.4073166090e+00
4.0000000000e+00,3.0638416370e-01,6.1912773686e-01,2.2085912586e-02,9.7986281530e-03,3.3184701083e-02,3.4154992604e-03,6.0033583615e-03,2.6330575526e+00
5.0000000000e+00,4.3828248472e-01,5.2080927169e-01,3.3945810069e-03,4.9289418251e-03,1.5826959627e-02,8.3392343175e-03,8.4185268066e-03,2.3162117081e+00
6.0000000000e+00,6.7602145174e-01,2.6237102328e-01,1.1905904333e-02,1.0086184307e-02,3.1959555758e-02,4.5366465611e-03,3.1192340176e-03,2.4075246169e+00
7.0000000000e+00,8.8656798762e-01,7.4050208190e-02,9.2839014220e-03,1.8036230178e-02,3.9784819027e-03,7.3064126719e-03,7.7677801287e-04,1.6269103418e+00
8.0000000000e+00,9.6173963703e-01,4.5538318793e-03,4.8321378766e-04,6.8719714682e-03,1.8638431703e-03,2.4051284422e-02,4.3621824471e-04,8.8289899804e-01
9.0000000000e+00,8.1280862781e-01,1.2451981092e-01,1.9665964568e-02,2.3867414345e-02,1.5266479576e-02,5.2164099015e-04,3.3500617889e-03,2.0745365233e+00
1.0000000000e+01,5.9210581125e-01,3.5842379741e-01,1.1763182728e-02,1.9116889227e-03,2.0052027088e-02,1.1137241892e-02,4.6062507070e-03,2.3685387182e+00
1.1000000000e+01,3.5869890395e-01,5.7838274823e-01,1.8487844416e-02,1.6202945814e-02,1.5177459872e-02,6.1903616075e-03,6.8597361086e-03,2.6381350005e+00
1.2000000000e+01,3.1943556021e-01,5.8976807225e-01,2.8321542278e-02,6.5126282905e-03,5.0481029246e-02,2.8414310469e-03,2.6397366836e-03,2.6538478659e+00
1.3000000000e+01,4.9111302682e-01,4.8385591703e-01,6.2576011155e-03,5.1252401459e-03,1.1600573676e-02,2.7965110776e-04,1.7679901071e-03,1.9363018645e+00
1.4000000000e+01,6.9122523087e-01,2.2348784275e-01,2.3243942606e-02,1.9310219183e-02,2.3598645805e-02,1.8995881161e-02,1.3823762364e-04,2.6053158548e+00
