time_fs,pop_1,pop_2,pop_3,coherence
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.990114428459417883e-01,9.849057670697017059e-04,3.651386988669511055e-06,6.662806913331142944e-02
4.000000000000000000e+00,9.958877629022256928e-01,4.098005928028897703e-03,1.423116974543163534e-05,1.353672462967816514e-01
6.000000000000000000e+00,9.910170780969573823e-01,8.952616434611463184e-03,3.030546843124328325e-05,1.995816134159256183e-01
8.000000000000000000e+00,9.849224296481348118e-01,1.502211971314902639e-02,5.545063871625613352e-05,2.530748001409224290e-01
1.000000000000000000e+01,9.786529225219090522e-01,2.126594411027676532e-02,8.113336781429667682e-05,3.023480259706832207e-01
1.200000000000000000e+01,9.766953616948252925e-01,2.317862897457712013e-02,1.260093305975467672e-04,3.238294535097521187e-01
1.400000000000000000e+01,9.723641253800732187e-01,2.747210132008489486e-02,1.637732998419134023e-04,3.517546209190862694e-01
1.600000000000000000e+01,9.649574045831293967e-01,3.479036830006691089e-02,2.522271168038557002e-04,4.013990503264444065e-01
1.800000000000000000e+01,9.601534133013033268e-01,3.955452274950207320e-02,2.920639491946681356e-04,4.242621682662790494e-01
2.000000000000000000e+01,9.586315526104495222e-01,4.111091845500516179e-02,2.575289345453647379e-04,4.297960437219836560e-01
2.200000000000000000e+01,9.473979733205237785e-01,5.228352066106287804e-02,3.185060184134811648e-04,4.846926253930952111e-01
2.400000000000000000e+01,9.396436018712194249e-01,5.998344192478764769e-02,3.729562039928079682e-04,5.180268072450556760e-01
2.600000000000000000e+01,9.390281376385396506e-01,6.046369597506889848e-02,5.081663863916007894e-04,5.278360669740762567e-01
2.800000000000000000e+01,9.322840914399659340e-01,6.711871720895837279e-02,5.971913510756203525e-04,5.542277858276106750e-01
3.000000000000000000e+01,9.268635284057907819e-01,7.249123527370908426e-02,6.452363205000069459e-04,5.652058158763246798e-01
3.200000000000000000e+01,9.130650923880374581e-01,8.601744342220396522e-02,9.174641897586736147e-04,6.211671617630711850e-01
3.400000000000000000e+01,8.977602299715201628e-01,1.011849682798536126e-01,1.054801748626351841e-03,6.733739035029300268e-01
3.600000000000000000e+01,8.774142261533781628e-01,1.212327874426288588e-01,1.352986403992981462e-03,7.278616990560913269e-01
3.800000000000000000e+01,8.510181517000809936e-01,1.470087793720985525e-01,1.973068927820530605e-03,8.108076908910570868e-01
4.000000000000000000e+01,8.167428069577731264e-01,1.805408212315479655e-01,2.716371810678840874e-03,8.977211498932866629e-01
4.200000000000000000e+01,7.720765688432502660e-01,2.246681926124624584e-01,3.255238544287451623e-03,9.727804818080201255e-01
4.400000000000000000e+01,7.461891660613999555e-01,2.501972874130960478e-01,3.613546525504219599e-03,9.943307442589428558e-01
4.600000000000000000e+01,7.196679555379658089e-01,2.759557043627217654e-01,4.376340099312482981e-03,1.017844301152990294e+00
4.800000000000000000e+01,6.870438993473138023e-01,3.079968442047138488e-01,4.959256447972341074e-03,1.035232743743482509e+00
5.000000000000000000e+01,6.497541716214991769e-01,3.440065660857852259e-01,6.239262292715600650e-03,1.091333854592682506e+00
5.200000000000000000e+01,5.917620966033525498e-01,3.997360501927289533e-01,8.501853203918503799e-03,1.171224091654641253e+00
