time_fs,population_site_0,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,coherence,qfi,entropy,purity
0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.234776e+04,1.657861e-10,1.000000e+00
2.000000e+00,2.494817e+02,2.845857e-01,9.185654e-04,1.227548e-03,1.550249e-03,6.889404e-03,3.635275e-03,2.499880e+01,3.519746e+04,1.657861e-10,1.000000e+00
4.000000e+00,6.254856e+04,3.039841e+02,7.311342e-01,1.222715e+00,1.518911e+00,7.325465e+00,3.843495e+00,1.297387e+04,3.801715e+04,1.657861e-10,1.000000e+00
6.000000e+00,1.559065e+07,1.832120e+05,3.123708e+02,6.773218e+02,7.934294e+02,4.330898e+03,2.364275e+03,5.037106e+06,4.074095e+04,1.657861e-10,1.000000e+00
8.000000e+00,3.879623e+09,8.573875e+07,1.012606e+05,2.994998e+05,3.301160e+05,2.042932e+06,1.153603e+06,1.729383e+09,4.316549e+04,1.657865e-10,1.000000e+00
1.000000e+01,9.535073e+11,3.622314e+10,2.739323e+07,1.176122e+08,1.168016e+08,8.664131e+08,4.726764e+08,5.583526e+11,4.538115e+04,1.657857e-10,1.000000e+00
1.200000e+01,2.383062e+14,1.406774e+13,6.542422e+09,4.281144e+10,3.829594e+10,3.380424e+11,1.836873e+11,1.747352e+14,4.701769e+04,1.657859e-10,1.000000e+00
1.400000e+01,5.921773e+16,5.165706e+15,1.564401e+12,1.510639e+13,1.212055e+13,1.242463e+14,6.748076e+13,5.318225e+16,4.796186e+04,1.657863e-10,1.000000e+00
1.600000e+01,1.494105e+19,1.817043e+18,4.073491e+14,5.097022e+15,3.690863e+15,4.386822e+16,2.410597e+16,1.600199e+19,4.809312e+04,1.657865e-10,1.000000e+00
1.800000e+01,3.744540e+21,6.234467e+20,1.288547e+17,1.688402e+18,1.101992e+18,1.531802e+19,8.341248e+18,4.758493e+21,4.734481e+04,1.657861e-10,1.000000e+00
2.000000e+01,9.581708e+23,2.116783e+23,5.043741e+19,5.371965e+20,3.192002e+20,5.229014e+21,2.829054e+21,1.421644e+24,4.572245e+04,1.657857e-10,1.000000e+00
2.200000e+01,2.438135e+26,6.976602e+25,2.214347e+22,1.678947e+23,9.298364e+22,1.785610e+24,9.451221e+23,4.199355e+26,4.331998e+04,1.657861e-10,1.000000e+00
2.400000e+01,6.198537e+28,2.335183e+28,9.603793e+24,5.229390e+25,2.704534e+25,5.902411e+26,3.162520e+26,1.247074e+29,3.973135e+04,1.657859e-10,1.000000e+00
2.600000e+01,1.599098e+31,7.757023e+30,4.030508e+27,1.632079e+28,7.797074e+27,1.911484e+29,1.011121e+29,3.706432e+31,3.525374e+04,1.657861e-10,1.000000e+00
2.800000e+01,4.247155e+33,2.487641e+33,1.626237e+30,5.183187e+30,2.287478e+30,6.049696e+31,3.227049e+31,1.100415e+34,3.123866e+04,1.657866e-10,1.000000e+00
3.000000e+01,1.138135e+36,7.737868e+35,6.253630e+32,1.589160e+33,6.844508e+32,1.968361e+34,1.002494e+34,3.244491e+36,2.808848e+04,1.657855e-10,1.000000e+00
3.200000e+01,3.036877e+38,2.425048e+38,2.355567e+35,4.904900e+35,2.114870e+35,6.436526e+36,3.086393e+36,9.595629e+38,2.486523e+04,1.657852e-10,1.000000e+00
3.400000e+01,7.857551e+40,7.613613e+40,8.524204e+37,1.507388e+38,6.626921e+37,2.043055e+39,9.695994e+38,2.805225e+41,2.072592e+04,1.657859e-10,1.000000e+00
3.600000e+01,2.135072e+43,2.373249e+43,2.994453e+40,4.523103e+40,2.082818e+40,6.654691e+41,3.023057e+41,8.353752e+43,1.782147e+04,1.657862e-10,1.000000e+00
3.800000e+01,5.850410e+45,7.495068e+45,1.041812e+43,1.329196e+43,6.678536e+42,2.158562e+44,9.575136e+43,2.512041e+46,1.506922e+04,1.657859e-10,1.000000e+00
4.000000e+01,1.636192e+48,2.311546e+48,3.474168e+45,3.932892e+45,2.146772e+45,6.866826e+46,3.001029e+46,7.522964e+48,1.319570e+04,1.657863e-10,1.000000e+00
4.200000e+01,4.519363e+50,7.072972e+50,1.163935e+48,1.190766e+48,7.123509e+47,2.198449e+49,9.597707e+48,2.246494e+51,1.195359e+04,1.657862e-10,1.000000e+00
4.400000e+01,1.244208e+53,2.235767e+53,3.837738e+50,3.592054e+50,2.390824e+50,6.939858e+51,3.057210e+51,6.777043e+53,1.015120e+04,1.657861e-10,1.000000e+00
4.600000e+01,3.531387e+55,7.115823e+55,1.272978e+53,1.080034e+53,8.370398e+52,2.190048e+54,9.613927e+53,2.073680e+56,8.718908e+03,1.657857e-10,1.000000e+00
4.800000e+01,9.997793e+57,2.262874e+58,4.202356e+55,3.217560e+55,2.951564e+55,7.092125e+56,2.958406e+56,6.350656e+58,7.670874e+03,1.657861e-10,1.000000e+00
5.000000e+01,2.787015e+60,7.115683e+60,1.366707e+58,9.691715e+57,1.028525e+58,2.310294e+59,8.985018e+58,1.927259e+61,6.681228e+03,1.657863e-10,1.000000e+00
5.200000e+01,7.905554e+62,2.260862e+63,4.482867e+60,2.897764e+60,3.646782e+60,7.473789e+61,2.758392e+61,5.915742e+63,6.043676e+03,1.657857e-10,1.000000e+00
5.400000e+01,2.249303e+65,7.324219e+65,1.457028e+63,8.645927e+62,1.290950e+63,2.428194e+64,8.410587e+63,1.832525e+66,5.277251e+03,1.657859e-10,1.000000e+00
5.600000e+01,6.501675e+67,2.317059e+68,4.635762e+65,2.591618e+65,4.377135e+65,7.795684e+66,2.605181e+66,5.644966e+68,4.755060e+03,1.657862e-10,1.000000e+00
5.800000e+01,1.885005e+70,7.301205e+70,1.433952e+68,7.786165e+67,1.484720e+68,2.551930e+69,7.909108e+68,1.739174e+71,4.485821e+03,1.657863e-10,1.000000e+00
