Time_fs,Coherence_l1,QFI,Entropy_VN,Purity,Linear_Entropy,Bipartite_Entanglement,Multipartite_Entanglement,Pop_Site_1,Pop_Site_2,Pop_Site_3,Pop_Site_4,Pop_Site_5,Pop_Site_6,Pop_Site_7
0.00000000e+00,0.00000000e+00,3.23477600e+04,1.65786127e-10,1.00000000e+00,0.00000000e+00,5.52620422e-11,5.52620422e-11,1.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,4.90411228e-02,3.23472397e+04,7.26740209e-07,9.99999920e-01,9.30394805e-08,6.87090016e-07,5.51632246e-07,9.99713164e-01,2.72798614e-04,1.07537529e-06,1.23315175e-06,1.59658924e-06,6.65207962e-06,3.47969850e-06
2.00000000e+00,9.85062175e-02,3.23426727e+04,5.04774312e-06,9.99999376e-01,7.27505622e-07,4.74594072e-06,3.81091609e-06,9.98854946e-01,1.08920398e-03,4.31822464e-06,4.90797704e-06,6.35427712e-06,2.64988804e-05,1.37703958e-05
3.00000000e+00,1.48803142e-01,3.23367221e+04,1.51905844e-05,9.99997982e-01,2.35438127e-06,1.39956157e-05,1.12458424e-05,9.97414604e-01,2.45952849e-03,9.81596921e-06,1.10676624e-05,1.43350956e-05,5.96280943e-05,3.10202583e-05
4.00000000e+00,1.99478996e-01,3.23231679e+04,4.15962180e-05,9.99994031e-01,6.96424508e-06,3.87855511e-05,3.11421838e-05,9.95408509e-01,4.36687524e-03,1.78051819e-05,1.96207434e-05,2.55518021e-05,1.06199652e-04,5.54379104e-05
5.00000000e+00,2.50209384e-01,3.23484210e+04,7.29232594e-05,9.99989069e-01,1.27534158e-05,6.76121120e-05,5.42824100e-05,9.92854236e-01,6.79556245e-03,2.83830097e-05,3.07026695e-05,3.98959602e-05,1.64814154e-04,8.64059986e-05
6.00000000e+00,3.00711666e-01,3.23373654e+04,1.21534067e-04,9.99980983e-01,2.21868814e-05,1.12860887e-04,9.07312058e-05,9.89808006e-01,9.68779874e-03,4.19251984e-05,4.43725913e-05,5.77452801e-05,2.36214873e-04,1.23937754e-04
7.00000000e+00,3.51387489e-01,3.23551758e+04,1.90478674e-04,9.99968952e-01,3.62224099e-05,1.78186252e-04,1.43122891e-04,9.86229238e-01,1.30868965e-02,5.84848560e-05,6.04947114e-05,7.88041482e-05,3.18569876e-04,1.67511557e-04
8.00000000e+00,4.02176488e-01,3.23460820e+04,2.77548659e-04,9.99953185e-01,5.46178904e-05,2.60403276e-04,2.09044537e-04,9.82135245e-01,1.69759162e-02,7.87175528e-05,7.88908999e-05,1.04069623e-04,4.10805222e-04,2.16355117e-04
9.00000000e+00,4.53325041e-01,3.23307711e+04,3.01389476e-04,9.99949030e-01,5.94646268e-05,2.79183148e-04,2.24215760e-04,9.77512703e-01,2.13659996e-02,1.02550662e-04,1.00949422e-04,1.31523427e-04,5.16182453e-04,2.70091528e-04
1.00000000e+01,5.03282596e-01,3.23450765e+04,4.48281293e-04,9.99921063e-01,9.20933341e-05,4.17949070e-04,3.35372307e-04,9.72532262e-01,2.60934341e-02,1.30795599e-04,1.24817833e-04,1.62901397e-04,6.27158454e-04,3.28630471e-04
1.10000000e+01,5.53270940e-01,3.23506232e+04,5.82485172e-04,9.99894834e-01,1.22693648e-04,5.43568008e-04,4.36507108e-04,9.67090368e-01,3.12566566e-02,1.63682103e-04,1.50784416e-04,1.97497917e-04,7.48109822e-04,3.92900822e-04
1.20000000e+01,6.02162095e-01,3.23461982e+04,8.07699992e-04,9.99848912e-01,1.76269248e-04,7.60945306e-04,6.10857211e-04,9.61289749e-01,3.67633022e-02,2.00384584e-04,1.78530628e-04,2.34501490e-04,8.75249012e-04,4.58283525e-04
1.30000000e+01,6.53784807e-01,3.23602008e+04,9.48717619e-04,9.99819436e-01,2.10658015e-04,8.93471047e-04,7.17462170e-04,9.54743933e-01,4.29701498e-02,2.44881685e-04,2.11347793e-04,2.78013194e-04,1.01808987e-03,5.33585026e-04
1.40000000e+01,7.03274011e-01,3.23330311e+04,1.14535797e-03,9.99778060e-01,2.58929484e-04,1.07497195e-03,8.63568690e-04,9.48028788e-01,4.93333235e-02,2.93135423e-04,2.44983757e-04,3.24866191e-04,1.16389376e-03,6.11009633e-04
1.50000000e+01,7.51149532e-01,3.22804587e+04,1.47211496e-03,9.99706001e-01,3.42999187e-04,1.39688185e-03,1.12166490e-03,9.41019145e-01,5.59887955e-02,3.46192796e-04,2.80929544e-04,3.71444325e-04,1.30580908e-03,6.87683673e-04
1.60000000e+01,7.97356398e-01,3.22422007e+04,1.71245317e-03,9.99652553e-01,4.05354973e-04,1.62504138e-03,1.30449865e-03,9.34089422e-01,6.25322396e-02,4.07293882e-04,3.18878623e-04,4.22408292e-04,1.46458200e-03,7.65175144e-04
1.70000000e+01,8.47709941e-01,3.21493706e+04,2.19202377e-03,9.99542219e-01,5.34077902e-04,2.08631674e-03,1.67440440e-03,9.25986096e-01,7.01962302e-02,4.77604556e-04,3.64915289e-04,4.79416373e-04,1.64375529e-03,8.51982367e-04
1.80000000e+01,8.94318777e-01,3.21264378e+04,2.35447439e-03,9.99505835e-01,5.76526269e-04,2.21927413e-03,1.78121296e-03,9.18206059e-01,7.75456623e-02,5.55132427e-04,4.13040198e-04,5.40590502e-04,1.80566026e-03,9.33855095e-04
1.90000000e+01,9.42590273e-01,3.20989352e+04,2.66181205e-03,9.99432633e-01,6.61927593e-04,2.51745829e-03,2.02053584e-03,9.09723850e-01,8.55537810e-02,6.41896450e-04,4.64693979e-04,6.08946130e-04,1.99013208e-03,1.01670076e-03
2.00000000e+01,9.88793879e-01,3.20630321e+04,3.17927947e-03,9.99306812e-01,8.08719753e-04,3.01737504e-03,2.42054466e-03,9.00962499e-01,9.38595610e-02,7.32684821e-04,5.16246594e-04,6.77623173e-04,2.15379743e-03,1.09758809e-03
2.10000000e+01,1.03527169e+00,3.20117411e+04,3.31519366e-03,9.99275304e-01,8.45478253e-04,3.13665932e-03,2.51675779e-03,8.91768479e-01,1.02568252e-01,8.29671994e-04,5.66797876e-04,7.51082158e-04,2.33224201e-03,1.18347432e-03
2.20000000e+01,1.08014278e+00,3.19932663e+04,3.92024524e-03,9.99124431e-01,1.02149740e-03,3.71412194e-03,2.97894114e-03,8.82798008e-01,1.11020816e-01,9.40241148e-04,6.25169275e-04,8.28811463e-04,2.51270438e-03,1.27425022e-03
2.30000000e+01,1.12262779e+00,3.19697941e+04,4.68033936e-03,9.98928652e-01,1.24990655e-03,4.45360282e-03,3.57237233e-03,8.74031412e-01,1.19275728e-01,1.05784468e-03,6.86450587e-04,9.11062926e-04,2.67140727e-03,1.36609452e-03
2.40000000e+01,1.16258676e+00,3.19132753e+04,4.95702485e-03,9.98856925e-01,1.33358759e-03,4.72287918e-03,3.78798913e-03,8.65624021e-01,1.27176245e-01,1.18939884e-03,7.43246956e-04,9.96754808e-04,2.82609501e-03,1.44423812e-03
2.50000000e+01,1.20754820e+00,3.19027956e+04,4.95073454e-03,9.98861200e-01,1.32860026e-03,4.69843458e-03,3.76855648e-03,8.55796422e-01,1.36407938e-01,1.33958212e-03,8.14308243e-04,1.08842213e-03,3.01409844e-03,1.53922919e-03
2.60000000e+01,1.24928707e+00,3.17370460e+04,5.30437040e-03,9.98771476e-01,1.43327782e-03,5.00689380e-03,4.01739373e-03,8.46323925e-01,1.45297236e-01,1.48812939e-03,8.84137866e-04,1.18203891e-03,3.19104909e-03,1.63348416e-03
2.70000000e+01,1.28972345e+00,3.17126708e+04,5.81062506e-03,9.98639277e-01,1.58751013e-03,5.48540289e-03,4.40166580e-03,8.36864868e-01,1.54158707e-01,1.65006204e-03,9.52310877e-04,1.28153207e-03,3.38022812e-03,1.71229155e-03
2.80000000e+01,1.33002328e+00,3.16811721e+04,6.39959976e-03,9.98480668e-01,1.77255410e-03,6.05710936e-03,4.86011792e-03,8.26831160e-01,1.63600430e-01,1.81554530e-03,1.03047130e-03,1.38450261e-03,3.54974727e-03,1.78814351e-03
2.90000000e+01,1.36914552e+00,3.15637335e+04,7.08207318e-03,9.98295077e-01,1.98907720e-03,6.71129554e-03,5.38587126e-03,8.16794668e-01,1.73026901e-01,1.98989737e-03,1.10377416e-03,1.49076210e-03,3.73092268e-03,1.86307494e-03
3.00000000e+01,1.40823827e+00,3.14580880e+04,7.65536271e-03,9.98137142e-01,2.17333401e-03,7.26506097e-03,5.82814943e-03,8.06706654e-01,1.82474545e-01,2.18125284e-03,1.19182918e-03,1.60647923e-03,3.89720623e-03,1.94203323e-03
3.10000000e+01,1.44421967e+00,3.13339561e+04,8.75184423e-03,9.97824880e-01,2.53764041e-03,8.35520897e-03,6.69952035e-03,7.96860508e-01,1.91713018e-01,2.37635460e-03,1.26881781e-03,1.71224242e-03,4.05352457e-03,2.01553456e-03
3.20000000e+01,1.48185063e+00,3.12661566e+04,9.35980518e-03,9.97647971e-01,2.74403422e-03,8.97165364e-03,7.19463382e-03,7.86060554e-01,2.01873717e-01,2.58479508e-03,1.35649885e-03,1.83751347e-03,4.21706667e-03,2.06985509e-03
