time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_L9,pop_site1_L11
0.0000000000e+00,1.0000000000e+00,4.9303806576e-32,4.8148248610e-33,8.1370540150e-33,1.2325951644e-32,1.7333369499e-33,7.5231638453e-33,1.3322676296e-15,1.0000000000e+00,1.0000000000e+00
2.0000000000e+00,6.3594039755e-01,3.3070579808e-01,1.0818272067e-02,4.3260745252e-03,9.0730803815e-03,7.4846554592e-03,1.6517219400e-03,2.1142394839e+00,6.3594039755e-01,6.3594039755e-01
4.0000000000e+00,3.0638416370e-01,6.1912773686e-01,2.2085912586e-02,9.7986281530e-03,3.3184701083e-02,3.4154992604e-03,6.0033583615e-03,2.6330575526e+00,3.0638416370e-01,3.0638416370e-01
6.0000000000e+00,6.7602145174e-01,2.6237102328e-01,1.1905904333e-02,1.0086184307e-02,3.1959555758e-02,4.5366465611e-03,3.1192340176e-03,2.4075246169e+00,6.7602145174e-01,6.7602145174e-01
8.0000000000e+00,9.6173963703e-01,4.5538318793e-03,4.8321378766e-04,6.8719714682e-03,1.8638431703e-03,2.4051284422e-02,4.3621824471e-04,8.8289899804e-01,9.6173963703e-01,9.6173963703e-01
1.0000000000e+01,5.9210581125e-01,3.5842379741e-01,1.1763182728e-02,1.9116889227e-03,2.0052027088e-02,1.1137241892e-02,4.6062507070e-03,2.3685387182e+00,5.9210581125e-01,5.9210581125e-01
1.2000000000e+01,3.1943556021e-01,5.8976807225e-01,2.8321542278e-02,6.5126282905e-03,5.0481029246e-02,2.8414310469e-03,2.6397366836e-03,2.6538478659e+00,3.1943556021e-01,3.1943556021e-01
1.4000000000e+01,6.9122523087e-01,2.2348784275e-01,2.3243942606e-02,1.9310219183e-02,2.3598645805e-02,1.8995881161e-02,1.3823762364e-04,2.6053158548e+00,6.9122523087e-01,6.9122523087e-01
1.6000000000e+01,9.4604988388e-01,1.4061679810e-02,9.0798339280e-03,1.6988961567e-02,3.9861275535e-03,8.2975962256e-03,1.5359170370e-03,1.2809471605e+00,9.4604988388e-01,9.4604988388e-01
1.8000000000e+01,5.4794731429e-01,4.1564540990e-01,1.3358853976e-02,4.2918968614e-03,9.3022316136e-03,7.6730958426e-04,8.6869837789e-03,2.1804649523e+00,5.4794731429e-01,5.4794731429e-01
2.0000000000e+01,3.3083198224e-01,6.0435238484e-01,2.9111782173e-02,3.4568415198e-03,1.7358830958e-02,4.7449930197e-03,1.0143185247e-02,2.5469992054e+00,3.3083198224e-01,3.3083198224e-01
2.2000000000e+01,7.4585292366e-01,1.8529767813e-01,3.2462975655e-02,1.2254301462e-02,2.2362451788e-02,8.2402094111e-04,9.4564835984e-04,2.2182992886e+00,7.4585292366e-01,7.4585292366e-01
2.4000000000e+01,9.0027327107e-01,3.2484774262e-02,2.3802980644e-02,1.6700171172e-02,7.8301504659e-03,1.5416832039e-02,3.4918203517e-03,1.8369279084e+00,9.0027327107e-01,9.0027327107e-01
2.6000000000e+01,4.8155335673e-01,4.4533839176e-01,1.7819076817e-02,1.3223092146e-02,2.0566613203e-02,1.4408883387e-02,7.0905859524e-03,2.8314552273e+00,4.8155335673e-01,4.8155335673e-01
2.8000000000e+01,3.7001283585e-01,5.5731805930e-01,1.9178394207e-02,1.4712037695e-02,3.5145221831e-02,1.2872338158e-03,2.3462172979e-03,2.5584666642e+00,3.7001283585e-01,3.7001283585e-01
