time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,1.0000000000e+00,2.4260499791e-32,4.4334182202e-33,8.7283156216e-33,1.2246768417e-32,8.1870509831e-34,7.5291296944e-33,1.0836317940e-15,1.0000000000e+00,1.0836317940e-15
5.0000000000e-01,3.4823705568e-01,5.8080293318e-01,3.0501783618e-02,8.8270533693e-03,2.7298569436e-02,1.3229976082e-03,3.0096071080e-03,2.5241656403e+00,3.4823705568e-01,2.5241656403e+00
1.0000000000e+00,8.3183036065e-01,9.1455291662e-02,7.8257982265e-03,2.5520268333e-02,1.6846955178e-02,2.5801474265e-02,7.1985168508e-04,2.1681562780e+00,8.3183036065e-01,2.1681562780e+00
1.5000000000e+00,4.9573264410e-01,4.1121314554e-01,4.3585173785e-02,1.4684067099e-02,1.9657269930e-02,1.2081731800e-02,3.0459677494e-03,2.9227840139e+00,4.9573264410e-01,2.9227840139e+00
2.0000000000e+00,6.3594039755e-01,3.3070579808e-01,1.0818272067e-02,4.3260745252e-03,9.0730803815e-03,7.4846554592e-03,1.6517219400e-03,2.1142394839e+00,6.3594039755e-01,2.1142394839e+00
2.5000000000e+00,7.8779995335e-01,1.7456306438e-01,9.5155096402e-03,7.8057784131e-03,5.4206264491e-03,1.3446642031e-02,1.4484257353e-03,1.9547167163e+00,7.8779995335e-01,1.9547167163e+00
3.0000000000e+00,4.0778892123e-01,5.3193569163e-01,5.1564252011e-03,6.7849841353e-03,3.9949953532e-02,1.8629296610e-03,6.5210946114e-03,2.4073166090e+00,4.0778892123e-01,2.4073166090e+00
3.5000000000e+00,9.2909445787e-01,1.4725033769e-02,3.0096247785e-02,1.4346291882e-02,7.9235975286e-03,3.6910063200e-03,1.2336484843e-04,1.3696788891e+00,9.2909445787e-01,1.3696788891e+00
4.0000000000e+00,3.0638416370e-01,6.1912773686e-01,2.2085912586e-02,9.7986281530e-03,3.3184701083e-02,3.4154992604e-03,6.0033583615e-03,2.6330575526e+00,3.0638416370e-01,2.6330575526e+00
4.5000000000e+00,9.0906917678e-01,3.0660491350e-02,1.6435643341e-02,7.4706600701e-03,9.0539954928e-03,2.6959757234e-02,3.5027573171e-04,1.6284500301e+00,9.0906917678e-01,1.6284500301e+00
5.0000000000e+00,4.3828248472e-01,5.2080927169e-01,3.3945810069e-03,4.9289418251e-03,1.5826959627e-02,8.3392343175e-03,8.4185268066e-03,2.3162117081e+00,4.3828248472e-01,2.3162117081e+00
5.5000000000e+00,7.3390707147e-01,2.3324576209e-01,1.5109685224e-02,6.4262208326e-03,3.6758850635e-03,2.1600513488e-03,5.4753239675e-03,1.9715727575e+00,7.3390707147e-01,1.9715727575e+00
6.0000000000e+00,6.7602145174e-01,2.6237102328e-01,1.1905904333e-02,1.0086184307e-02,3.1959555758e-02,4.5366465611e-03,3.1192340176e-03,2.4075246169e+00,6.7602145174e-01,2.4075246169e+00
6.5000000000e+00,4.6638319939e-01,4.3633180116e-01,4.0167614304e-02,3.4911058633e-03,4.2607602184e-02,5.3259528690e-03,5.6927242222e-03,2.8330836001e+00,4.6638319939e-01,2.8330836001e+00
7.0000000000e+00,8.8656798762e-01,7.4050208190e-02,9.2839014220e-03,1.8036230178e-02,3.9784819027e-03,7.3064126719e-03,7.7677801287e-04,1.6269103418e+00,8.8656798762e-01,1.6269103418e+00
7.5000000000e+00,3.2886030416e-01,6.1489283744e-01,1.7601467963e-02,3.8605248904e-03,1.7013771302e-02,4.3777436015e-03,1.3393350644e-02,2.4772892683e+00,3.2886030416e-01,2.4772892683e+00
8.0000000000e+00,9.6173963703e-01,4.5538318793e-03,4.8321378766e-04,6.8719714682e-03,1.8638431703e-03,2.4051284422e-02,4.3621824471e-04,8.8289899804e-01,9.6173963703e-01,8.8289899804e-01
