time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.5113730951e-01,3.6654794036e-02,3.0025104879e-01,4.1534460816e-02,4.7211149457e-02,1.7945889472e-01,1.4375234267e-01,5.0732485919e+00
1.0000000000e+00,1.9564910219e-01,5.6833941733e-02,5.6761541160e-02,2.1195698747e-01,9.2419852424e-02,2.4118643628e-01,1.4519213874e-01,5.5306330402e+00
2.0000000000e+00,1.1801885302e-01,1.9741400797e-01,2.3918819980e-01,1.2139134084e-01,1.9522113377e-01,1.0245663428e-01,2.6309830317e-02,5.4997609751e+00
3.0000000000e+00,5.1424963944e-02,1.2793547424e-01,2.1340592092e-01,2.2838548294e-01,2.9933382377e-01,4.6194191706e-02,3.3320142480e-02,5.0954061155e+00
4.0000000000e+00,4.0145124789e-02,2.8565870943e-01,1.1416669021e-01,2.6835685364e-01,1.5186378656e-01,2.7016838251e-02,1.1279199712e-01,5.1536767404e+00
5.0000000000e+00,3.7513983542e-02,1.4398674792e-01,3.0865252565e-01,1.2635207484e-01,9.6652870220e-02,7.7592160667e-02,2.0924963716e-01,5.4062080968e+00
6.0000000000e+00,1.6941233163e-01,1.0389447908e-01,5.6389891919e-02,2.2543438917e-01,1.6975669343e-02,1.6012707000e-01,2.6776616886e-01,5.2205329241e+00
7.0000000000e+00,2.4539230754e-01,5.0576772352e-02,2.1630020975e-01,3.0352442706e-03,2.1990363244e-02,2.1557427266e-01,2.4713083018e-01,4.5232115676e+00
8.0000000000e+00,1.8641742252e-01,4.5662963350e-02,1.2937410229e-01,4.7435117126e-02,9.2089280141e-03,3.3690961741e-01,2.4499184930e-01,4.7326761932e+00
9.0000000000e+00,2.6756153670e-01,8.5307831380e-02,7.2180787307e-02,8.5243393639e-02,7.1915057969e-02,2.1475072930e-01,2.0304066371e-01,5.5134711906e+00
1.0000000000e+01,7.0905013323e-02,1.6730528500e-01,2.2664605375e-01,1.3758529361e-02,1.6168338175e-01,2.1609527404e-01,1.4360646277e-01,5.3231810827e+00
1.1000000000e+01,5.2235543304e-02,2.7726571020e-01,5.9088188501e-02,1.5421723109e-01,3.3509388926e-01,7.6262814015e-02,4.5836623633e-02,5.0517079192e+00
1.2000000000e+01,4.3955836337e-02,1.9504742502e-01,2.0458547531e-01,8.4726438246e-02,4.4217133381e-01,2.3577188075e-02,5.9363032010e-03,4.2452140962e+00
1.3000000000e+01,7.0872249358e-02,2.3118437331e-01,1.6805737176e-01,7.0095107022e-02,3.7796257728e-01,2.4954531969e-02,5.6873789289e-02,4.9193746992e+00
1.4000000000e+01,1.8435856340e-01,6.3171067831e-02,8.4330434633e-02,1.6422678575e-01,1.8827309143e-01,1.1328776015e-01,2.0235229681e-01,5.7427334356e+00
1.5000000000e+01,2.3615147544e-01,3.8177696668e-02,2.5657222536e-01,1.4604696361e-02,4.4818420985e-02,1.9040654607e-01,2.1926893912e-01,4.8808482250e+00
1.6000000000e+01,2.5982755779e-01,4.4441310058e-02,2.1906980275e-02,2.6388823608e-01,2.2744403010e-03,2.0599529507e-01,2.0166618042e-01,4.4423534607e+00
1.7000000000e+01,1.8882542293e-01,9.9471188334e-02,2.2791933258e-01,8.8855005209e-02,6.6689359583e-02,2.4469977443e-01,8.3539916934e-02,5.5914014967e+00
1.8000000000e+01,8.8312887479e-02,2.2947065516e-01,1.0031130822e-01,3.4868934657e-01,4.0521431722e-02,1.2200379309e-01,7.0690577756e-02,5.2494570479e+00
1.9000000000e+01,6.2668804707e-02,2.3862614007e-01,1.1169495242e-01,2.8693113446e-01,8.1279310935e-02,8.4060269413e-02,1.3473938799e-01,5.5065500684e+00
2.0000000000e+01,3.4457444083e-02,2.8113303963e-01,2.2090287328e-01,2.3565679980e-01,7.7545952134e-03,3.3258773470e-02,1.8683647453e-01,4.6357377598e+00
2.1000000000e+01,8.7681619210e-02,1.5295215125e-01,2.6048028018e-02,3.6693292637e-01,8.6995772758e-02,6.5460798377e-02,2.1392870401e-01,5.0894125639e+00
2.2000000000e+01,2.4834864515e-01,1.0839427005e-01,2.3526573966e-01,3.1894132440e-02,1.1890045227e-01,1.0250308342e-01,1.5469367700e-01,5.4999588614e+00
2.3000000000e+01,2.2662854352e-01,7.3207301952e-03,5.0688209725e-02,2.2558881998e-01,9.2904397655e-02,2.3962349340e-01,1.5724580553e-01,5.0151332473e+00
2.4000000000e+01,2.7250634700e-01,3.3621029796e-02,1.3275836094e-01,5.4600662778e-02,1.3577064101e-01,2.7802472246e-01,9.2718236013e-02,5.2683019306e+00
2.5000000000e+01,2.1371934463e-01,1.6624564959e-01,1.2987101613e-01,6.0217839441e-02,1.0032881954e-01,2.5901011876e-01,7.0607211903e-02,5.5905028131e+00
2.6000000000e+01,6.8743181031e-02,1.3716679091e-01,3.1603865107e-02,1.1026118281e-01,4.4396408808e-01,2.0517504127e-01,3.0858507893e-03,4.3694138344e+00
2.7000000000e+01,5.8463114336e-02,4.1925843447e-01,1.5289344377e-01,3.7195182577e-04,2.5268827814e-01,8.5844627842e-02,3.0480149611e-02,4.1522389999e+00
2.8000000000e+01,4.0274292804e-02,1.6576527115e-01,3.7031435373e-02,4.5521177010e-02,5.2126689813e-01,2.2255912106e-02,1.6788501343e-01,4.2648673846e+00
2.9000000000e+01,1.2993661332e-01,2.6447040141e-01,9.6308420984e-02,5.7846092133e-02,1.1322685991e-01,1.7204214539e-02,3.2100739771e-01,5.0506857774e+00
3.0000000000e+01,2.0864355143e-01,5.3540145640e-02,1.4485779896e-01,1.7704830229e-03,1.1458001352e-01,1.1252218280e-01,3.6408582463e-01,4.7033884605e+00
3.1000000000e+01,2.6358374154e-01,3.5617580814e-02,2.9346076268e-02,1.9644561490e-01,5.0541382962e-02,1.4036319637e-01,2.8410240714e-01,4.9982698462e+00
3.2000000000e+01,2.8393478873e-01,1.7416732847e-02,2.3978062057e-01,2.9673395748e-02,3.7427474252e-02,2.4943785738e-01,1.4232913047e-01,4.7452549451e+00
3.3000000000e+01,1.2866374447e-01,1.4607701938e-01,2.8256921001e-02,3.4873105807e-01,4.6843414393e-02,2.3845512158e-01,6.2972721093e-02,5.0281334848e+00
3.4000000000e+01,1.2311481762e-01,2.0843692983e-01,2.0386218249e-01,1.7334901387e-01,5.7483302277e-03,1.8741153580e-01,9.8077190155e-02,5.2359590975e+00
3.5000000000e+01,3.3717973062e-02,2.3838616098e-01,1.0994604656e-01,2.8456397103e-01,1.3176456127e-01,1.1029010547e-01,9.1331181635e-02,5.4221849726e+00
3.6000000000e+01,3.1785105429e-02,3.3337791694e-01,7.2300037964e-02,3.2189620170e-01,7.1161407474e-02,5.3266061193e-02,1.1621326930e-01,4.9067194004e+00
3.7000000000e+01,1.4967604001e-01,1.1663485333e-01,2.1182767516e-01,8.8539247906e-02,3.2182630209e-01,4.4666910752e-02,6.6828970746e-02,5.3673307178e+00
3.8000000000e+01,2.4542216307e-01,1.1855793243e-01,1.3276500312e-02,3.3547569853e-01,1.1775666792e-01,7.2659924537e-02,9.6851113205e-02,5.0421123190e+00
3.9000000000e+01,2.0344493135e-01,2.9191227864e-02,2.3652441012e-01,1.1033077357e-01,1.1865999130e-01,2.3565294159e-01,6.6195724194e-02,5.3887541489e+00
4.0000000000e+01,3.1145975621e-01,3.3578659656e-02,9.5574810712e-02,2.1673684024e-01,6.4382118107e-02,2.1394854758e-01,6.4319267501e-02,5.1798324604e+00
4.1000000000e+01,1.0573734549e-01,1.0066982029e-01,1.5329791319e-01,1.6950437501e-01,1.6928917659e-01,2.7217248233e-01,2.9328887099e-02,5.5030391203e+00
4.2000000000e+01,8.3544384607e-02,2.5463555478e-01,1.9664454822e-01,7.2372118547e-02,1.4151502674e-01,1.8060478170e-01,7.0683585407e-02,5.6210828748e+00
4.3000000000e+01,2.7385930607e-02,2.1711255684e-01,5.7421997581e-02,9.6281129928e-02,2.3422058206e-01,1.0149635823e-01,2.6608144476e-01,5.2487020042e+00
4.4000000000e+01,5.2846576400e-02,2.3799718927e-01,1.9034133420e-01,1.0768387360e-02,1.2379380739e-01,2.3051260596e-02,3.6120144478e-01,4.5811969934e+00
4.5000000000e+01,1.4687132186e-01,1.8741509039e-01,8.0851130992e-02,2.4950585379e-02,1.0516215673e-01,2.4092477534e-02,4.3065723710e-01,4.7322076887e+00
4.6000000000e+01,1.9637557877e-01,4.7549857826e-02,9.9439869268e-02,4.5805241407e-02,2.4833883909e-01,9.1895409273e-02,2.7059520436e-01,5.3113040911e+00
4.7000000000e+01,2.8475311831e-01,4.7767956403e-02,2.1758889655e-01,4.9069543826e-04,2.0330793912e-01,1.2057021521e-01,1.2552117897e-01,4.7274831552e+00
4.8000000000e+01,1.8208426626e-01,8.7478118140e-02,4.4330702877e-02,1.8284204113e-01,1.8704226544e-01,2.9361756001e-01,2.2605046141e-02,5.1768537982e+00
4.9000000000e+01,1.3642188312e-01,8.7685423013e-02,2.9012416678e-01,5.3660355739e-02,1.4060451855e-01,2.4798332229e-01,4.3520330515e-02,5.3368827588e+00
5.0000000000e+01,6.9601389600e-02,2.1621162175e-01,1.1025765776e-01,2.1081754290e-01,1.0860278480e-01,2.4241420027e-01,4.2094802918e-02,5.4876220328e+00
5.1000000000e+01,8.8660048001e-03,2.3225364850e-01,1.8253229509e-01,1.8804143810e-01,1.6529543065e-01,1.4046927900e-01,8.2541903853e-02,5.2781351177e+00
5.2000000000e+01,6.0615072973e-02,1.7183970060e-01,2.5016468070e-01,1.0456933472e-01,2.5019426488e-01,7.0151010384e-02,9.2465935743e-02,5.5199025849e+00
5.3000000000e+01,1.8642903338e-01,1.5184895787e-01,3.8915918267e-02,3.4363402978e-01,1.1826354746e-01,2.0406833003e-02,1.4050168024e-01,5.0836678519e+00
5.4000000000e+01,1.8051449458e-01,4.5888695219e-02,3.1865880081e-01,1.4632422617e-01,7.5500518096e-02,7.6987802898e-02,1.5612546223e-01,5.4185013456e+00
5.5000000000e+01,2.6459282762e-01,3.7327226511e-02,6.2284520088e-02,3.4064941732e-01,6.7506961918e-04,1.7314872671e-01,1.2132221213e-01,4.4345671500e+00
5.6000000000e+01,1.8066755703e-01,1.0010367979e-01,2.4220942379e-01,2.2253891093e-01,7.7600151395e-03,1.7275451505e-01,7.3965898273e-02,5.1554847406e+00
5.7000000000e+01,9.3496371318e-02,1.2073036338e-01,2.1630533130e-01,1.7713730460e-01,5.3227414009e-02,2.6058411202e-01,7.8519103365e-02,5.5566487361e+00
5.8000000000e+01,3.5894057653e-02,2.3691363575e-01,1.1226483031e-01,1.8116712851e-01,7.7821908024e-03,1.7934857736e-01,2.4662957961e-01,4.9791121746e+00
5.9000000000e+01,2.6349044281e-02,1.7047928922e-01,2.9887955590e-01,4.8377570998e-02,6.0310371801e-02,1.1400408446e-01,2.8160008334e-01,5.0307066756e+00
6.0000000000e+01,8.1402950849e-02,1.9737987270e-01,7.2387795373e-02,1.1834761478e-01,1.3961814035e-01,4.2864275311e-02,3.4799935063e-01,5.3164755906e+00
6.1000000000e+01,1.7815313391e-01,5.9813880868e-02,2.1609119929e-01,2.7452872807e-04,3.5681932182e-01,3.1006718697e-02,1.5784121669e-01,4.3768280707e+00
6.2000000000e+01,2.0391562891e-01,1.0528067194e-01,1.5421996404e-01,6.9745723467e-02,3.5403016734e-01,5.4362050234e-02,5.8445794069e-02,5.2638044488e+00
6.3000000000e+01,2.9156361560e-01,1.7932447466e-02,7.9545469940e-02,6.8919371348e-02,3.8735210265e-01,1.5320669588e-01,1.4802971168e-03,4.1561172200e+00
6.4000000000e+01,1.0659013007e-01,1.3791204078e-01,2.3586772082e-01,1.3126939453e-02,1.7635261616e-01,2.8475119466e-01,4.5399358050e-02,5.0748309696e+00
6.5000000000e+01,1.3808440384e-01,2.0312636777e-01,6.6695001018e-02,1.1614079305e-01,1.1396387046e-01,2.6430867613e-01,9.7680887741e-02,5.6851980855e+00
6.6000000000e+01,2.2203763402e-02,1.7667382795e-01,1.9040672325e-01,5.1012876752e-02,1.4728926740e-01,2.6716733906e-01,1.4524620218e-01,5.3168205848e+00
6.7000000000e+01,1.9408770769e-02,2.7080662076e-01,2.0100412019e-01,5.6333983641e-02,7.4322483579e-02,1.7316979967e-01,2.0495422139e-01,5.1845015047e+00
6.8000000000e+01,1.3078914743e-01,1.0198499220e-01,6.8782714591e-02,2.9690279323e-01,8.9239530994e-02,7.3183584198e-02,2.3911723736e-01,5.4841623166e+00
