time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,7.9575712535e-03,1.4100656603e-02,9.6174927802e-01,1.0492962701e-03,2.7470742917e-03,2.6443367836e-03,9.7517867802e-03,1.0266916387e+00,2.5113730951e-01,5.0732485919e+00
1.0000000000e+00,8.0177977723e-04,4.0454862722e-03,3.8668671490e-01,4.9596024738e-01,5.3994703847e-02,1.2810356386e-03,5.7230032192e-02,2.7071376286e+00,1.9564910219e-01,5.5306330402e+00
2.0000000000e+00,5.6856717717e-03,1.0799747454e-02,7.7074792383e-01,1.6533609322e-01,1.9726035077e-02,2.1858291896e-03,2.5518699455e-02,2.2790369607e+00,1.1801885302e-01,5.4997609751e+00
3.0000000000e+00,4.6655274257e-03,9.5967526068e-03,7.0516778167e-01,2.2192951839e-01,2.5665725965e-02,2.0427277153e-03,3.0931966228e-02,2.4535799287e+00,5.1424963944e-02,5.0954061155e+00
4.0000000000e+00,1.5033476769e-03,4.8832907848e-03,4.3040196868e-01,4.5817679796e-01,5.0045123542e-02,1.3770937341e-03,5.3612377624e-02,2.7401695292e+00,4.0145124789e-02,5.1536767404e+00
5.0000000000e+00,7.9263255051e-03,1.4026403765e-02,9.5410404251e-01,7.5215367610e-03,3.4261488469e-03,2.6250941762e-03,1.0370448431e-02,1.1980336930e+00,3.7513983542e-02,5.4062080968e+00
6.0000000000e+00,3.3685602847e-04,3.5266270283e-03,3.5522029343e-01,5.2302300980e-01,5.6867291625e-02,1.2142821266e-03,5.9811639957e-02,2.6665560138e+00,1.6941233163e-01,5.2205329241e+00
7.0000000000e+00,6.7303094532e-03,1.2004013356e-02,8.3019271803e-01,1.1383234556e-01,1.4339235531e-02,2.3135913683e-03,2.0587786702e-02,2.0676531379e+00,2.4539230754e-01,4.5232115676e+00
8.0000000000e+00,3.7236202656e-03,8.4522217575e-03,6.3659227437e-01,2.8090168861e-01,3.1870489767e-02,1.8907246905e-03,3.6568980535e-02,2.5874711677e+00,1.8641742252e-01,4.7326761932e+00
9.0000000000e+00,2.3967439499e-03,5.9909659977e-03,4.8429699493e-01,4.1147841171e-01,4.5206602631e-02,1.4982014925e-03,4.9132079291e-02,2.7508876093e+00,2.6756153670e-01,5.5134711906e+00
1.0000000000e+01,7.8207666746e-03,1.3793922019e-02,9.3156805993e-01,2.6623951271e-02,5.4275689891e-03,2.5685328292e-03,1.2197198289e-02,1.4618315919e+00,7.0905013323e-02,5.3231810827e+00
1.1000000000e+01,1.2009624063e-04,3.3355559520e-03,3.3755073168e-01,5.3806147013e-01,5.8517835857e-02,1.1799102239e-03,6.1234399917e-02,2.6364250809e+00,5.2235543304e-02,5.0517079192e+00
1.2000000000e+01,7.7205526579e-03,1.3127006147e-02,8.8072086573e-01,6.9876168831e-02,9.7596571781e-03,2.4206734084e-03,1.6375076051e-02,1.8264488415e+00,4.3955836337e-02,4.2452140962e+00
1.3000000000e+01,2.8859185412e-03,7.3958199604e-03,5.6836844953e-01,3.3941883941e-01,3.8033279193e-02,1.7370888935e-03,4.2160604476e-02,2.6796776343e+00,7.0872249358e-02,4.9193746992e+00
