time_fs,pop_1,pop_2,pop_3,coherence
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.990114428446716932e-01,9.849057683461617634e-04,3.651386982099988738e-06,6.662806917165298159e-02
4.000000000000000000e+00,9.958877628891531497e-01,4.098005941116170288e-03,1.423116973068438685e-05,1.353672465010387072e-01
6.000000000000000000e+00,9.910170780452081107e-01,8.952616486312514610e-03,3.030546847953320417e-05,1.995816139770079101e-01
8.000000000000000000e+00,9.849224293627957261e-01,1.502211999858556191e-02,5.545063861856232816e-05,2.530748020361995865e-01
1.000000000000000000e+01,9.786529222484835477e-01,2.126594438401803455e-02,8.113336749845955799e-05,3.023480275847820753e-01
1.200000000000000000e+01,9.766953615098062924e-01,2.317862916097332762e-02,1.260093292204110028e-04,3.238294546748776703e-01
1.400000000000000000e+01,9.723641254299684178e-01,2.747210127156746867e-02,1.637732984640146306e-04,3.517546205055248620e-01
1.600000000000000000e+01,9.649574044900978143e-01,3.479036839311796386e-02,2.522271167841376406e-04,4.013990508459051032e-01
1.800000000000000000e+01,9.601534133658459202e-01,3.955452268473955146e-02,2.920639494144042030e-04,4.242621683190314075e-01
2.000000000000000000e+01,9.586315526590963865e-01,4.111091840703782335e-02,2.575289338657265345e-04,4.297960435898506848e-01
2.200000000000000000e+01,9.473979734490527438e-01,5.228352053630622165e-02,3.185060146409728174e-04,4.846926246225158330e-01
2.400000000000000000e+01,9.396436022291450030e-01,5.998344157132899646e-02,3.729561995261184175e-04,5.180268058883414906e-01
2.600000000000000000e+01,9.390281380822147472e-01,6.046369553572302630e-02,5.081663820621593617e-04,5.278360652013665000e-01
2.800000000000000000e+01,9.322840917102110936e-01,6.711871694334778371e-02,5.971913464410848671e-04,5.542277852466408472e-01
3.000000000000000000e+01,9.268635280361843254e-01,7.249123564697652899e-02,6.452363168390748199e-04,5.652058183000812086e-01
3.200000000000000000e+01,9.130650914796465401e-01,8.601744433631515474e-02,9.174641840384371557e-04,6.211671649469205914e-01
3.400000000000000000e+01,8.977602282390272359e-01,1.011849700205276203e-01,1.054801740445147429e-03,6.733739088151777796e-01
3.600000000000000000e+01,8.774142238528954696e-01,1.212327897550177780e-01,1.352986392086771286e-03,7.278617052428020262e-01
3.800000000000000000e+01,8.510181483261597402e-01,1.470087827396946156e-01,1.973068934145690186e-03,8.108076992518971071e-01
4.000000000000000000e+01,8.167428035789450202e-01,1.805408246090208779e-01,2.716371812034080579e-03,8.977211563793408011e-01
4.200000000000000000e+01,7.720765634702724256e-01,2.246681979517052286e-01,3.255238578022379668e-03,9.727804904723427182e-01
4.400000000000000000e+01,7.461891582978433801e-01,2.501972951139071477e-01,3.613546588249530716e-03,9.943307555167453238e-01
4.600000000000000000e+01,7.196679455743623111e-01,2.759557142144210551e-01,4.376340211216717992e-03,1.017844315048043846e+00
4.800000000000000000e+01,6.870438888742212979e-01,3.079968545620370701e-01,4.959256563741539989e-03,1.035232756051171155e+00
5.000000000000000000e+01,6.497541616750340809e-01,3.440065758960470510e-01,6.239262428918899289e-03,1.091333865961337413e+00
5.200000000000000000e+01,5.917620858965797481e-01,3.997360607335747051e-01,8.501853369845666433e-03,1.171224101158292674e+00
5.400000000000000000e+01,5.787532496161220674e-01,4.119862477852697102e-01,9.260502598608170294e-03,1.172216798219148703e+00
5.600000000000000000e+01,5.426983993612652935e-01,4.476227604910096303e-01,9.678840147725104037e-03,1.143796476742185764e+00
5.800000000000000000e+01,5.097408276749072487e-01,4.793913377381757157e-01,1.086783458691709288e-02,1.116798935745130894e+00
6.000000000000000000e+01,4.741856781940682608e-01,5.132457785959002594e-01,1.256854321003154570e-02,1.156756960940586332e+00
6.200000000000000000e+01,4.491681143571469859e-01,5.377511026357236767e-01,1.308078300712932698e-02,1.095208429996865185e+00
6.400000000000000000e+01,4.029020103615102988e-01,5.842135904768217536e-01,1.288439916166789906e-02,1.060889077939607184e+00
6.600000000000000000e+01,3.646797478045066265e-01,6.222299065735293899e-01,1.309034562196403038e-02,9.703815657069370104e-01
6.800000000000000000e+01,3.308439501726837539e-01,6.566088794878279788e-01,1.254717033948828456e-02,9.258585728877166687e-01
7.000000000000000000e+01,3.307695070606072596e-01,6.540358300676639702e-01,1.519466287172873548e-02,8.945836816708467865e-01
7.200000000000000000e+01,2.803412681767013526e-01,7.026000781021558561e-01,1.705865372114279133e-02,8.185239578087173395e-01
7.400000000000000000e+01,2.404238556382969350e-01,7.424902019802706032e-01,1.708594238143261793e-02,8.252377376542452403e-01
7.600000000000000000e+01,2.102866849751574008e-01,7.677179962018733095e-01,2.199531882296943894e-02,8.330575906887514037e-01
7.800000000000000000e+01,1.875550388948794556e-01,7.895143823785745196e-01,2.293057872654584092e-02,8.255571480603001167e-01
8.000000000000000000e+01,1.789400507674348828e-01,8.012736255175381128e-01,1.978632371502705642e-02,7.623113621968276021e-01
8.200000000000000000e+01,1.388993176627580373e-01,8.431304498094261968e-01,1.797023252781570005e-02,7.131851208203703330e-01
8.400000000000000000e+01,1.445562875545055026e-01,8.381992848064839796e-01,1.724442763901065656e-02,7.081544829236561256e-01
8.600000000000000000e+01,1.539278834884951208e-01,8.264347170046295599e-01,1.963739950687536789e-02,7.262446834122695538e-01
8.800000000000000000e+01,1.440647973403244575e-01,8.377302561173977091e-01,1.820494654227776052e-02,6.583662064460260588e-01
9.000000000000000000e+01,1.562918840549803456e-01,8.283660527677733088e-01,1.534206317724635255e-02,6.548378170975543977e-01
9.200000000000000000e+01,1.478144673183570401e-01,8.384125412222148688e-01,1.377299145942825938e-02,6.166702464199993461e-01
9.400000000000000000e+01,1.556137321152837594e-01,8.316534716956311968e-01,1.273279618908499701e-02,6.103358142936913255e-01
9.600000000000000000e+01,1.940370474095419462e-01,7.925816415838564666e-01,1.338131100660159070e-02,6.517405699752738535e-01
9.800000000000000000e+01,2.232843784804185716e-01,7.645252738330345910e-01,1.219034768654678885e-02,6.221772562555456521e-01
1.000000000000000000e+02,2.155917041395048472e-01,7.742307688779780372e-01,1.017752698251730460e-02,5.911916514508075426e-01
1.020000000000000000e+02,2.319105191250546150e-01,7.585225291672766934e-01,9.566951707668873775e-03,5.541188706332877967e-01
1.040000000000000000e+02,2.170188132170648432e-01,7.739644102045462049e-01,9.016776578389094216e-03,5.279059473107241551e-01
1.060000000000000000e+02,2.452855549799601853e-01,7.449965343223821090e-01,9.717910697657740349e-03,5.198711777432400982e-01
1.080000000000000000e+02,2.725355999279748254e-01,7.157823875838287275e-01,1.168201248819650609e-02,5.844095529159538671e-01
1.100000000000000000e+02,2.934164131170104439e-01,6.964403011348822004e-01,1.014328574810733664e-02,5.034775503906468996e-01
1.120000000000000000e+02,2.941109419480893439e-01,6.964180077662756041e-01,9.471050285635041616e-03,5.007462692801503135e-01
1.140000000000000000e+02,3.057993195510094186e-01,6.860020327243496752e-01,8.198647724640878431e-03,5.083206434883184022e-01
1.160000000000000000e+02,3.046324606244781297e-01,6.879517201678944094e-01,7.415819207627523391e-03,4.537658834101352401e-01
1.180000000000000000e+02,2.976118900402698331e-01,6.955554102302999864e-01,6.832699729430270763e-03,4.426000754593635289e-01
1.200000000000000000e+02,3.022954523682397920e-01,6.923563033139404910e-01,5.348244317819733466e-03,4.321268349890468041e-01
1.220000000000000000e+02,3.113597314676120331e-01,6.828739816335059887e-01,5.766286898881995554e-03,4.881679740074686968e-01
1.240000000000000000e+02,3.119820568209573652e-01,6.832729757909709045e-01,4.744967388071711159e-03,4.804048707498329573e-01
1.260000000000000000e+02,3.098128590322062337e-01,6.851963163399885648e-01,4.990824627805269184e-03,4.844955208604642127e-01
1.280000000000000000e+02,3.169333352135555448e-01,6.779994802417094180e-01,5.067184544735077109e-03,4.895104770922920068e-01
1.300000000000000000e+02,3.198624041017933961e-01,6.752186772677761795e-01,4.918918630430367187e-03,5.306420765999324551e-01
1.320000000000000000e+02,3.242618512612543413e-01,6.699091622840153137e-01,5.828986454730403048e-03,5.779893553815116380e-01
1.340000000000000000e+02,3.389630794340562359e-01,6.549972611822413304e-01,6.039659383702402490e-03,5.873242401455616157e-01
1.360000000000000000e+02,3.551524279190174660e-01,6.387440965481916422e-01,6.103475532790966426e-03,6.021602769990552773e-01
1.380000000000000000e+02,3.553913656763696971e-01,6.385430856511535858e-01,6.065548672476812550e-03,6.156606688380241721e-01
1.400000000000000000e+02,3.776850912843774943e-01,6.159144632229246463e-01,6.400445492697802094e-03,6.172648261218975918e-01
1.420000000000000000e+02,3.932356768511202083e-01,6.000284107700437630e-01,6.735912378835943667e-03,6.157105230786521499e-01
1.440000000000000000e+02,4.430081655909071658e-01,5.507312591323648698e-01,6.260575276728024170e-03,6.207986383746255665e-01
1.460000000000000000e+02,4.619447043715575463e-01,5.317155641231398056e-01,6.339731505302637765e-03,6.360303449740267734e-01
1.480000000000000000e+02,4.412249952872985825e-01,5.522940238881913766e-01,6.480980824510191793e-03,6.243898771428730843e-01
1.500000000000000000e+02,4.359539893834119550e-01,5.561692526463581920e-01,7.876757970229859851e-03,6.987864305190243375e-01
1.520000000000000000e+02,4.710576662698549022e-01,5.216998461262044584e-01,7.242487603940597762e-03,6.452851787987490262e-01
1.540000000000000000e+02,4.966313947754946168e-01,4.972927410756691757e-01,6.075864148836275166e-03,6.245963841299559949e-01
1.560000000000000000e+02,5.183609616332743864e-01,4.752155873553961518e-01,6.423451011329595409e-03,6.186719326748086889e-01
1.580000000000000000e+02,5.298676695313098151e-01,4.630352604927909232e-01,7.097069975899238277e-03,6.029854869999518030e-01
1.600000000000000000e+02,5.442411043418942107e-01,4.481615848264762780e-01,7.597310831629473099e-03,5.071554535988826995e-01
1.620000000000000000e+02,5.728747773925796372e-01,4.194188516595385163e-01,7.706370947881883808e-03,5.630003848500333419e-01
1.640000000000000000e+02,5.726003603945736264e-01,4.186481669365598179e-01,8.751472668866559085e-03,5.771581121750808396e-01
1.660000000000000000e+02,5.986542054463436235e-01,3.934477146990911223e-01,7.898079854565238575e-03,5.590576425203461763e-01
1.680000000000000000e+02,6.275187920276075193e-01,3.655247698319882277e-01,6.956438140404356228e-03,5.596735824145449012e-01
1.700000000000000000e+02,6.362020937336065884e-01,3.560448693117928554e-01,7.753036954600649872e-03,5.363936012029593137e-01
1.720000000000000000e+02,6.487022814531901993e-01,3.441064456965728380e-01,7.191272850236981803e-03,5.359258167033849052e-01
1.740000000000000000e+02,6.473399789276272909e-01,3.457146000634400695e-01,6.945421008932616165e-03,5.100362520020422785e-01
1.760000000000000000e+02,6.726552253389895819e-01,3.191304378316525137e-01,8.214336829358036274e-03,5.638385816910003179e-01
1.780000000000000000e+02,6.679280102276058395e-01,3.221273373539052520e-01,9.944652418488799175e-03,5.485827229242409286e-01
1.800000000000000000e+02,6.507517181445579002e-01,3.396666007733993298e-01,9.581681082042738801e-03,5.192176166020791017e-01
1.820000000000000000e+02,6.672835480048038281e-01,3.232939891943871213e-01,9.422462800809197972e-03,5.650091537446588763e-01
1.840000000000000000e+02,6.151282344834745341e-01,3.756560182773627243e-01,9.215747239162751930e-03,5.535790567272227403e-01
1.860000000000000000e+02,5.944290089761619100e-01,3.966992579780528883e-01,8.871733045785416827e-03,5.594341623539749175e-01
1.880000000000000000e+02,6.043936370579285899e-01,3.863197870177660920e-01,9.286575924305193186e-03,6.421767044791216739e-01
1.900000000000000000e+02,5.999768715880452463e-01,3.912123938676853596e-01,8.810734544269364574e-03,6.643647480041157127e-01
1.920000000000000000e+02,5.842411873460126026e-01,4.073494314224772039e-01,8.409381231510233354e-03,6.680540850404863562e-01
1.940000000000000000e+02,5.900171136360543578e-01,4.018769600737009950e-01,8.105926290244707885e-03,6.934730319643125362e-01
1.960000000000000000e+02,5.394182851945166224e-01,4.530352183460583104e-01,7.546496459425088010e-03,6.594652033272287994e-01
1.980000000000000000e+02,4.988794788720842255e-01,4.920175985501730187e-01,9.102922577742825205e-03,6.585093873011427235e-01
