time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,9.9992866413e-01,6.7824754361e-05,2.6917193626e-07,3.0909181582e-07,3.9634696576e-07,1.6628483623e-06,8.7365663946e-07,2.4403784424e-02
1.0000000000e+00,9.9971315143e-01,2.7285474334e-04,1.0751221145e-06,1.2423188937e-06,1.5866211311e-06,6.5811178425e-06,3.5086466503e-06,4.9034655691e-02
1.5000000000e+00,9.9935334721e-01,6.1516389641e-04,2.4177652460e-06,2.8037473125e-06,3.5610058284e-06,1.4823425506e-05,7.8829479752e-06,7.3818523102e-02
2.0000000000e+00,9.9885480585e-01,1.0896020609e-03,4.3164814076e-06,4.8997713879e-06,6.3069052147e-06,2.6197967786e-05,1.3870967178e-05,9.8461930341e-02
2.5000000000e+00,9.9820931666e-01,1.7042529278e-03,6.7511148764e-06,7.5765005180e-06,9.8837837776e-06,4.0636867636e-05,2.1582141549e-05,1.2337636655e-01
3.0000000000e+00,9.9744896404e-01,2.4265762245e-03,9.8667857709e-06,1.0937727033e-05,1.4262318005e-05,5.8288082926e-05,3.1104820762e-05,1.4793095565e-01
3.5000000000e+00,9.9654507499e-01,3.2848794407e-03,1.3513310290e-05,1.4865399283e-05,1.9694269804e-05,7.9149045353e-05,4.2823549343e-05,1.7285942833e-01
4.0000000000e+00,9.9546764851e-01,4.3088902507e-03,1.8086309781e-05,1.9281273570e-05,2.6195177569e-05,1.0378808476e-04,5.6110395049e-05,1.9860410706e-01
4.5000000000e+00,9.9427921411e-01,5.4383638384e-03,2.3005545092e-05,2.4615859783e-05,3.3124132517e-05,1.3111652175e-04,7.0559996771e-05,2.2375282503e-01
5.0000000000e+00,9.9300799807e-01,6.6478174383e-03,2.8068208907e-05,3.0422870594e-05,4.0513577280e-05,1.5858299033e-04,8.6596844098e-05,2.4790636374e-01
5.5000000000e+00,9.9146233491e-01,8.1200159078e-03,3.4431578159e-05,3.7064161542e-05,4.9158323248e-05,1.9221015623e-04,1.0478496065e-04,2.7439638498e-01
6.0000000000e+00,9.8983684212e-01,9.6671023284e-03,4.1366283581e-05,4.3810955272e-05,5.8260147219e-05,2.2956462672e-04,1.2305353611e-04,2.9992026249e-01
6.5000000000e+00,9.8818054680e-01,1.1232828781e-02,4.9781393969e-05,5.2196318947e-05,6.8852527714e-05,2.7100959343e-04,1.4478458836e-04,3.2507489817e-01
7.0000000000e+00,9.8631740057e-01,1.2998745047e-02,5.8520095739e-05,6.0401205052e-05,8.1046804450e-05,3.1460507527e-04,1.6928120531e-04,3.5094230210e-01
7.5000000000e+00,9.8439985511e-01,1.4818725749e-02,6.7506701639e-05,6.8500370682e-05,9.2525339241e-05,3.6125939191e-04,1.9162733476e-04,3.7552973805e-01
8.0000000000e+00,9.8221878381e-01,1.6893092256e-02,7.8946453896e-05,7.8172208392e-05,1.0629755654e-04,4.0855391433e-04,2.1615379772e-04,4.0176607544e-01
8.5000000000e+00,9.7990287238e-01,1.9096351110e-02,8.9926506172e-05,8.8617846704e-05,1.1984585563e-04,4.5929996069e-04,2.4308634205e-04,4.2784448559e-01
9.0000000000e+00,9.7741457442e-01,2.1461508637e-02,1.0227277724e-04,1.0012035976e-04,1.3450904319e-04,5.1557460505e-04,2.7144016158e-04,4.5440203627e-01
9.5000000000e+00,9.7472064137e-01,2.4019711605e-02,1.1720414171e-04,1.1348602286e-04,1.5247187659e-04,5.7493997545e-04,3.0154501263e-04,4.8203208462e-01
1.0000000000e+01,9.7188581338e-01,2.6720583673e-02,1.3345031959e-04,1.2624133572e-04,1.6742492028e-04,6.3259227302e-04,3.3389409608e-04,5.0900992213e-01
1.0500000000e+01,9.6884628632e-01,2.9615893502e-02,1.4985529537e-04,1.3999779283e-04,1.8684462073e-04,6.9357617070e-04,3.6754630281e-04,5.3659381242e-01
1.1000000000e+01,9.6604645771e-01,3.2273519643e-02,1.6652074401e-04,1.5362815455e-04,2.0574370756e-04,7.5042825106e-04,4.0370179306e-04,5.6144475616e-01
1.1500000000e+01,9.6307260275e-01,3.5082129483e-02,1.8552184513e-04,1.7011580376e-04,2.2497031728e-04,8.2197436012e-04,4.4268543900e-04,5.8742517606e-01
1.2000000000e+01,9.6002850087e-01,3.7953682467e-02,2.0524220950e-04,1.8671574215e-04,2.4685820655e-04,8.9589501894e-04,4.8310548722e-04,6.1319557159e-01
1.2500000000e+01,9.5680443985e-01,4.1005391352e-02,2.2711667989e-04,2.0285764152e-04,2.6808339311e-04,9.6489358398e-04,5.2721750191e-04,6.3908335185e-01
