time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,ipr,qfi,entropy
0.0000000000e+00,7.9575712535e-03,1.4100656603e-02,9.6174927802e-01,1.0492962701e-03,2.7470742917e-03,2.6443367836e-03,9.7517867802e-03,1.0266916387e+00,1.0806902071e+00,8.6000423592e+03,1.6578623772e-10
2.0000000000e+00,7.6131967789e-03,1.1512596725e-02,9.6503355136e-01,1.2455458777e-03,2.2492414648e-03,2.4524537624e-03,9.8934140307e-03,9.7660372715e-01,1.0734327157e+00,8.6448110931e+03,4.6894703787e-03
4.0000000000e+00,6.9564572697e-03,1.1109516867e-02,9.6573036745e-01,1.9947762817e-03,2.1604212051e-03,1.8708965084e-03,1.0177564416e-02,9.6755314155e-01,1.0719001854e+00,8.6945202082e+03,6.2337573664e-03
6.0000000000e+00,5.9101689336e-03,1.0575717908e-02,9.6739271111e-01,3.2913855473e-03,1.8073236587e-03,1.6602149286e-03,9.3624779160e-03,9.4590592461e-01,1.0682620002e+00,8.7952429398e+03,8.7727908863e-03
8.0000000000e+00,4.8150281706e-03,8.7555177313e-03,9.7290623520e-01,3.7792767433e-03,1.4112001551e-03,1.1416435649e-03,7.1910984307e-03,8.3339850364e-01,1.0562833442e+00,9.1211151587e+03,1.8154801171e-02
1.0000000000e+01,3.8812689484e-03,7.4894565098e-03,9.7611396107e-01,4.7732529648e-03,1.2901962984e-03,8.8891808111e-04,5.5629461272e-03,7.7063277107e-01,1.0493996420e+00,9.9161549727e+03,1.9156400977e-02
1.2000000000e+01,2.5358105880e-03,4.3398983157e-03,9.8203538918e-01,5.7556119468e-03,1.0172194619e-03,6.0344602441e-04,3.7126244827e-03,6.5839663361e-01,1.0368420245e+00,1.0903388583e+04,1.2928416228e-02
1.4000000000e+01,1.8623335673e-03,3.2487756225e-03,9.8294872112e-01,7.0541203088e-03,1.0443081624e-03,4.6895132006e-04,3.3727899029e-03,6.3242156891e-01,1.0349131490e+00,1.1862606658e+04,9.3824586369e-03
1.6000000000e+01,1.1091036748e-03,2.6022187107e-03,9.8631241312e-01,6.3839453640e-03,9.3509426591e-04,3.6540441950e-04,2.2918204449e-03,5.5971729596e-01,1.0278895281e+00,1.3048678343e+04,5.1992658777e-03
1.8000000000e+01,8.3917683390e-04,2.5485019517e-03,9.8483362613e-01,8.7758928049e-03,8.8241026303e-04,3.4308240187e-04,1.7773096137e-03,5.6384796188e-01,1.0309432017e+00,1.3845395256e+04,4.0858314722e-03
2.0000000000e+01,8.7967678849e-04,3.0998211194e-03,9.7937329152e-01,1.3367615772e-02,9.8486993846e-04,3.3342160318e-04,1.9613032535e-03,6.3175596983e-01,1.0423550033e+00,1.4687449706e+04,7.1829129131e-03
2.2000000000e+01,7.5364976620e-04,3.4011576895e-03,9.7751765652e-01,1.5189198708e-02,1.0312842720e-03,3.2483594186e-04,1.7822170985e-03,6.4742733207e-01,1.0462571616e+00,1.5323840846e+04,6.0716542799e-03
2.4000000000e+01,7.3457186164e-04,3.5538403066e-03,9.7730373381e-01,1.5395473026e-02,1.0399182400e-03,3.4300097148e-04,1.6294617849e-03,6.4238662739e-01,1.0467076189e+00,1.5533566848e+04,7.7156906565e-03
2.6000000000e+01,6.0455076867e-04,2.8613863607e-03,9.7671299303e-01,1.6939855771e-02,1.0217672133e-03,2.9507763904e-04,1.5643692179e-03,6.2129237977e-01,1.0479243460e+00,1.6086985463e+04,1.0787243174e-02
2.8000000000e+01,6.3632334111e-04,2.8005762724e-03,9.7554957981e-01,1.7307458101e-02,1.4345087894e-03,2.8896789260e-04,1.9825857916e-03,6.5084372038e-01,1.0504081955e+00,1.5718587369e+04,1.0447664061e-02
3.0000000000e+01,9.2978573883e-04,2.8614860639e-03,9.7395850982e-01,1.7712760079e-02,1.7785679102e-03,3.1234264612e-04,2.4465477419e-03,6.7973968629e-01,1.0538215989e+00,1.5409869589e+04,1.3404656354e-02
3.2000000000e+01,9.9085573538e-04,2.2199613252e-03,9.7549345509e-01,1.7036627008e-02,1.7577750540e-03,2.1830523540e-04,2.2830205512e-03,6.5268151037e-01,1.0505393610e+00,1.5323904410e+04,1.2537340378e-02
3.4000000000e+01,1.3397487470e-03,2.3510185945e-03,9.6941893965e-01,2.1352110652e-02,2.2466825342e-03,2.2066129679e-04,3.0708385216e-03,7.2709002979e-01,1.0635459769e+00,1.5033582797e+04,1.6580285650e-02
3.6000000000e+01,1.8695039616e-03,2.3528815468e-03,9.6237121135e-01,2.6457395479e-02,2.6548980561e-03,2.3482388405e-04,4.0592857206e-03,7.9651138638e-01,1.0788755623e+00,1.5564001845e+04,2.2091191895e-02
3.8000000000e+01,2.1155710994e-03,2.1490092981e-03,9.5769729992e-01,3.0154491845e-02,3.3029675429e-03,1.9422886619e-04,4.3864314257e-03,8.3938384088e-01,1.0891671835e+00,1.5220540578e+04,2.3122830907e-02
4.0000000000e+01,2.2516647333e-03,2.0059855396e-03,9.5789185372e-01,2.9590278751e-02,3.0046908870e-03,1.6159871424e-04,5.0939276597e-03,8.3927483542e-01,1.0887595023e+00,1.4070413800e+04,2.1757122434e-02
4.2000000000e+01,2.3115737607e-03,2.5195082636e-03,9.5041249316e-01,3.4728565121e-02,3.9084356251e-03,1.5159953799e-04,5.9678245320e-03,9.1391792122e-01,1.1055189229e+00,1.3850596910e+04,2.5732541286e-02
4.4000000000e+01,2.3009558893e-03,3.0714421215e-03,9.4160811722e-01,4.0577062939e-02,4.6779377974e-03,1.4985745775e-04,7.6146265759e-03,9.9844082319e-01,1.1256609535e+00,1.3589482544e+04,3.0470115090e-02
4.6000000000e+01,2.0274575892e-03,3.6222314488e-03,9.2923979646e-01,5.1390276666e-02,4.8433111920e-03,1.9288024783e-04,8.6840463972e-03,1.0722622263e+00,1.1544095521e+00,1.2566336031e+04,3.8551681487e-02
4.8000000000e+01,2.0872516656e-03,4.4067535248e-03,9.1232757143e-01,6.5665346533e-02,5.9335614685e-03,2.4352648239e-04,9.3359888950e-03,1.1645770640e+00,1.1950290540e+00,1.2739602710e+04,6.1277205863e-02
5.0000000000e+01,2.1558940798e-03,6.1687866476e-03,9.0231631567e-01,7.4052523917e-02,5.6480011383e-03,3.1255606774e-04,9.3459224748e-03,1.2028191166e+00,1.2197791252e+00,1.2512410606e+04,8.9328202690e-02
5.2000000000e+01,1.8920631971e-03,7.7263711240e-03,9.0551118623e-01,7.0930897507e-02,4.8533617039e-03,3.9792178185e-04,8.6881984585e-03,1.1815887676e+00,1.2119094209e+00,1.2782436384e+04,8.8762095695e-02
5.4000000000e+01,1.5607586324e-03,7.6869555080e-03,9.0565686837e-01,7.0225227732e-02,5.5524615929e-03,4.8750374894e-04,8.8302244135e-03,1.1748378115e+00,1.2116563599e+00,1.2398184940e+04,9.5912685570e-02
5.6000000000e+01,1.7014612117e-03,9.0821660547e-03,8.9739408305e-01,7.6227249417e-02,6.0131902106e-03,7.8136372098e-04,8.8004863319e-03,1.2356172209e+00,1.2325496664e+00,1.2361366232e+04,9.5708336984e-02
5.8000000000e+01,1.5007621114e-03,8.2744385779e-03,8.7975373014e-01,9.7758298126e-02,5.7145284599e-03,8.6952143154e-04,6.1287211538e-03,1.2360490014e+00,1.2760554536e+00,1.3142196491e+04,1.1998778406e-01
6.0000000000e+01,1.3862824846e-03,8.2202451934e-03,8.6420338842e-01,1.1384021761e-01,5.3435918994e-03,8.6656165930e-04,6.1397127379e-03,1.2602507902e+00,1.3158871491e+00,1.2987043950e+04,1.4257635941e-01
6.2000000000e+01,1.3364228267e-03,1.0020737535e-02,8.5884474903e-01,1.1576650997e-01,5.4630983028e-03,1.1328477739e-03,7.4356345603e-03,1.2784500900e+00,1.3311948905e+00,1.3030681678e+04,1.8693306605e-01
6.4000000000e+01,1.2843193757e-03,1.2802700946e-02,8.5557590283e-01,1.1632268157e-01,6.1494680886e-03,1.1086626380e-03,6.7562645527e-03,1.3069470726e+00,1.3408576138e+00,1.3009995367e+04,1.9374801392e-01
6.6000000000e+01,1.4269294339e-03,1.3151938267e-02,8.4957329710e-01,1.2280906366e-01,6.4069654145e-03,1.0330166347e-03,5.5987894897e-03,1.2923458251e+00,1.3566582213e+00,1.3396988644e+04,2.1205072038e-01
6.8000000000e+01,1.3414696202e-03,1.2388939388e-02,8.2492454439e-01,1.4846713906e-01,6.4737731331e-03,9.3017110609e-04,5.4739632992e-03,1.3715722532e+00,1.4229385841e+00,1.4679809275e+04,2.0183098261e-01
7.0000000000e+01,1.3243364703e-03,1.0439693725e-02,8.3265961749e-01,1.4430366653e-01,5.6230818520e-03,6.9941326240e-04,4.9501906756e-03,1.3366066076e+00,1.3999466387e+00,1.5026476993e+04,1.7529147643e-01
7.2000000000e+01,1.1593433031e-03,1.0687115651e-02,8.1074867724e-01,1.6702974080e-01,5.5942107919e-03,5.9546622133e-04,4.1854459975e-03,1.3340662474e+00,1.4590508376e+00,1.5802060933e+04,2.0880884016e-01
7.4000000000e+01,1.0928601445e-03,1.0629477040e-02,7.7550658093e-01,2.0134611266e-01,6.8026675102e-03,5.5103643918e-04,4.0712652718e-03,1.3389855097e+00,1.5573217848e+00,1.6051400872e+04,2.7196101826e-01
7.6000000000e+01,1.1380431941e-03,9.5657231919e-03,7.6904477047e-01,2.0826940041e-01,6.9919070161e-03,5.0014703799e-04,4.4900086746e-03,1.3120428184e+00,1.5748822721e+00,1.6390708451e+04,2.9398846861e-01
7.8000000000e+01,1.0923924561e-03,8.1102418567e-03,7.3257216252e-01,2.4727271283e-01,6.5115083037e-03,3.8397640385e-04,4.0570056304e-03,1.2069922488e+00,1.6724316959e+00,1.5641707950e+04,3.8769295197e-01
8.0000000000e+01,1.2086206216e-03,8.5253559359e-03,6.8528406740e-01,2.9207195930e-01,7.1858879600e-03,4.1925929509e-04,5.3048494937e-03,1.2969343088e+00,1.8015603632e+00,1.6433354436e+04,4.0575019113e-01
8.2000000000e+01,1.2550879254e-03,8.3117249982e-03,6.7492680425e-01,2.9995865658e-01,8.5777158370e-03,4.3706661716e-04,6.5329437934e-03,1.3243598653e+00,1.8325473422e+00,1.6748272938e+04,4.1237616613e-01
8.4000000000e+01,1.7191290052e-03,8.3630042520e-03,6.6483812105e-01,3.0332378630e-01,1.0775443569e-02,5.0696290079e-04,1.0473552919e-02,1.4327521572e+00,1.8715586565e+00,1.6381709237e+04,4.0505915037e-01
8.6000000000e+01,1.7246110608e-03,6.7721632695e-03,6.6538250574e-01,3.0260748579e-01,1.2462404993e-02,5.1715390044e-04,1.0533675247e-02,1.4124815155e+00,1.8704855486e+00,1.6964674692e+04,4.1254501317e-01
8.8000000000e+01,1.9298318829e-03,6.9300159343e-03,6.4884035801e-01,3.1761047074e-01,1.2052910112e-02,5.2851430676e-04,1.2107899013e-02,1.4416063969e+00,1.9149233127e+00,1.5024018267e+04,4.3488525487e-01
9.0000000000e+01,2.8047664895e-03,7.4148995779e-03,6.3415452448e-01,3.2714670304e-01,1.4271015221e-02,5.7291406285e-04,1.3635177121e-02,1.5349484427e+00,1.9622091013e+00,1.4272060285e+04,4.3174470473e-01
9.2000000000e+01,3.1167926761e-03,7.2213681857e-03,6.4846741034e-01,3.0908059742e-01,1.4281900035e-02,5.9108002662e-04,1.7240851325e-02,1.5457884666e+00,1.9357177949e+00,1.2920691924e+04,4.3401103220e-01
9.4000000000e+01,3.7045697953e-03,6.6603217394e-03,6.4201189271e-01,3.1551143177e-01,1.3375021775e-02,5.9113784612e-04,1.8145624372e-02,1.5564077278e+00,1.9520067060e+00,1.1673259757e+04,4.5075248483e-01
9.6000000000e+01,4.0786358664e-03,5.8036400872e-03,6.3466039748e-01,3.2636466869e-01,1.2184078368e-02,5.1296857286e-04,1.6395610936e-02,1.5468560171e+00,1.9616475711e+00,1.2637479688e+04,4.4719238096e-01
9.8000000000e+01,5.1062776230e-03,5.6166783949e-03,5.9865135688e-01,3.5617896761e-01,1.5718018866e-02,6.0382011683e-04,1.8124880504e-02,1.6259870022e+00,2.0581194101e+00,1.4223396973e+04,4.5511269530e-01
1.0000000000e+02,5.5763114139e-03,6.0113452923e-03,5.8973422628e-01,3.5987199250e-01,1.6298575139e-02,6.8388669360e-04,2.1823662683e-02,1.7081596178e+00,2.0915954681e+00,1.4674986026e+04,4.4100941932e-01
1.0200000000e+02,7.3037393912e-03,6.3597734994e-03,5.9138835469e-01,3.4852028811e-01,2.1676945710e-02,1.0405985860e-03,2.3710300014e-02,1.7992317147e+00,2.1171480705e+00,1.4633423773e+04,4.3571475969e-01
1.0400000000e+02,7.6903135415e-03,6.5783398739e-03,5.8228571582e-01,3.5191499755e-01,2.6403825026e-02,1.2317446591e-03,2.3895063531e-02,1.8172623229e+00,2.1539056524e+00,1.3902042338e+04,4.4867333452e-01
1.0600000000e+02,8.8687468744e-03,5.9377261404e-03,6.0572036890e-01,3.2202703924e-01,2.9873195062e-02,1.3347710420e-03,2.6238152742e-02,1.8029864566e+00,2.1173202016e+00,1.3432878915e+04,4.6063376863e-01
1.0800000000e+02,1.2624916056e-02,5.6830184525e-03,6.3381872980e-01,2.8457607459e-01,3.0743889039e-02,1.7578189668e-03,3.0795553093e-02,1.8761960574e+00,2.0627145572e+00,1.3569368961e+04,4.3060155594e-01
1.1000000000e+02,1.2703825347e-02,6.1334020552e-03,5.9785290083e-01,3.0002944695e-01,3.9145621083e-02,1.6845163608e-03,4.2450287380e-02,1.9599725574e+00,2.2173833497e+00,1.3526403419e+04,4.6382109980e-01
1.1200000000e+02,1.0647876519e-02,6.2602990163e-03,5.8433214239e-01,3.1209583336e-01,4.3654948157e-02,2.3151378846e-03,4.0693762679e-02,1.9194109695e+00,2.2595421912e+00,1.3472849827e+04,4.9505072184e-01
1.1400000000e+02,1.1092891518e-02,6.5312103629e-03,5.6632520992e-01,3.3469951569e-01,4.1359902795e-02,3.2268752887e-03,3.6764394421e-02,1.9137805681e+00,2.2936495628e+00,1.3568507100e+04,5.1488121785e-01
1.1600000000e+02,1.1632187739e-02,6.3608393819e-03,5.2929430878e-01,3.6293405138e-01,4.8487761347e-02,4.0459417870e-03,3.7244909580e-02,1.9559515843e+00,2.4049794139e+00,1.4831469788e+04,5.3761690292e-01
1.1800000000e+02,1.2557414592e-02,7.1537923359e-03,5.3320230177e-01,3.5327505687e-01,5.2556816377e-02,4.1665402019e-03,3.7088077844e-02,1.9900116046e+00,2.4185438638e+00,1.5252817151e+04,5.3555668602e-01
1.2000000000e+02,1.2039136477e-02,6.5924754313e-03,4.9948415255e-01,3.8240701493e-01,5.4060101088e-02,5.3149525418e-03,4.0102166974e-02,1.9872372005e+00,2.4970854499e+00,1.4403034569e+04,5.7268420142e-01
1.2200000000e+02,1.0368629438e-02,5.5958692255e-03,4.8697345663e-01,3.8404374855e-01,5.5582255625e-02,6.0541145250e-03,5.1381926010e-02,1.9898665434e+00,2.5605721768e+00,1.4376145083e+04,5.9531102235e-01
1.2400000000e+02,1.0601034889e-02,5.1508158752e-03,4.8118816245e-01,3.9869763071e-01,5.2534686354e-02,6.6830496268e-03,4.5144620089e-02,1.8985232755e+00,2.5285514266e+00,1.3630556796e+04,6.2297160356e-01
1.2600000000e+02,9.2780405694e-03,4.3823067838e-03,4.8343222572e-01,3.8445153399e-01,6.0100980923e-02,6.5355650248e-03,5.1819346992e-02,1.8058729619e+00,2.5776180616e+00,1.1802001839e+04,6.8554119457e-01
1.2800000000e+02,8.9108297906e-03,3.6531710799e-03,4.7610725577e-01,4.0008508548e-01,5.9038710104e-02,7.0697908178e-03,4.5135156964e-02,1.8132030357e+00,2.5483441476e+00,1.1018825917e+04,6.6760637037e-01
1.3000000000e+02,8.9203017160e-03,3.1498226985e-03,4.7889448286e-01,3.9231543778e-01,5.0118128432e-02,9.2001496312e-03,5.7401676881e-02,1.8508112756e+00,2.5691602283e+00,1.0361096010e+04,6.6002807798e-01
1.3200000000e+02,9.3659465835e-03,2.6831903039e-03,4.9865626906e-01,3.7086121686e-01,4.6684293912e-02,9.9929441695e-03,6.1756139111e-02,1.8912696441e+00,2.5485229840e+00,9.5110437567e+03,6.2792448504e-01
1.3400000000e+02,9.1245394072e-03,2.3659941372e-03,4.8970498431e-01,3.6721539560e-01,5.9505906768e-02,9.3422871823e-03,6.2740892596e-02,1.9181066384e+00,2.6156672621e+00,9.1440553183e+03,6.4599127915e-01
1.3600000000e+02,9.0292178330e-03,2.0572866799e-03,5.0206587003e-01,3.5904773855e-01,5.4954204587e-02,1.1736280733e-02,6.1109401590e-02,1.8677998195e+00,2.5775637955e+00,8.6318602257e+03,6.5581231202e-01
1.3800000000e+02,8.0612786659e-03,2.2304791527e-03,4.8001215602e-01,3.6777652105e-01,6.6480398367e-02,1.3192257217e-02,6.2246909528e-02,1.8665875579e+00,2.6722994794e+00,7.8066071595e+03,7.0133542643e-01
1.4000000000e+02,7.7430319162e-03,2.5895730689e-03,4.6927351903e-01,3.8475103913e-01,6.2207869068e-02,1.1594048907e-02,6.1840918882e-02,1.8095643823e+00,2.6585407596e+00,7.7616790535e+03,6.9611292174e-01
1.4200000000e+02,6.1960629410e-03,2.7097943175e-03,4.7138982016e-01,3.7058120219e-01,7.4058988024e-02,1.2101039298e-02,6.2963093068e-02,1.8656447109e+00,2.7087054568e+00,7.6737408282e+03,6.8842964838e-01
1.4400000000e+02,5.8424837581e-03,2.7943927842e-03,4.6337626122e-01,3.8671532509e-01,6.7920219377e-02,1.0927382420e-02,6.2423935350e-02,1.9167976296e+00,2.6814140366e+00,8.0652243832e+03,6.5128081437e-01
1.4600000000e+02,7.3831608130e-03,2.9458186628e-03,4.6230855471e-01,3.9303645025e-01,6.7257041761e-02,9.3268458368e-03,5.7742127966e-02,1.8932212520e+00,2.6580567392e+00,7.9734929382e+03,6.5290085723e-01
1.4800000000e+02,7.0229379779e-03,3.8774330674e-03,4.5845591827e-01,3.9010380859e-01,7.4078728268e-02,9.2149362523e-03,5.7246237582e-02,1.9708822795e+00,2.6934077427e+00,7.8243761993e+03,6.4152265334e-01
1.5000000000e+02,7.0838372693e-03,3.7661645981e-03,4.5420649338e-01,3.8312929004e-01,8.5802757381e-02,7.6979349218e-03,5.8313522403e-02,1.9568225145e+00,2.7474203509e+00,8.2814325808e+03,6.5416172781e-01
1.5200000000e+02,8.1445220325e-03,3.2916462979e-03,4.6480697415e-01,3.6928564325e-01,8.8885134480e-02,1.0521875152e-02,5.5064204647e-02,2.0103202982e+00,2.7507446716e+00,9.8255005566e+03,6.3774392969e-01
1.5400000000e+02,1.0577912899e-02,3.5706375975e-03,4.7006593639e-01,3.4927583182e-01,9.1413000997e-02,1.1888185339e-02,6.3208494960e-02,2.0880870321e+00,2.8123603379e+00,1.0621428140e+04,6.3294596285e-01
1.5600000000e+02,1.2897897502e-02,3.4110923577e-03,4.9729179203e-01,3.3103245976e-01,8.4588984768e-02,8.9639708258e-03,6.1813802757e-02,2.0753623311e+00,2.7165335111e+00,9.8878785203e+03,6.2016107776e-01
1.5800000000e+02,1.0516272062e-02,2.8461165837e-03,5.0375482402e-01,3.3532629158e-01,8.1948882563e-02,5.8174510482e-03,5.9790162140e-02,1.9697243591e+00,2.6549448199e+00,8.3322474293e+03,6.2461148874e-01
1.6000000000e+02,1.1859378602e-02,2.7391533706e-03,5.1908657328e-01,3.3062301857e-01,7.5132121364e-02,6.1720809157e-03,5.4387673894e-02,1.9559214302e+00,2.5803019105e+00,8.5673726909e+03,6.0789883518e-01
1.6200000000e+02,1.1255618626e-02,2.7009425382e-03,5.1422304077e-01,3.5317828793e-01,6.3505469168e-02,7.1095417701e-03,4.8027099196e-02,1.8568802273e+00,2.5272672217e+00,8.3379985368e+03,6.2383333930e-01
1.6400000000e+02,9.8204088457e-03,2.4178632752e-03,5.3873899492e-01,3.2834251006e-01,5.7360362741e-02,9.8929809796e-03,5.3426879179e-02,1.8871746355e+00,2.4728401246e+00,6.9293681886e+03,6.1234910733e-01
