time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0000000000e-01,9.9992877407e-01,6.7753946576e-05,2.6664140489e-07,3.0604529542e-07,3.9342289466e-07,1.6442180919e-06,8.6165165951e-07,0.0000000000e+00
1.0000000000e+00,9.9971017176e-01,2.7568443504e-04,1.0733554797e-06,1.2468642816e-06,1.6029110753e-06,6.7442843555e-06,3.4763873065e-06,0.0000000000e+00
1.5000000000e+00,9.9933990801e-01,6.2827517184e-04,2.4067911266e-06,2.7868700956e-06,3.5490998642e-06,1.5276211046e-05,7.7978450762e-06,0.0000000000e+00
2.0000000000e+00,9.9879375901e-01,1.1494949565e-03,4.4050275143e-06,4.9644190180e-06,6.4385991005e-06,2.7187890752e-05,1.3750097983e-05,0.0000000000e+00
2.5000000000e+00,9.9813025197e-01,1.7808206337e-03,6.8570905177e-06,7.6895371681e-06,1.0079129464e-05,4.2899480135e-05,2.1402155227e-05,0.0000000000e+00
3.0000000000e+00,9.9744689734e-01,2.4270657241e-03,9.7825562701e-06,1.0821587913e-05,1.4415490956e-05,5.9963521110e-05,3.1053780971e-05,0.0000000000e+00
3.5000000000e+00,9.9651703078e-01,3.3107384079e-03,1.3444359853e-05,1.4755240541e-05,1.9962738175e-05,8.1356045437e-05,4.2712423284e-05,0.0000000000e+00
4.0000000000e+00,9.9542201558e-01,4.3494277277e-03,1.8213520222e-05,1.9378413778e-05,2.6551738432e-05,1.0823006708e-04,5.6182953472e-05,0.0000000000e+00
4.5000000000e+00,9.9429707192e-01,5.4189220924e-03,2.2709413189e-05,2.4242635183e-05,3.2600355692e-05,1.3395901524e-04,7.0494565314e-05,0.0000000000e+00
5.0000000000e+00,9.9316145806e-01,6.4931790774e-03,2.7712185477e-05,2.9381821719e-05,3.9313634242e-05,1.6232183288e-04,8.6633386124e-05,0.0000000000e+00
5.5000000000e+00,9.9162742662e-01,7.9550748463e-03,3.3602977866e-05,3.5696257125e-05,4.6942727129e-05,1.9651222398e-04,1.0474434738e-04,0.0000000000e+00
6.0000000000e+00,9.9002703121e-01,9.4755550792e-03,3.9988864803e-05,4.2454015838e-05,5.5767418104e-05,2.3564150230e-04,1.2356190925e-04,0.0000000000e+00
6.5000000000e+00,9.8837986421e-01,1.1027611769e-02,4.8997736747e-05,5.1085494955e-05,6.6755582689e-05,2.7820526884e-04,1.4747993418e-04,0.0000000000e+00
7.0000000000e+00,9.8656564866e-01,1.2743102815e-02,5.8089777543e-05,6.0020298606e-05,7.8885214834e-05,3.2384146708e-04,1.7041176592e-04,0.0000000000e+00
7.5000000000e+00,9.8494150622e-01,1.4278972289e-02,6.6531434079e-05,6.7932991823e-05,9.0967727382e-05,3.6323067363e-04,1.9085866626e-04,0.0000000000e+00
8.0000000000e+00,9.8275133964e-01,1.6362599029e-02,7.7699117919e-05,7.7281644311e-05,1.0355778800e-04,4.1195926133e-04,2.1556352016e-04,0.0000000000e+00
8.5000000000e+00,9.8021147742e-01,1.8772964153e-02,9.0896217781e-05,8.9438711061e-05,1.1864184431e-04,4.7238562095e-04,2.4419603742e-04,0.0000000000e+00
9.0000000000e+00,9.7756835961e-01,2.1270620203e-02,1.0517985804e-04,1.0432630439e-04,1.3600944515e-04,5.3793143397e-04,2.7757314113e-04,0.0000000000e+00
9.5000000000e+00,9.7486433557e-01,2.3810761776e-02,1.2233125612e-04,1.1974276408e-04,1.5737790692e-04,6.1279490808e-04,3.1265581601e-04,0.0000000000e+00
1.0000000000e+01,9.7204701525e-01,2.6501401527e-02,1.3979945964e-04,1.3266654910e-04,1.7213649979e-04,6.6822701339e-04,3.3875370519e-04,0.0000000000e+00
1.0500000000e+01,9.6929741482e-01,2.9099596354e-02,1.5802314847e-04,1.4513456872e-04,1.9146013622e-04,7.3242905507e-04,3.7594191475e-04,0.0000000000e+00
1.1000000000e+01,9.6714850254e-01,3.1101614594e-02,1.7198167542e-04,1.5845527012e-04,2.0807248117e-04,8.0182673444e-04,4.0954670204e-04,0.0000000000e+00
1.1500000000e+01,9.6383755964e-01,3.4211424831e-02,1.9141080303e-04,1.7751056142e-04,2.3097773218e-04,8.8425214393e-04,4.6686429144e-04,0.0000000000e+00
1.2000000000e+01,9.6107884586e-01,3.6804321766e-02,2.0958627548e-04,1.9381421042e-04,2.5426392628e-04,9.5392747538e-04,5.0524049017e-04,0.0000000000e+00
1.2500000000e+01,9.5804593452e-01,3.9661159777e-02,2.3614037488e-04,2.0863851034e-04,2.7371960663e-04,1.0264227655e-03,5.4798444795e-04,0.0000000000e+00
1.3000000000e+01,9.5427161311e-01,4.3211800414e-02,2.6756089263e-04,2.2783870495e-04,3.0673156641e-04,1.1174394155e-03,5.9701589277e-04,0.0000000000e+00
1.3500000000e+01,9.5188837953e-01,4.5442595583e-02,2.8938617755e-04,2.4343485854e-04,3.3345526568e-04,1.1593324852e-03,6.4341609878e-04,0.0000000000e+00
1.4000000000e+01,9.4884669326e-01,4.8284479992e-02,3.1855344695e-04,2.6304642211e-04,3.6143805478e-04,1.2491244890e-03,6.7666433086e-04,0.0000000000e+00
1.4500000000e+01,9.4631546764e-01,5.0627160923e-02,3.3812910743e-04,2.8689716344e-04,3.8891436422e-04,1.3335022955e-03,7.0992850926e-04,0.0000000000e+00
1.5000000000e+01,9.4184712368e-01,5.4792531794e-02,3.7712674746e-04,3.1918753068e-04,4.2722834043e-04,1.4712298619e-03,7.6557204626e-04,0.0000000000e+00
1.5500000000e+01,9.3865160050e-01,5.7761619310e-02,4.1406845743e-04,3.3809836948e-04,4.6217134819e-04,1.5510093077e-03,8.2143271130e-04,0.0000000000e+00
1.6000000000e+01,9.3396590952e-01,6.2287657066e-02,4.3970559014e-04,3.5041028759e-04,4.9787106764e-04,1.6177972604e-03,8.4064920759e-04,0.0000000000e+00
1.6500000000e+01,9.2955422019e-01,6.6447230101e-02,4.7676710310e-04,3.7599318484e-04,5.3588092094e-04,1.7192385401e-03,8.9066996168e-04,0.0000000000e+00
1.7000000000e+01,9.2617238122e-01,6.9613026666e-02,4.9797808255e-04,3.9791712581e-04,5.6921277605e-04,1.8116979905e-03,9.3778614279e-04,0.0000000000e+00
1.7500000000e+01,9.2181309203e-01,7.3719660553e-02,5.4350561961e-04,4.2067600543e-04,6.0190965536e-04,1.9220001307e-03,9.7915601073e-04,0.0000000000e+00
