time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6711826901e-01,3.5209778859e-02,4.5849931899e-02,3.9853053822e-02,1.3175118611e-01,8.0640246283e-03,4.7215375568e-01,4.0989141077e+00
1.0000000000e+00,2.6634971099e-01,3.5404570161e-02,4.5522239607e-02,4.0159019166e-02,1.3093216254e-01,8.0909530555e-03,4.7354134448e-01,4.0977343308e+00
1.5000000000e+00,2.6554208314e-01,3.5686897148e-02,4.5423312993e-02,4.0571207644e-02,1.2994553099e-01,8.2702701449e-03,4.7456069793e-01,4.1027076880e+00
2.0000000000e+00,2.6666375015e-01,3.6154922962e-02,4.5706372327e-02,4.0529938932e-02,1.2910305072e-01,8.5143226322e-03,4.7332764228e-01,4.1119964900e+00
2.5000000000e+00,2.6591821130e-01,3.6467721028e-02,4.5316218240e-02,4.0635827297e-02,1.2869004401e-01,8.8238916812e-03,4.7414808645e-01,4.1169818772e+00
3.0000000000e+00,2.6459004194e-01,3.6568640276e-02,4.5608094521e-02,4.1307005577e-02,1.2822145489e-01,9.2212181080e-03,4.7448354468e-01,4.1305228798e+00
3.5000000000e+00,2.6248817220e-01,3.6843178518e-02,4.5184387207e-02,4.1658554044e-02,1.2763293526e-01,9.6496510594e-03,4.7654312171e-01,4.1366308325e+00
4.0000000000e+00,2.6013502028e-01,3.7324630191e-02,4.5237678586e-02,4.2003916327e-02,1.2855221770e-01,1.0162232560e-02,4.7658430436e-01,4.1540957315e+00
4.5000000000e+00,2.5896161461e-01,3.7804258166e-02,4.5037520708e-02,4.3320597491e-02,1.2766625292e-01,1.0777455453e-02,4.7643230065e-01,4.1742056920e+00
5.0000000000e+00,2.5883342515e-01,3.8310075300e-02,4.4383270856e-02,4.4583032571e-02,1.2665749892e-01,1.1308670182e-02,4.7592402702e-01,4.1893323768e+00
5.5000000000e+00,2.5784762844e-01,3.9345546523e-02,4.4228096254e-02,4.5850856121e-02,1.2547618838e-01,1.2070678539e-02,4.7518100575e-01,4.2145581282e+00
6.0000000000e+00,2.5746074774e-01,4.0404902005e-02,4.4164033993e-02,4.7010739852e-02,1.2423801126e-01,1.2998720651e-02,4.7372284450e-01,4.2421927057e+00
6.5000000000e+00,2.5594655458e-01,4.0963627067e-02,4.3938993930e-02,4.8875829766e-02,1.2319522849e-01,1.3930738731e-02,4.7314902744e-01,4.2684689294e+00
7.0000000000e+00,2.5375585370e-01,4.1758654519e-02,4.3524527267e-02,5.0050910328e-02,1.2266246007e-01,1.4886259875e-02,4.7336133424e-01,4.2902334118e+00
7.5000000000e+00,2.5424167760e-01,4.2930769310e-02,4.3157602733e-02,5.1474813274e-02,1.2097820270e-01,1.6083189061e-02,4.7113374531e-01,4.3191216546e+00
8.0000000000e+00,2.5367680513e-01,4.4174374693e-02,4.3570320350e-02,5.3388723558e-02,1.2043681136e-01,1.7154923862e-02,4.6759804104e-01,4.3575656838e+00
8.5000000000e+00,2.5272827746e-01,4.5382982307e-02,4.2978106899e-02,5.5538245010e-02,1.1895218850e-01,1.8373072866e-02,4.6604712696e-01,4.3867195556e+00
9.0000000000e+00,2.5139982310e-01,4.6651157043e-02,4.2447287760e-02,5.7813680782e-02,1.1713272104e-01,1.9680368555e-02,4.6487496172e-01,4.4150409549e+00
9.5000000000e+00,2.4897537575e-01,4.8181644922e-02,4.2309106562e-02,6.0265148584e-02,1.1610466431e-01,2.1140176139e-02,4.6302388374e-01,4.4526788027e+00
1.0000000000e+01,2.4707476687e-01,4.9726465371e-02,4.1946838136e-02,6.2575028173e-02,1.1359472038e-01,2.2466417325e-02,4.6261576374e-01,4.4796324695e+00
1.0500000000e+01,2.4464978807e-01,5.1284381855e-02,4.1333024975e-02,6.5016669578e-02,1.1246422903e-01,2.3816136270e-02,4.6143577023e-01,4.5083286912e+00
1.1000000000e+01,2.4195770535e-01,5.2499641513e-02,4.0607251390e-02,6.7009928991e-02,1.1064076523e-01,2.5140052380e-02,4.6214465515e-01,4.5268318398e+00
1.1500000000e+01,2.3875210202e-01,5.3639508742e-02,4.0060231912e-02,7.0051668963e-02,1.0826622161e-01,2.6819609056e-02,4.6241065770e-01,4.5519748866e+00
1.2000000000e+01,2.3625666454e-01,5.4656974281e-02,3.9223424808e-02,7.2868244885e-02,1.0673536869e-01,2.8369489239e-02,4.6188983355e-01,4.5746543703e+00
1.2500000000e+01,2.3315007904e-01,5.6050988205e-02,3.8641066229e-02,7.5484276760e-02,1.0474693816e-01,2.9796151227e-02,4.6213050038e-01,4.5952304518e+00
1.3000000000e+01,2.3039933524e-01,5.7415646657e-02,3.8260338750e-02,7.7808474703e-02,1.0202989535e-01,3.1418495395e-02,4.6266781390e-01,4.6137244185e+00
1.3500000000e+01,2.2808926723e-01,5.8515875413e-02,3.7954455010e-02,8.0174261945e-02,1.0045823160e-01,3.3056449015e-02,4.6175145979e-01,4.6357681005e+00
1.4000000000e+01,2.2621633477e-01,6.0187303431e-02,3.7169084192e-02,8.3044705443e-02,9.8123886808e-02,3.4863907447e-02,4.6039477791e-01,4.6577596747e+00
1.4500000000e+01,2.2451825493e-01,6.1730637516e-02,3.6770847426e-02,8.7533751304e-02,9.5958315624e-02,3.6991156911e-02,4.5649703629e-01,4.6920474507e+00
1.5000000000e+01,2.2192378769e-01,6.3180171734e-02,3.6124622710e-02,9.1342335892e-02,9.3009498406e-02,3.8701909401e-02,4.5571767416e-01,4.7102112765e+00
1.5500000000e+01,2.2049657937e-01,6.5034496092e-02,3.5306181371e-02,9.4183332372e-02,9.0484610818e-02,4.0773629062e-02,4.5372117092e-01,4.7291739231e+00
1.6000000000e+01,2.1942421432e-01,6.7575301943e-02,3.4712038767e-02,9.7993920945e-02,8.8814284452e-02,4.2862104766e-02,4.4861813481e-01,4.7620775748e+00
1.6500000000e+01,2.1829679779e-01,6.9685064313e-02,3.4170216856e-02,1.0144417052e-01,8.6578125198e-02,4.5178392046e-02,4.4464723328e-01,4.7885788436e+00
1.7000000000e+01,2.1720429110e-01,7.1987190786e-02,3.3612890847e-02,1.0497682445e-01,8.3851232881e-02,4.7219763882e-02,4.4114780606e-01,4.8091007994e+00
1.7500000000e+01,2.1502922739e-01,7.3802060438e-02,3.3364502904e-02,1.0876026845e-01,8.0786363447e-02,4.9485538545e-02,4.3877203882e-01,4.8292325091e+00
1.8000000000e+01,2.1312383660e-01,7.6454458016e-02,3.2970737496e-02,1.1321152132e-01,7.8241327967e-02,5.1837218046e-02,4.3416090056e-01,4.8547261592e+00
1.8500000000e+01,2.0996061570e-01,7.8650841451e-02,3.2188619212e-02,1.1708515755e-01,7.6634813045e-02,5.4253319588e-02,4.3122663345e-01,4.8741642166e+00
1.9000000000e+01,2.0636740853e-01,8.0617822850e-02,3.1917211918e-02,1.2109240659e-01,7.4295081329e-02,5.6828483696e-02,4.2888158509e-01,4.8929369739e+00
1.9500000000e+01,2.0433145971e-01,8.2268652149e-02,3.1403633022e-02,1.2479663768e-01,7.1777420060e-02,5.8746098112e-02,4.2667609927e-01,4.9024553576e+00
2.0000000000e+01,2.0245269362e-01,8.4230915927e-02,3.0445020385e-02,1.2972035803e-01,6.8858003376e-02,6.1308527276e-02,4.2298448138e-01,4.9132513673e+00
2.0500000000e+01,1.9810702483e-01,8.6661643599e-02,2.9818654436e-02,1.3387418163e-01,6.6621507267e-02,6.3509688105e-02,4.2140730014e-01,4.9226214495e+00
