time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6712288691e-01,3.5205927426e-02,4.5850339847e-02,3.9851374706e-02,1.3174340888e-01,8.0639298241e-03,4.7216213241e-01,4.0988453963e+00
1.0000000000e+00,2.6634903855e-01,3.5401230503e-02,4.5520356675e-02,4.0158076413e-02,1.3091923257e-01,8.0902064765e-03,4.7356185881e-01,4.0976198050e+00
1.5000000000e+00,2.6553634723e-01,3.5684168857e-02,4.5420947037e-02,4.0570799176e-02,1.2992657540e-01,8.2694400225e-03,4.7459172228e-01,4.1025720950e+00
2.0000000000e+00,2.6666773533e-01,3.6153698745e-02,4.5706495758e-02,4.0525616399e-02,1.2907974776e-01,8.5132969609e-03,4.7335340905e-01,4.1118481924e+00
2.5000000000e+00,2.6591839454e-01,3.6466043069e-02,4.5313861472e-02,4.0627788061e-02,1.2866606515e-01,8.8226412081e-03,4.7418520650e-01,4.1167694163e+00
3.0000000000e+00,2.6458264927e-01,3.6564127749e-02,4.5608506703e-02,4.1298337776e-02,1.2819699714e-01,9.2197759250e-03,4.7452960544e-01,4.1302881156e+00
3.5000000000e+00,2.6246771057e-01,3.6836762288e-02,4.5182330209e-02,4.1645895848e-02,1.2760750939e-01,9.6477020645e-03,4.7661208963e-01,4.1362984745e+00
4.0000000000e+00,2.6010002087e-01,3.7317217775e-02,4.5236717626e-02,4.1986432740e-02,1.2853744973e-01,1.0159826715e-02,4.7666233455e-01,4.1537369072e+00
4.5000000000e+00,2.5892134042e-01,3.7795166155e-02,4.5035943477e-02,4.3304271851e-02,1.2764941276e-01,1.0774732278e-02,4.7651913306e-01,4.1738198200e+00
5.0000000000e+00,2.5879591891e-01,3.8298905764e-02,4.4377945954e-02,4.4566469586e-02,1.2663815608e-01,1.1304552977e-02,4.7601805073e-01,4.1888693149e+00
5.5000000000e+00,2.5780672667e-01,3.9335592651e-02,4.4222768223e-02,4.5833262610e-02,1.2545380240e-01,1.2066268299e-02,4.7528157915e-01,4.2140796569e+00
6.0000000000e+00,2.5742149187e-01,4.0395823572e-02,4.4159466540e-02,4.6990429835e-02,1.2421242486e-01,1.2994641089e-02,4.7382572223e-01,4.2417033159e+00
6.5000000000e+00,2.5590081089e-01,4.0951232671e-02,4.3933817847e-02,4.8856957253e-02,1.2316857695e-01,1.3926462293e-02,4.7326214210e-01,4.2679494306e+00
7.0000000000e+00,2.5369902157e-01,4.1744081520e-02,4.3517683129e-02,5.0027510955e-02,1.2263871374e-01,1.4881493509e-02,4.7349149558e-01,4.2896391571e+00
7.5000000000e+00,2.5419391487e-01,4.2916216456e-02,4.3149572015e-02,5.1447965503e-02,1.2094942801e-01,1.6079073535e-02,4.7126382961e-01,4.3184984598e+00
8.0000000000e+00,2.5363115382e-01,4.4159753305e-02,4.3566847261e-02,5.3361117817e-02,1.2041188104e-01,1.7150102098e-02,4.6771914466e-01,4.3569811128e+00
8.5000000000e+00,2.5268205891e-01,4.5367427843e-02,4.2971775824e-02,5.5510655313e-02,1.1892469414e-01,1.8368083545e-02,4.6617530442e-01,4.3860954275e+00
