time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6705334626e-01,3.5263926679e-02,4.5844123189e-02,3.9876645536e-02,1.3186051124e-01,8.0653444867e-03,4.7203610260e-01,4.0998750535e+00
1.0000000000e+00,2.6635875053e-01,3.5451411654e-02,4.5548505542e-02,4.0172153229e-02,1.3111389625e-01,8.1014351067e-03,4.7325384768e-01,4.0993323414e+00
1.5000000000e+00,2.6562196178e-01,3.5725068437e-02,4.5456148152e-02,4.0576704793e-02,1.3021151535e-01,8.2819233704e-03,4.7412667812e-01,4.1045948430e+00
2.0000000000e+00,2.6660649796e-01,3.6172003633e-02,4.5703926507e-02,4.0590199795e-02,1.2942961356e-01,8.5286764110e-03,4.7296908213e-01,4.1140499091e+00
2.5000000000e+00,2.6591381182e-01,3.6490869068e-02,4.5348184377e-02,4.0748187300e-02,1.2902526304e-01,8.8414270764e-03,4.7363225732e-01,4.1199249270e+00
3.0000000000e+00,2.6469169235e-01,3.6630953306e-02,4.5600654556e-02,4.1427786192e-02,1.2856247615e-01,9.2413752384e-03,4.7384506221e-01,4.1337610410e+00
3.5000000000e+00,2.6277274518e-01,3.6931872137e-02,4.5211086896e-02,4.1834985603e-02,1.2798621503e-01,9.6768775203e-03,4.7558621764e-01,4.1412177447e+00
4.0000000000e+00,2.6062302928e-01,3.7426811372e-02,4.5248117359e-02,4.2247988582e-02,1.2875379510e-01,1.0195787481e-02,4.7550447083e-01,4.1590341630e+00
4.5000000000e+00,2.5952274718e-01,3.7929340533e-02,4.5055786693e-02,4.3547637409e-02,1.2789523404e-01,1.0815261545e-02,4.7523399260e-01,4.1794935951e+00
5.0000000000e+00,2.5935417159e-01,3.8463567065e-02,4.4453554723e-02,4.4812539389e-02,1.2691963297e-01,1.1366019028e-02,4.7463051524e-01,4.1956738759e+00
5.5000000000e+00,2.5841422350e-01,3.9480906236e-02,4.4297472636e-02,4.6094096547e-02,1.2577919677e-01,1.2131965815e-02,4.7380213849e-01,4.2210801813e+00
6.0000000000e+00,2.5800240718e-01,4.0526899404e-02,4.4221601046e-02,4.7291454116e-02,1.2458348432e-01,1.3055051644e-02,4.7231910229e-01,4.2488258805e+00
6.5000000000e+00,2.5657723064e-01,4.1131341234e-02,4.4003471861e-02,4.9135186197e-02,1.2355311839e-01,1.3989500726e-02,4.7161015095e-01,4.2754810889e+00
7.0000000000e+00,2.5454009585e-01,4.1955878917e-02,4.3611122261e-02,5.0372917445e-02,1.2297605613e-01,1.4951664887e-02,4.7159226451e-01,4.2982451326e+00
7.5000000000e+00,2.5489550996e-01,4.3126357111e-02,4.3259472244e-02,5.1844418454e-02,1.2135921442e-01,1.6138977451e-02,4.6937605037e-01,4.3274863193e+00
8.0000000000e+00,2.5429883080e-01,4.4369379289e-02,4.3606173316e-02,5.3767869526e-02,1.2075988407e-01,1.7220350367e-02,4.6597751264e-01,4.3653348972e+00
8.5000000000e+00,2.5335547877e-01,4.5589347071e-02,4.3052278342e-02,5.5915735144e-02,1.1930748055e-01,1.8440487325e-02,4.6433919280e-01,4.3949824745e+00
9.0000000000e+00,2.5206544503e-01,4.6869505311e-02,4.2552672169e-02,5.8187085327e-02,1.1754928685e-01,1.9748219422e-02,4.6302778589e-01,4.4240197709e+00
9.5000000000e+00,2.4978908249e-01,4.8391609474e-02,4.2403778560e-02,6.0626889717e-02,1.1649342814e-01,2.1198925253e-02,4.6109628636e-01,4.4612860169e+00
1.0000000000e+01,2.4797725851e-01,4.9935115425e-02,4.2056318436e-02,6.2953142734e-02,1.1410438424e-01,2.2537465788e-02,4.6043631486e-01,4.4891455296e+00
1.0500000000e+01,2.4568957057e-01,5.1497487071e-02,4.1479267036e-02,6.5409082708e-02,1.1294640640e-01,2.3903887844e-02,4.5907429836e-01,4.5185649343e+00
1.1000000000e+01,2.4316207551e-01,5.2758909306e-02,4.0801416426e-02,6.7467774318e-02,1.1116619176e-01,2.5252855143e-02,4.5939077753e-01,4.5388711003e+00
1.1500000000e+01,2.4016765512e-01,5.3958247040e-02,4.0282565029e-02,7.0483231763e-02,1.0888402492e-01,2.6929633018e-02,4.5929464311e-01,4.5651669436e+00
1.2000000000e+01,2.3780140742e-01,5.5056553245e-02,3.9503084957e-02,7.3305520703e-02,1.0735277022e-01,2.8497155103e-02,4.5848350835e-01,4.5891535795e+00
1.2500000000e+01,2.3489029518e-01,5.6498504765e-02,3.8950357969e-02,7.5957839737e-02,1.0540820615e-01,2.9959561465e-02,4.5833523473e-01,4.6112991509e+00
