time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6651448050e-01,3.5619702801e-02,4.5685127704e-02,4.0000778130e-02,1.3285225051e-01,8.0576900806e-03,4.7126997028e-01,4.1048818756e+00
1.0000000000e+00,2.6686519796e-01,3.5751782347e-02,4.5635386214e-02,4.0140398911e-02,1.3262793310e-01,8.1810624747e-03,4.7079823899e-01,4.1088542665e+00
1.5000000000e+00,2.6666173849e-01,3.5979188602e-02,4.5513096123e-02,4.0430641000e-02,1.3238379139e-01,8.3667502296e-03,4.7066479417e-01,4.1149748836e+00
2.0000000000e+00,2.6624959815e-01,3.6186485273e-02,4.5462769595e-02,4.0779987764e-02,1.3189355684e-01,8.6298032624e-03,4.7079779912e-01,4.1225531039e+00
2.5000000000e+00,2.6553776254e-01,3.6524874715e-02,4.5258942382e-02,4.1297050549e-02,1.3112170573e-01,8.9459248504e-03,4.7131373923e-01,4.1312985150e+00
3.0000000000e+00,2.6493898864e-01,3.6866770219e-02,4.5127717542e-02,4.2028869146e-02,1.3061258787e-01,9.3606180030e-03,4.7106444858e-01,4.1449449125e+00
3.5000000000e+00,2.6425415029e-01,3.7287623955e-02,4.5023439897e-02,4.2795902345e-02,1.2989374790e-01,9.8318955047e-03,4.7091324011e-01,4.1598277764e+00
4.0000000000e+00,2.6358680375e-01,3.7799637137e-02,4.4849637842e-02,4.3709615487e-02,1.2942537791e-01,1.0379069859e-02,4.7024985801e-01,4.1779793327e+00
4.5000000000e+00,2.6307617275e-01,3.8446584907e-02,4.4686092277e-02,4.4958383985e-02,1.2847950108e-01,1.1012274320e-02,4.6934099068e-01,4.1996014254e+00
5.0000000000e+00,2.6314343418e-01,3.9115333191e-02,4.4466945619e-02,4.6197569167e-02,1.2760067404e-01,1.1680868012e-02,4.6779517580e-01,4.2217694160e+00
5.5000000000e+00,2.6223909670e-01,3.9791205037e-02,4.4147934720e-02,4.7515137033e-02,1.2672656626e-01,1.2436234840e-02,4.6714382540e-01,4.2436158251e+00
