time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6713202330e-01,3.5198307706e-02,4.5851144883e-02,3.9848052313e-02,1.3172802189e-01,8.0637419037e-03,4.7217870801e-01,4.0987093157e+00
1.0000000000e+00,2.6634769683e-01,3.5394620126e-02,4.5516625654e-02,4.0156207872e-02,1.3089365018e-01,8.0887290438e-03,4.7360247028e-01,4.0973928868e+00
1.5000000000e+00,2.6552497799e-01,3.5678765879e-02,4.5416254177e-02,4.0569984103e-02,1.2988905869e-01,8.2677972033e-03,4.7465316196e-01,4.1023032983e+00
2.0000000000e+00,2.6667558572e-01,3.6151272997e-02,4.5706720098e-02,4.0517050363e-02,1.2903361513e-01,8.5112659206e-03,4.7340448977e-01,4.1115539177e+00
2.5000000000e+00,2.6591870659e-01,3.6462711149e-02,4.5309166490e-02,4.0611864819e-02,1.2861857229e-01,8.8201661392e-03,4.7425881252e-01,4.1163478629e+00
3.0000000000e+00,2.6456796067e-01,3.6555169253e-02,4.5609277127e-02,4.1281159942e-02,1.2814853213e-01,9.2169203029e-03,4.7462098057e-01,4.1298219552e+00
3.5000000000e+00,2.6242714396e-01,3.6824027682e-02,4.5178200693e-02,4.1620811791e-02,1.2755709338e-01,9.6438443143e-03,4.7674887818e-01,4.1356386523e+00
4.0000000000e+00,2.6003066680e-01,3.7302499272e-02,4.5234734571e-02,4.1951797932e-02,1.2850807066e-01,1.0155066932e-02,4.7681716383e-01,4.1530242757e+00
4.5000000000e+00,2.5884152284e-01,3.7777106867e-02,4.5032720433e-02,4.3271908884e-02,1.2761589026e-01,1.0769346433e-02,4.7669150429e-01,4.1730530148e+00
5.0000000000e+00,2.5872153784e-01,3.8276716770e-02,4.4367293495e-02,4.4533615482e-02,1.2659963199e-01,1.1296419596e-02,4.7620478483e-01,4.1879492053e+00
5.5000000000e+00,2.5772557619e-01,3.9315783116e-02,4.4212087773e-02,4.5798351878e-02,1.2540921269e-01,1.2057568135e-02,4.7548142021e-01,4.2131284508e+00
6.0000000000e+00,2.5734354831e-01,4.0377720852e-02,4.4150265705e-02,4.6950128617e-02,1.2416144283e-01,1.2986611676e-02,4.7403028201e-01,4.2407298265e+00
6.5000000000e+00,2.5580997220e-01,4.0926549689e-02,4.3923374459e-02,4.8819472664e-02,1.2311542849e-01,1.3918064497e-02,4.7348713800e-01,4.2669157344e+00
7.0000000000e+00,2.5358618231e-01,4.1715063312e-02,4.3503911539e-02,4.9981048015e-02,1.2259123113e-01,1.4872157660e-02,4.7375040603e-01,4.2884568175e+00
7.5000000000e+00,2.5409893947e-01,4.2887207578e-02,4.3133424480e-02,5.1394661582e-02,1.2089192261e-01,1.6071055612e-02,4.7152278867e-01,4.3172581595e+00
