time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6717698391e-01,3.5160810219e-02,4.5855066395e-02,3.9831693902e-02,1.3165229194e-01,8.0628100285e-03,4.7226034361e-01,4.0980369008e+00
1.0000000000e+00,2.6634086824e-01,3.5362028449e-02,4.5498151471e-02,4.0146945655e-02,1.3076772587e-01,8.0814504428e-03,4.7380282987e-01,4.0962695981e+00
1.5000000000e+00,2.6546861467e-01,3.5652076311e-02,4.5392928412e-02,4.0565839270e-02,1.2970415669e-01,8.2597030382e-03,4.7495668161e-01,4.1009701490e+00
2.0000000000e+00,2.6671356586e-01,3.6139274118e-02,4.5707451493e-02,4.0474630747e-02,1.2880604445e-01,8.5012373501e-03,4.7365779598e-01,4.1100891046e+00
2.5000000000e+00,2.6591929906e-01,3.6446111044e-02,4.5285476018e-02,4.0533185393e-02,1.2838391401e-01,8.8079693089e-03,4.7462404517e-01,4.1142510025e+00
3.0000000000e+00,2.6449455376e-01,3.6510561474e-02,4.5612289055e-02,4.1196137266e-02,1.2790871267e-01,9.2028192205e-03,4.7507492655e-01,4.1274975664e+00
3.5000000000e+00,2.6222606913e-01,3.6760715858e-02,4.5156899401e-02,4.1496730089e-02,1.2730715523e-01,9.6247900212e-03,4.7742764027e-01,4.1323518085e+00
4.0000000000e+00,2.5968760056e-01,3.7229273825e-02,4.5223702978e-02,4.1780740811e-02,1.2836097570e-01,1.0131527031e-02,4.7758617910e-01,4.1494710275e+00
4.5000000000e+00,2.5844667573e-01,3.7687236825e-02,4.5015369726e-02,4.3111809823e-02,1.2744793058e-01,1.0742609703e-02,4.7754836762e-01,4.1692228027e+00
5.0000000000e+00,2.5835302264e-01,3.8166331694e-02,4.4313330803e-02,4.4370871071e-02,1.2640658049e-01,1.1256113740e-02,4.7713374956e-01,4.1833555731e+00
