time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,2.6653030282e-01,3.5687571535e-02,4.5799527455e-02,4.0010930148e-02,1.3283670100e-01,8.0375459269e-03,4.7109742112e-01,4.1062362492e+00
5.0000000000e-01,2.6711361681e-01,3.5213658810e-02,4.5849520226e-02,3.9854745218e-02,1.3175902076e-01,8.0641200061e-03,4.7214531817e-01,4.0989832792e+00
1.0000000000e+00,2.6635038435e-01,3.5407933479e-02,4.5524134476e-02,4.0159967741e-02,1.3094518776e-01,8.0917050168e-03,4.7352068717e-01,4.0978495880e+00
1.5000000000e+00,2.6554785420e-01,3.5689643831e-02,4.5425692316e-02,4.0571616769e-02,1.2996462202e-01,8.2711062318e-03,4.7452946464e-01,4.1028441005e+00
2.0000000000e+00,2.6665972373e-01,3.6156154972e-02,4.5706241135e-02,4.0534288598e-02,1.2912651616e-01,8.5153552497e-03,4.7330172015e-01,4.1121455835e+00
2.5000000000e+00,2.6591800927e-01,3.6469407223e-02,4.5318581323e-02,4.0643919777e-02,1.2871418237e-01,8.8251509847e-03,4.7411074905e-01,4.1171954925e+00
3.0000000000e+00,2.6459746767e-01,3.6573175634e-02,4.5607663800e-02,4.1315727472e-02,1.2824606719e-01,9.2226698763e-03,4.7443722836e-01,4.1307587933e+00
3.5000000000e+00,2.6250875632e-01,3.6849628327e-02,4.5186438880e-02,4.1671291930e-02,1.2765851074e-01,9.6516129331e-03,4.7647376086e-01,4.1369648522e+00
4.0000000000e+00,2.6017024143e-01,3.7332079108e-02,4.5238618623e-02,4.2021514000e-02,1.2856703985e-01,1.0164653881e-02,4.7650585310e-01,4.1544562368e+00
4.5000000000e+00,2.5900214078e-01,3.7813393029e-02,4.5039074560e-02,4.3337022225e-02,1.2768314806e-01,1.0780194615e-02,4.7634502673e-01,4.1745931797e+00
5.0000000000e+00,2.5887115018e-01,3.8321296412e-02,4.4388595025e-02,4.4599689081e-02,1.2667689847e-01,1.1312813372e-02,4.7582955746e-01,4.1897973614e+00
5.5000000000e+00,2.5788875818e-01,3.9355534271e-02,4.4233416210e-02,4.5868544878e-02,1.2549863878e-01,1.2075115477e-02,4.7507999221e-01,4.2150383407e+00
6.0000000000e+00,2.5750020496e-01,4.0413999278e-02,4.4168579233e-02,4.7031159932e-02,1.2426366612e-01,1.3002821858e-02,4.7361956862e-01,4.2426835736e+00
6.5000000000e+00,2.5599253003e-01,4.0976058125e-02,4.3944139260e-02,4.8894792565e-02,1.2322193757e-01,1.3935035439e-02,4.7303550701e-01,4.2689897797e+00
7.0000000000e+00,2.5381298167e-01,4.1773271852e-02,4.3531343468e-02,5.0074426110e-02,1.2268621645e-01,1.4891048215e-02,4.7323071224e-01,4.2908291674e+00
7.5000000000e+00,2.5428964662e-01,4.2945356085e-02,4.3165604687e-02,5.1501796942e-02,1.2100700157e-01,1.6087317753e-02,4.7100327634e-01,4.3197461522e+00
8.0000000000e+00,2.5372263317e-01,4.4189018829e-02,4.3573717106e-02,5.3416462794e-02,1.2046171000e-01,1.7159761727e-02,4.6747669637e-01,4.3581508887e+00
8.5000000000e+00,2.5277465798e-01,4.5398553238e-02,4.2984370256e-02,5.5565957441e-02,1.1897964495e-01,1.8378076538e-02,4.6591873959e-01,4.3873441507e+00
9.0000000000e+00,2.5144914662e-01,4.6667703833e-02,4.2455923312e-02,5.7841190949e-02,1.1716483701e-01,1.9685432309e-02,4.6473576597e-01,4.4157217513e+00
9.5000000000e+00,2.4903550553e-01,4.8197718036e-02,4.2317132286e-02,6.0291914403e-02,1.1613509173e-01,2.1144612807e-02,4.6287802522e-01,4.4533369801e+00
1.0000000000e+01,2.4714149644e-01,4.9742593172e-02,4.1956113904e-02,6.2603078264e-02,1.1363410623e-01,2.2471762660e-02,4.6245084933e-01,4.4803609612e+00
1.0500000000e+01,2.4472659331e-01,5.1300985824e-02,4.1345096229e-02,6.5045865341e-02,1.1250201082e-01,2.3822704995e-02,4.6125674348e-01,4.5091144951e+00
1.1000000000e+01,2.4204661427e-01,5.2519704189e-02,4.0622926740e-02,6.7043886015e-02,1.1068205553e-01,2.5148435443e-02,4.6193637781e-01,4.5277528274e+00
1.1500000000e+01,2.3885645538e-01,5.3663977783e-02,4.0078110072e-02,7.0083897485e-02,1.0831451905e-01,2.6827837721e-02,4.6217520252e-01,4.5529853120e+00
1.2000000000e+01,2.3637059005e-01,5.4687398627e-02,3.9245585052e-02,7.2901024226e-02,1.0678408506e-01,2.8379025901e-02,4.6163229108e-01,4.5757648181e+00
1.2500000000e+01,2.3327840697e-01,5.6085032455e-02,3.8665542520e-02,7.5519797745e-02,1.0479926218e-01,2.9808283282e-02,4.6184367485e-01,4.5964607960e+00
1.3000000000e+01,2.3053852924e-01,5.7454009843e-02,3.8285991457e-02,7.7849393556e-02,1.0209070515e-01,3.1432302631e-02,4.6234906813e-01,4.6150947112e+00
1.3500000000e+01,2.2823672144e-01,5.8560629708e-02,3.7980265140e-02,8.0220719145e-02,1.0051917499e-01,3.3072263321e-02,4.6141022626e-01,4.6372406659e+00
1.4000000000e+01,2.2636833056e-01,6.0235028011e-02,3.7198744191e-02,8.3093582763e-02,9.8189931500e-02,3.4880840776e-02,4.6003354220e-01,4.6593312087e+00
1.4500000000e+01,2.2467265381e-01,6.1782358796e-02,3.6801709304e-02,8.7573736498e-02,9.6027496003e-02,3.7007245439e-02,4.5613480015e-01,4.6936134357e+00
1.5000000000e+01,2.2208724921e-01,6.3237209445e-02,3.6158451615e-02,9.1379245840e-02,9.3087339294e-02,3.8720638416e-02,4.5532986618e-01,4.7119005456e+00
1.5500000000e+01,2.2066008039e-01,6.5094307043e-02,3.5344066633e-02,9.4224314579e-02,9.0568023885e-02,4.0792972611e-02,4.5331623485e-01,4.7309775059e+00
1.6000000000e+01,2.1958427635e-01,6.7633931502e-02,3.4752280716e-02,9.8032460240e-02,8.8896209515e-02,4.2881985663e-02,4.4821885602e-01,4.7638661557e+00
1.6500000000e+01,2.1845386955e-01,6.9745398118e-02,3.4212510502e-02,1.0148322858e-01,8.6662732980e-02,4.5197685441e-02,4.4424457482e-01,4.7904004053e+00
1.7000000000e+01,2.1735775246e-01,7.2048354752e-02,3.3657363309e-02,1.0501587975e-01,8.3941710738e-02,4.7240878471e-02,4.4073806052e-01,4.8110036967e+00
1.7500000000e+01,2.1518748870e-01,7.3867667663e-02,3.3409387101e-02,1.0879809018e-01,8.0884862232e-02,4.9507187375e-02,4.3834531675e-01,4.8312086887e+00
1.8000000000e+01,2.1328371010e-01,7.6519544513e-02,3.3016859276e-02,1.1324309428e-01,7.8343972720e-02,5.1858959700e-02,4.3373385942e-01,4.8567334644e+00
1.8500000000e+01,2.1013066074e-01,7.8718192853e-02,3.2238547449e-02,1.1711518661e-01,7.6736122731e-02,5.4275078944e-02,4.3078621067e-01,4.8762407159e+00
1.9000000000e+01,2.0655273363e-01,8.0689445024e-02,3.1967595487e-02,1.2112030575e-01,7.4399413088e-02,5.6849322381e-02,4.2842118464e-01,4.8950852904e+00
1.9500000000e+01,2.0452054045e-01,8.2347344771e-02,3.1456120783e-02,1.2482384735e-01,7.1885704987e-02,5.8771295693e-02,4.2619514596e-01,4.9047347595e+00
2.0000000000e+01,2.0264321955e-01,8.4314521683e-02,3.0502246726e-02,1.2973934341e-01,6.8972293839e-02,6.1333866747e-02,4.2249450804e-01,4.9156400332e+00
2.0500000000e+01,1.9831512495e-01,8.6747678063e-02,2.9878855106e-02,1.3389123140e-01,6.6738177625e-02,6.3538102145e-02,4.2089083071e-01,4.9251421843e+00
2.1000000000e+01,1.9654541439e-01,8.8105636419e-02,2.9145861937e-02,1.3629453938e-01,6.3759642684e-02,6.6241333234e-02,4.1990757196e-01,4.9246114189e+00
2.1500000000e+01,1.9504732590e-01,8.9912231973e-02,2.8760450189e-02,1.4028660109e-01,6.0676872544e-02,6.8941644498e-02,4.1637487381e-01,4.9332251714e+00
2.2000000000e+01,1.9266995227e-01,9.2138659915e-02,2.8177631073e-02,1.4453046907e-01,5.7755951291e-02,7.0788155636e-02,4.1393918075e-01,4.9337808266e+00
2.2500000000e+01,1.9248705684e-01,9.4792377198e-02,2.7460903725e-02,1.4780768743e-01,5.5133055353e-02,7.3053862646e-02,4.0926505681e-01,4.9410872672e+00
2.3000000000e+01,1.9069978539e-01,9.7977257384e-02,2.7048150055e-02,1.5119232952e-01,5.2245309067e-02,7.5890640409e-02,4.0494652818e-01,4.9491938772e+00
2.3500000000e+01,1.8835112962e-01,1.0034555752e-01,2.6572449912e-02,1.5456812739e-01,4.9780276515e-02,7.7893721048e-02,4.0248873799e-01,4.9505121966e+00
2.4000000000e+01,1.8551803958e-01,1.0209205707e-01,2.6221898390e-02,1.5939797311e-01,4.7716591517e-02,8.0756427969e-02,3.9829701236e-01,4.9579550928e+00
2.4500000000e+01,1.8358021391e-01,1.0407378275e-01,2.5536120511e-02,1.6424634249e-01,4.5560923256e-02,8.3330900783e-02,3.9367171630e-01,4.9601398984e+00
