time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.0128880083e-07,3.7097039334e-03,3.5248537921e-01,5.2793166716e-01,5.6004429148e-02,1.0936559121e-03,5.8774963349e-02,2.5863118143e+00,2.6711826901e-01,4.0989141077e+00
1.0000000000e+00,6.8571728600e-07,3.7221029581e-03,3.5058524852e-01,5.2986907827e-01,5.5753991355e-02,1.0815764466e-03,5.8987316739e-02,2.5858618518e+00,2.6634971099e-01,4.0977343308e+00
1.5000000000e+00,1.4861499481e-06,3.7293816827e-03,3.5014097526e-01,5.3063994099e-01,5.5363610626e-02,1.0785164164e-03,5.9046088871e-02,2.5852269499e+00,2.6554208314e-01,4.1027076880e+00
2.0000000000e+00,2.6361670758e-06,3.7626012896e-03,3.5447074946e-01,5.2628633175e-01,5.5304727156e-02,1.0790238160e-03,5.9093930359e-02,2.5899429551e+00,2.6666375015e-01,4.1119964900e+00
2.5000000000e+00,4.1324701286e-06,3.7880461575e-03,3.5540608013e-01,5.2437871439e-01,5.5701493334e-02,1.0837067000e-03,5.9637826825e-02,2.5979122130e+00,2.6591821130e-01,4.1169818772e+00
3.0000000000e+00,5.9109714472e-06,3.7434252354e-03,3.5791798229e-01,5.2235336137e-01,5.5475967453e-02,1.0793673946e-03,5.9423985286e-02,2.5968487984e+00,2.6459004194e-01,4.1305228798e+00
3.5000000000e+00,8.0537557034e-06,3.7492632682e-03,3.5890335937e-01,5.2036742032e-01,5.5822337763e-02,1.0825673545e-03,6.0066998163e-02,2.6043937928e+00,2.6248817220e-01,4.1366308325e+00
4.0000000000e+00,1.0506552071e-05,3.7593711239e-03,3.6295536918e-01,5.1520765217e-01,5.6695851954e-02,1.0843025482e-03,6.0286946467e-02,2.6145095742e+00,2.6013502028e-01,4.1540957315e+00
4.5000000000e+00,1.3268638101e-05,3.7347010124e-03,3.6237040400e-01,5.1643074886e-01,5.6376117231e-02,1.0812376546e-03,5.9993522609e-02,2.6116087069e+00,2.5896161461e-01,4.1742056920e+00
