time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
1.0000000000e+00,9.9972038843e-01,2.6835942260e-04,8.9209692442e-07,2.2200586207e-07,1.2797264174e-06,5.9723326818e-06,2.8859864522e-06,4.6387005908e-02,2.6653030282e-01,4.1062362492e+00
1.5000000000e+00,9.9936600289e-01,6.0817469242e-04,2.0195025854e-06,8.9501333421e-07,2.8848304725e-06,1.3512315942e-05,6.5107526632e-06,7.0471599243e-02,2.6530261393e-01,4.1047999855e+00
2.0000000000e+00,9.9887350832e-01,1.0800788646e-03,3.6289199462e-06,1.9971147839e-06,5.1231240429e-06,2.4069062556e-05,1.1594590170e-05,9.4511817217e-02,2.6479480979e-01,4.1048093670e+00
2.5000000000e+00,9.9824269591e-01,1.6842703100e-03,5.6809127445e-06,3.5470018298e-06,8.0370778872e-06,3.7591200006e-05,1.8177591230e-05,1.1862569477e-01,2.6348423587e-01,4.1129265782e+00
3.0000000000e+00,9.9747052342e-01,2.4233890657e-03,8.2973928034e-06,5.6043043959e-06,1.1663432983e-05,5.4153685300e-05,2.6368701158e-05,1.4299643242e-01,2.6271271667e-01,4.1187923483e+00
3.5000000000e+00,9.9657127376e-01,3.2840919162e-03,1.1306232169e-05,8.0606997924e-06,1.5836494126e-05,7.3574956779e-05,3.5855939111e-05,1.6709733391e-01,2.6138596515e-01,4.1235264145e+00
4.0000000000e+00,9.9555137432e-01,4.2601807344e-03,1.4953774527e-05,1.0905688597e-05,2.0909652379e-05,9.5118716678e-05,4.6557115949e-05,1.9104212872e-01,2.5899856236e-01,4.1335128706e+00
4.5000000000e+00,9.9437858585e-01,5.3817195225e-03,1.9155168794e-05,1.4345734473e-05,2.6328068608e-05,1.2094474614e-04,5.8920907770e-05,2.1550211452e-01,2.5817781309e-01,4.1429511243e+00
5.0000000000e+00,9.9308193292e-01,6.6237154596e-03,2.3701534462e-05,1.8134575561e-05,3.2586718508e-05,1.4772936279e-04,7.2199433181e-05,2.3963404657e-01,2.5740663554e-01,4.1604684163e+00
5.5000000000e+00,9.9164724967e-01,7.9984357597e-03,2.8921052397e-05,2.2338707907e-05,3.9201448262e-05,1.7708508148e-04,8.6768284530e-05,2.6386610557e-01,2.5629563694e-01,4.1788535956e+00
6.0000000000e+00,9.9008924846e-01,9.4879306940e-03,3.4977308216e-05,2.7164196857e-05,4.6745044798e-05,2.1161619155e-04,1.0231810474e-04,2.8829809407e-01,2.5612036008e-01,4.1988868212e+00
6.5000000000e+00,9.8832739655e-01,1.1172854297e-02,4.2020344928e-05,3.2698966628e-05,5.5266765284e-05,2.4946750239e-04,1.2029557334e-04,3.1378354840e-01,2.5602469058e-01,4.2195865309e+00
