time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.0128715584e-07,3.7092278623e-03,3.5250162794e-01,5.2791579080e-01,5.6001377506e-02,1.0936615092e-03,5.8778113097e-02,2.5863035588e+00,2.6712509794e-01,4.0988127159e+00
1.0000000000e+00,6.8564267313e-07,3.7217468978e-03,3.5057976584e-01,5.2987534261e-01,5.5748256803e-02,1.0814493062e-03,5.8992752896e-02,2.5858295047e+00,2.6634875861e-01,4.0975661749e+00
1.5000000000e+00,1.4858716361e-06,3.7290846693e-03,3.5012947585e-01,5.3065616508e-01,5.5353405399e-02,1.0783542108e-03,5.9052028917e-02,2.5851669566e+00,2.6553374032e-01,4.1025108376e+00
2.0000000000e+00,2.6358981639e-06,3.7626487413e-03,3.5450560179e-01,5.2625619103e-01,5.5293626709e-02,1.0788556654e-03,5.9100440165e-02,2.5899118617e+00,2.6666993969e-01,4.1117854400e+00
2.5000000000e+00,4.1323982539e-06,3.7883328669e-03,3.5544932581e-01,5.2432957705e-01,5.5694631116e-02,1.0835893590e-03,5.9650411402e-02,2.5979485683e+00,2.6591905658e-01,4.1166833110e+00
3.0000000000e+00,5.9105814970e-06,3.7431621732e-03,3.5798712465e-01,5.2228396446e-01,5.5466664518e-02,1.0791987534e-03,5.9433974866e-02,2.5968503297e+00,2.6458008374e-01,4.1302018251e+00
3.5000000000e+00,8.0533889895e-06,3.7490340452e-03,3.5898096213e-01,5.2027832687e-01,5.5816915386e-02,1.0824321355e-03,6.0084276051e-02,2.6044590887e+00,2.6245944661e-01,4.1361797076e+00
4.0000000000e+00,1.0505934680e-05,3.7592051205e-03,3.6307500886e-01,5.1506397627e-01,5.6700207501e-02,1.0841828780e-03,6.0306913440e-02,2.6146683823e+00,2.6008550395e-01,4.1536234894e+00
4.5000000000e+00,1.3267609710e-05,3.7342269339e-03,3.6248074036e-01,5.1630274119e-01,5.6377397460e-02,1.0810820418e-03,6.0010544404e-02,2.6117204695e+00,2.5890517862e-01,4.1737157191e+00
5.0000000000e+00,1.6455872297e-05,3.7261543018e-03,3.6038742711e-01,5.1846158593e-01,5.6342008502e-02,1.0678399112e-03,5.9998528377e-02,2.6107321590e+00,2.5878216542e-01,4.1887548704e+00
