time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.0128774161e-07,3.7093814081e-03,3.5249637323e-01,5.2792093389e-01,5.6002359389e-02,1.0936596047e-03,5.8777091183e-02,2.5863061725e+00,2.6712288691e-01,4.0988453963e+00
1.0000000000e+00,6.8566784375e-07,3.7218593381e-03,3.5058150366e-01,5.2987342572e-01,5.5750075093e-02,1.0814896092e-03,5.8990960904e-02,2.5858394616e+00,2.6634903855e-01,4.0976198050e+00
1.5000000000e+00,1.4859672768e-06,3.7291719289e-03,3.5013307562e-01,5.3065128442e-01,5.5356588600e-02,1.0784040414e-03,5.9049989418e-02,2.5851846586e+00,2.6553634723e-01,4.1025720950e+00
2.0000000000e+00,2.6360026483e-06,3.7626131142e-03,3.5449407243e-01,5.2626677392e-01,5.5296946889e-02,1.0789040404e-03,5.9098053610e-02,2.5899179770e+00,2.6666773533e-01,4.1118481924e+00
2.5000000000e+00,4.1324617942e-06,3.7882015813e-03,3.5543486122e-01,5.2434705914e-01,5.5696333709e-02,1.0836158387e-03,5.9645796045e-02,2.5979292718e+00,2.6591839454e-01,4.1167694163e+00
3.0000000000e+00,5.9107837566e-06,3.7431833483e-03,3.5796396985e-01,5.2230907409e-01,5.5468804855e-02,1.0792339994e-03,5.9429823073e-02,2.5968371425e+00,2.6458264927e-01,4.1302881156e+00
3.5000000000e+00,8.0536362720e-06,3.7490098548e-03,3.5895466334e-01,5.2031126022e-01,5.5817320725e-02,1.0824458481e-03,6.0077246384e-02,2.6044183340e+00,2.6246771057e-01,4.1362984745e+00
4.0000000000e+00,1.0506333337e-05,3.7591169098e-03,3.6303463054e-01,5.1511639467e-01,5.6696818527e-02,1.0841777336e-03,6.0298355290e-02,2.6145886033e+00,2.6010002087e-01,4.1537369072e+00
4.5000000000e+00,1.3268225789e-05,3.7341859264e-03,3.6244273621e-01,5.1635235538e-01,5.6374251382e-02,1.0810711897e-03,6.0002131686e-02,2.6116448868e+00,2.5892134042e-01,4.1738198200e+00
5.0000000000e+00,1.6456417766e-05,3.7260927274e-03,3.6035692962e-01,5.1850571155e-01,5.6337931400e-02,1.0678539358e-03,5.9989024343e-02,2.6106518178e+00,2.5879591891e-01,4.1888693149e+00
5.5000000000e+00,1.9891707716e-05,3.7532640253e-03,3.6152361049e-01,5.1777413541e-01,5.6081025866e-02,1.0669990822e-03,5.9781073415e-02,2.6106783772e+00,2.5780672667e-01,4.2140796569e+00
6.0000000000e+00,2.3760301897e-05,3.7808838954e-03,3.6421464513e-01,5.1541072087e-01,5.5931366264e-02,1.0746984343e-03,5.9563925101e-02,2.6125636593e+00,2.5742149187e-01,4.2417033159e+00
6.5000000000e+00,2.7717309135e-05,3.7336342726e-03,3.6395820027e-01,5.1650257472e-01,5.5583186352e-02,1.0700396862e-03,5.9124647395e-02,2.6081111729e+00,2.5590081089e-01,4.2679494306e+00
7.0000000000e+00,3.2160224481e-05,3.7391758793e-03,3.6555261496e-01,5.1422624940e-01,5.6034270477e-02,1.0717046816e-03,5.9343824378e-02,2.6140428490e+00,2.5369902157e-01,4.2896391571e+00
7.5000000000e+00,3.7294269030e-05,3.7685413239e-03,3.6723292885e-01,5.1277292447e-01,5.5921874052e-02,1.0825013175e-03,5.9183935717e-02,2.6162208674e+00,2.5419391487e-01,4.3184984598e+00
8.0000000000e+00,4.2244096568e-05,3.7554796389e-03,3.7177552854e-01,5.0943321978e-01,5.5728700571e-02,1.0679214817e-03,5.8196905895e-02,2.6122225590e+00,2.5363115382e-01,4.3569811128e+00
8.5000000000e+00,4.7748030587e-05,3.7637562016e-03,3.7063764682e-01,5.1103157148e-01,5.5546186233e-02,1.0650717258e-03,5.7908019506e-02,2.6106894670e+00,2.5268205891e-01,4.3860954275e+00
9.0000000000e+00,5.3497177160e-05,3.7702679056e-03,3.7001925065e-01,5.1228806632e-01,5.5187662376e-02,1.0626736970e-03,5.7618581871e-02,2.6080591540e+00,2.5135066496e-01,4.4143604702e+00
9.5000000000e+00,5.9092907038e-05,3.7774275905e-03,3.7145454122e-01,5.1172911925e-01,5.4969486853e-02,1.0599832935e-03,5.6950348889e-02,2.6050505341e+00,2.4891547354e-01,4.4520203624e+00
