time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.0128565855e-07,3.7087432748e-03,3.5251812250e-01,5.2789970256e-01,5.5998265066e-02,1.0936668627e-03,5.8781298454e-02,2.5862949252e+00,2.6713202330e-01,4.0987093157e+00
1.0000000000e+00,6.8557006067e-07,3.7213769750e-03,3.5057408212e-01,5.2988204626e-01,5.5742327242e-02,1.0813177803e-03,5.8998164054e-02,2.5857949710e+00,2.6634769683e-01,4.0973928868e+00
1.5000000000e+00,1.4856059227e-06,3.7287561706e-03,3.5011740805e-01,5.3067379082e-01,5.5342686742e-02,1.0781816470e-03,5.9057690967e-02,2.5851006354e+00,2.6552497799e-01,4.1023032983e+00
2.0000000000e+00,2.6356768002e-06,3.7626353121e-03,3.5454013603e-01,5.2622820670e-01,5.5281530268e-02,1.0786666368e-03,5.9106189377e-02,2.5898679439e+00,2.6667558572e-01,4.1115539177e+00
2.5000000000e+00,4.1324440913e-06,3.7885068111e-03,3.5549166045e-01,5.2428464755e-01,5.5686086361e-02,1.0834355343e-03,5.9661530853e-02,2.5979621748e+00,2.6591870659e-01,4.1163478629e+00
3.0000000000e+00,5.9104107331e-06,3.7427009028e-03,3.5805474374e-01,5.2222177767e-01,5.5454580580e-02,1.0789692980e-03,5.9441317397e-02,2.5968128688e+00,2.6456796067e-01,4.1298219552e+00
3.5000000000e+00,8.0533967089e-06,3.7485035664e-03,3.5905586427e-01,5.2020060372e-01,5.5807321758e-02,1.0822043737e-03,6.0097448914e-02,2.6044653439e+00,2.6242714396e-01,4.1356386523e+00
4.0000000000e+00,1.0505894425e-05,3.7586073512e-03,3.6319103963e-01,5.1493645111e-01,5.6698633464e-02,1.0839292932e-03,6.0320833259e-02,2.6147430794e+00,2.6003066680e-01,4.1530242757e+00
4.5000000000e+00,1.3267402927e-05,3.7331587544e-03,3.6258531906e-01,5.1619802820e-01,5.6370442853e-02,1.0807398395e-03,6.0019043884e-02,2.6117142226e+00,2.5884152284e-01,4.1730530148e+00
