time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,2.1389099652e-03,9.7287329920e-03,7.8237023531e-01,1.8742814147e-01,1.1240798950e-02,7.7184685809e-05,7.0159966334e-03,1.7585855607e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.1196272791e-03,9.6319832834e-03,7.8373285872e-01,1.8627577601e-01,1.1155455545e-02,7.6875402880e-05,7.0074237574e-03,1.7526591526e+00,2.6530261393e-01,4.1047999855e+00
1.0000000000e+00,2.1186951484e-03,9.6254400027e-03,7.8395552429e-01,1.8603254780e-01,1.1164021434e-02,7.6377404933e-05,7.0273939206e-03,1.7523446931e+00,2.6479480979e-01,4.1048093670e+00
1.5000000000e+00,2.1056259751e-03,9.6531049778e-03,7.8327912614e-01,1.8673500287e-01,1.1121891104e-02,7.6460887048e-05,7.0287880501e-03,1.7530870846e+00,2.6348423587e-01,4.1129265782e+00
2.0000000000e+00,2.0940204979e-03,9.6137573539e-03,7.8597139119e-01,1.8418862502e-01,1.1037281419e-02,7.6355704937e-05,7.0185688082e-03,1.7455467744e+00,2.6271271667e-01,4.1187923483e+00
2.5000000000e+00,2.0971479118e-03,9.6300342259e-03,7.8602681891e-01,1.8400181254e-01,1.1091970782e-02,7.6666650654e-05,7.0755489849e-03,1.7472132051e+00,2.6138596515e-01,4.1235264145e+00
3.0000000000e+00,2.0754381502e-03,9.5453454053e-03,7.8611948076e-01,1.8404023004e-01,1.1062011866e-02,7.6118471371e-05,7.0813753011e-03,1.7447204635e+00,2.5899856236e-01,4.1335128706e+00
3.5000000000e+00,2.0818418436e-03,9.5545624249e-03,7.8567307086e-01,1.8442460204e-01,1.1061230890e-02,7.6330433146e-05,7.1283615071e-03,1.7466115149e+00,2.5817781309e-01,4.1429511243e+00
4.0000000000e+00,2.0730396540e-03,9.4743489245e-03,7.8768812996e-01,1.8247316065e-01,1.1129584059e-02,7.5333319331e-05,7.0864034278e-03,1.7412312392e+00,2.5740663554e-01,4.1604684163e+00
4.5000000000e+00,2.0608788244e-03,9.4244874475e-03,7.8781106407e-01,1.8255713192e-01,1.1001474549e-02,7.5330452851e-05,7.0696327403e-03,1.7380992837e+00,2.5629563694e-01,4.1788535956e+00
5.0000000000e+00,2.0701809712e-03,9.4620125111e-03,7.8729484895e-01,1.8296010460e-01,1.1065806336e-02,7.5044614973e-05,7.0720020187e-03,1.7406417046e+00,2.5612036008e-01,4.1988868212e+00
5.5000000000e+00,2.0718410012e-03,9.4867157348e-03,7.8775494070e-01,1.8256430153e-01,1.0991237122e-02,7.4524379623e-05,7.0564395306e-03,1.7385622422e+00,2.5602469058e-01,4.2195865309e+00
6.0000000000e+00,2.0592461021e-03,9.4335493709e-03,7.8833020588e-01,1.8220926809e-01,1.0922592489e-02,7.4515709040e-05,6.9706223533e-03,1.7338807630e+00,2.5577251714e-01,4.2507954157e+00
6.5000000000e+00,2.0309445523e-03,9.3768536447e-03,7.8904296597e-01,1.8172955192e-01,1.0831109274e-02,7.4118368227e-05,6.9144562773e-03,1.7286392717e+00,2.5365154679e-01,4.2792290684e+00
7.0000000000e+00,2.0153918244e-03,9.3166344383e-03,7.8988268013e-01,1.8102933591e-01,1.0819417471e-02,7.3912297426e-05,6.8626279287e-03,1.7243844333e+00,2.5231115872e-01,4.3074359222e+00
7.5000000000e+00,2.0174096537e-03,9.3233507101e-03,7.9126517526e-01,1.7977542364e-01,1.0710849921e-02,7.3576150417e-05,6.8342146632e-03,1.7195191211e+00,2.5240692911e-01,4.3305617010e+00
8.0000000000e+00,1.9949543335e-03,9.2039341235e-03,7.9372300206e-01,1.7769034389e-01,1.0613427709e-02,7.2828709738e-05,6.7015091778e-03,1.7084492617e+00,2.5218011679e-01,4.3652521235e+00
8.5000000000e+00,1.9883192884e-03,9.2384143067e-03,7.9419693616e-01,1.7729302100e-01,1.0515490044e-02,7.3092251130e-05,6.6947269515e-03,1.7063262840e+00,2.5088068131e-01,4.3903722052e+00
9.0000000000e+00,1.9792465920e-03,9.2014490246e-03,7.9504480424e-01,1.7668051296e-01,1.0412805698e-02,7.3109782177e-05,6.6080717018e-03,1.7008871634e+00,2.5070839079e-01,4.4224315727e+00
9.5000000000e+00,1.9610515715e-03,9.1880647221e-03,7.9597635704e-01,1.7584374867e-01,1.0426355853e-02,7.2887550670e-05,6.5315345890e-03,1.6968390438e+00,2.4911048929e-01,4.4555719851e+00
1.0000000000e+01,1.9490278299e-03,9.1428274651e-03,7.9641496282e-01,1.7562789341e-01,1.0324934273e-02,7.3078923830e-05,6.4672752819e-03,1.6925914304e+00,2.4810335710e-01,4.4848228734e+00
1.0500000000e+01,1.9405381126e-03,9.1768332926e-03,7.9643563036e-01,1.7557482297e-01,1.0359603722e-02,7.3643677120e-05,6.4389278753e-03,1.6927633725e+00,2.4630055987e-01,4.5133272325e+00
1.1000000000e+01,1.9392017018e-03,9.1795681324e-03,7.9642353147e-01,1.7553680380e-01,1.0375399371e-02,7.3641248250e-05,6.4718542792e-03,1.6930192608e+00,2.4418252136e-01,4.5295278514e+00
1.1500000000e+01,1.9116872089e-03,9.0783482273e-03,7.9694187610e-01,1.7531889937e-01,1.0280600148e-02,7.3579328036e-05,6.3950096184e-03,1.6871669304e+00,2.4176618279e-01,4.5577260950e+00
1.2000000000e+01,1.8973741101e-03,9.0045593524e-03,7.9791274835e-01,1.7450325935e-01,1.0276879177e-02,7.4093463287e-05,6.3310861969e-03,1.6826489585e+00,2.4007340543e-01,4.5853198251e+00
1.2500000000e+01,1.8810131975e-03,9.0137017049e-03,7.9936670146e-01,1.7313506100e-01,1.0223326149e-02,7.4694017542e-05,6.3055024644e-03,1.6778905754e+00,2.3759609645e-01,4.6071503599e+00
1.3000000000e+01,1.8628377315e-03,8.9789278393e-03,8.0001254467e-01,1.7268799763e-01,1.0133020733e-02,7.5262965884e-05,6.2494084256e-03,1.6730648658e+00,2.3552780663e-01,4.6307523808e+00
1.3500000000e+01,1.8447082201e-03,8.9217130346e-03,8.0187878197e-01,1.7105052663e-01,1.0061626793e-02,7.6021288790e-05,6.1666220696e-03,1.6649441496e+00,2.3407392826e-01,4.6567763088e+00
1.4000000000e+01,1.8339299157e-03,8.9151019985e-03,8.0222104166e-01,1.7085211606e-01,9.9927078952e-03,7.7325875172e-05,6.1077765949e-03,1.6621368490e+00,2.3246068600e-01,4.6802685977e+00
1.4500000000e+01,1.7972908980e-03,8.8493639545e-03,8.0344255832e-01,1.6997927085e-01,9.8526867523e-03,7.8741958135e-05,6.0000872649e-03,1.6538397153e+00,2.2946179697e-01,4.7101409528e+00
1.5000000000e+01,1.7905573875e-03,8.8313098523e-03,8.0361872847e-01,1.6994368531e-01,9.7871293910e-03,8.0065567669e-05,5.9485240270e-03,1.6514118181e+00,2.2816738952e-01,4.7298314513e+00
1.5500000000e+01,1.7788382103e-03,8.8120813939e-03,8.0508570815e-01,1.6867440965e-01,9.6884597287e-03,8.1291694375e-05,5.8792111763e-03,1.6452177565e+00,2.2677326695e-01,4.7483593551e+00
1.6000000000e+01,1.7415939110e-03,8.8050337422e-03,8.0613035156e-01,1.6784099730e-01,9.6256483426e-03,8.3026950161e-05,5.7733481932e-03,1.6394532948e+00,2.2339798742e-01,4.7777676959e+00
1.6500000000e+01,1.7271571069e-03,8.8111207940e-03,8.0671331576e-01,1.6741720709e-01,9.5636513436e-03,8.4719019417e-05,5.6828288900e-03,1.6354203163e+00,2.2172451301e-01,4.8007593653e+00
1.7000000000e+01,1.7128882625e-03,8.8601649229e-03,8.0813101364e-01,1.6613118656e-01,9.4867654026e-03,8.6375867088e-05,5.5916053478e-03,1.6301013945e+00,2.2032297373e-01,4.8214771910e+00
1.7500000000e+01,1.6812237592e-03,8.7920409316e-03,8.0999509343e-01,1.6468165214e-01,9.3027875347e-03,8.7826306475e-05,5.4593758975e-03,1.6192258304e+00,2.1822504642e-01,4.8439100088e+00
1.8000000000e+01,1.6539361780e-03,8.8019827900e-03,8.1154774517e-01,1.6338287602e-01,9.1950896423e-03,9.0045014367e-05,5.3283251893e-03,1.6115697027e+00,2.1615991817e-01,4.8694695212e+00
1.8500000000e+01,1.6294638550e-03,8.8234084084e-03,8.1255703326e-01,1.6244643222e-01,9.1943386740e-03,9.2955388977e-05,5.2563681965e-03,1.6077413538e+00,2.1274794790e-01,4.8881587178e+00
1.9000000000e+01,1.5958963048e-03,8.7883521605e-03,8.1320685711e-01,1.6210365996e-01,9.0619152080e-03,9.5210161886e-05,5.1481090931e-03,1.6008750702e+00,2.0956281429e-01,4.9068071794e+00
1.9500000000e+01,1.5784021334e-03,8.7962756374e-03,8.1445967967e-01,1.6105830502e-01,8.9521209991e-03,9.7401524494e-05,5.0578150155e-03,1.5943350471e+00,2.0769538636e-01,4.9181416135e+00
2.0000000000e+01,1.5650071222e-03,8.8228487427e-03,8.1406255190e-01,1.6156403469e-01,8.8685526155e-03,1.0192366068e-04,5.0150812700e-03,1.5936218333e+00,2.0492857821e-01,4.9280983993e+00
2.0500000000e+01,1.5561495326e-03,8.8680708104e-03,8.1434197039e-01,1.6133150036e-01,8.8339935674e-03,1.0541047482e-04,4.9629048624e-03,1.5921318623e+00,2.0262961352e-01,4.9359569567e+00
2.1000000000e+01,1.5344683772e-03,8.8586930054e-03,8.1616496878e-01,1.5972995613e-01,8.7222243685e-03,1.0910957445e-04,4.8805797577e-03,1.5846868723e+00,2.0000555351e-01,4.9428734398e+00
2.1500000000e+01,1.5163932233e-03,8.8143999366e-03,8.1835939843e-01,1.5784451607e-01,8.5853998549e-03,1.1341083305e-04,4.7664816528e-03,1.5751599223e+00,1.9831444906e-01,4.9543154819e+00
2.2000000000e+01,1.4989286651e-03,8.8959578723e-03,8.1946421958e-01,1.5683043345e-01,8.4890240195e-03,1.1800231779e-04,4.7034340907e-03,1.5709229336e+00,1.9544272854e-01,4.9595380729e+00
2.2500000000e+01,1.4926605524e-03,8.9855967248e-03,8.2066061581e-01,1.5569563854e-01,8.3944483003e-03,1.2285098745e-04,4.6481890864e-03,1.5673955799e+00,1.9345696905e-01,4.9634489990e+00
2.3000000000e+01,1.4783979230e-03,8.9780239680e-03,8.2317343815e-01,1.5347843561e-01,8.2153622278e-03,1.2800373280e-04,4.5483383917e-03,1.5571328188e+00,1.9179831656e-01,4.9685987587e+00
2.3500000000e+01,1.4656325720e-03,9.0752284023e-03,8.2384105397e-01,1.5282825499e-01,8.1748036757e-03,1.3395309980e-04,4.4810732841e-03,1.5549438330e+00,1.8870920480e-01,4.9706607196e+00
2.4000000000e+01,1.4526678811e-03,9.0833996711e-03,8.2449130005e-01,1.5231832580e-01,8.1259238982e-03,1.3993407939e-04,4.3884486208e-03,1.5509651002e+00,1.8621847908e-01,4.9768858212e+00
2.4500000000e+01,1.4622842944e-03,9.1615630339e-03,8.2463010092e-01,1.5211924699e-01,8.1439922860e-03,1.4681246298e-04,4.3360000156e-03,1.5517622956e+00,1.8517081657e-01,4.9755365991e+00
2.5000000000e+01,1.4465665691e-03,9.2057373226e-03,8.2644903770e-01,1.5042400109e-01,8.0477850007e-03,1.5330250576e-04,4.2735698081e-03,1.5458616479e+00,1.8206481710e-01,4.9712917861e+00
2.5500000000e+01,1.4368249522e-03,9.3518654729e-03,8.2707626899e-01,1.4980350453e-01,7.9740902321e-03,1.6103415354e-04,4.1964116647e-03,1.5440647455e+00,1.7928329787e-01,4.9697025826e+00
2.6000000000e+01,1.4250503087e-03,9.4252672966e-03,8.2816816181e-01,1.4881818467e-01,7.8851688898e-03,1.6806495118e-04,4.1101020772e-03,1.5395030307e+00,1.7689324157e-01,4.9674068225e+00
2.6500000000e+01,1.4124079670e-03,9.4687411109e-03,8.3002885668e-01,1.4703615232e-01,7.8495955592e-03,1.7384182912e-04,4.0304045321e-03,1.5334636495e+00,1.7450661052e-01,4.9643799970e+00
2.7000000000e+01,1.3915410087e-03,9.4128222512e-03,8.3163571301e-01,1.4569951347e-01,7.7520833958e-03,1.8051153420e-04,3.9278153263e-03,1.5253061024e+00,1.7163400371e-01,4.9615437685e+00
2.7500000000e+01,1.3754547216e-03,9.4004663680e-03,8.3280846705e-01,1.4468871532e-01,7.7045168507e-03,1.8691084053e-04,3.8354688539e-03,1.5193273532e+00,1.6880272799e-01,4.9571057784e+00
2.8000000000e+01,1.3655465464e-03,9.5302925354e-03,8.3327716490e-01,1.4417017589e-01,7.6728126531e-03,1.9482915272e-04,3.7891783270e-03,1.5183736889e+00,1.6521355192e-01,4.9478124788e+00
2.8500000000e+01,1.3572657878e-03,9.6190051902e-03,8.3339983466e-01,1.4398142876e-01,7.6958194763e-03,2.0414767183e-04,3.7424984471e-03,1.5190656286e+00,1.6174179324e-01,4.9391161556e+00
2.9000000000e+01,1.3538687288e-03,9.7275416847e-03,8.3378894268e-01,1.4359626769e-01,7.6556053477e-03,2.1299573700e-04,3.6647781286e-03,1.5178903087e+00,1.5929466644e-01,4.9307925933e+00
