time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.0065708160e-07,3.7278186849e-03,3.5269603018e-01,5.2784883563e-01,5.6040327902e-02,1.0919431061e-03,5.8594843833e-02,2.5860792558e+00,2.6532065459e-01,4.1048498930e+00
1.0000000000e+00,6.8924275538e-07,3.7271986710e-03,3.5285535363e-01,5.2745666301e-01,5.6100544738e-02,1.0847889137e-03,5.8774761796e-02,2.5883221000e+00,2.6481930552e-01,4.1049336823e+00
1.5000000000e+00,1.4930248975e-06,3.7335431768e-03,3.5190836969e-01,5.2876747187e-01,5.5809706034e-02,1.0830359611e-03,5.8696380243e-02,2.5872475258e+00,2.6352646156e-01,4.1130490201e+00
2.0000000000e+00,2.6350997797e-06,3.7442255739e-03,3.5522211761e-01,5.2520646012e-01,5.5742470424e-02,1.0876398631e-03,5.8994451308e-02,2.5922556625e+00,2.6276354794e-01,4.1189924375e+00
2.5000000000e+00,4.1096842548e-06,3.7508798602e-03,3.5494652070e-01,5.2475889621e-01,5.5989717525e-02,1.0908426809e-03,5.9459033344e-02,2.5975666224e+00,2.6145284104e-01,4.1238652848e+00
3.0000000000e+00,5.8552883078e-06,3.7206137480e-03,3.5473716687e-01,5.2511204919e-01,5.5827753554e-02,1.0834849433e-03,5.9513076412e-02,2.5969215699e+00,2.5909608576e-01,4.1339569792e+00
3.5000000000e+00,7.9707160545e-06,3.7222331898e-03,3.5373871286e-01,5.2587109106e-01,5.5746109245e-02,1.0871726049e-03,5.9826710325e-02,2.5991534056e+00,2.5828253210e-01,4.1435448178e+00
4.0000000000e+00,1.0407253995e-05,3.7120581963e-03,3.5590469098e-01,5.2316630512e-01,5.6352324366e-02,1.0802991847e-03,5.9773914895e-02,2.6042410308e+00,2.5751744773e-01,4.1611130382e+00
4.5000000000e+00,1.3104239574e-05,3.6986366198e-03,3.5570837918e-01,5.2408180903e-01,5.5736874336e-02,1.0824954690e-03,5.9678701126e-02,2.6014372721e+00,2.5641651732e-01,4.1795814445e+00
5.0000000000e+00,1.6219662986e-05,3.7127636992e-03,3.5456840310e-01,5.2502699705e-01,5.5976182054e-02,1.0773764703e-03,5.9622057955e-02,2.6034540021e+00,2.5623638065e-01,4.1996923640e+00
5.5000000000e+00,1.9675287398e-05,3.7325852143e-03,3.5485077347e-01,5.2506976148e-01,5.5678167260e-02,1.0730488424e-03,5.9575988447e-02,2.6032111564e+00,2.5613443029e-01,4.2204917529e+00
6.0000000000e+00,2.3325480399e-05,3.7241708043e-03,3.5529247167e-01,5.2547556920e-01,5.5424397579e-02,1.0760949322e-03,5.8983970340e-02,2.6001154879e+00,2.5587679094e-01,4.2516664071e+00
6.5000000000e+00,2.7089754010e-05,3.7154214688e-03,3.5570323916e-01,5.2578605707e-01,5.5065871974e-02,1.0731871497e-03,5.8629133422e-02,2.5974832659e+00,2.5377758493e-01,4.2801355907e+00
7.0000000000e+00,3.1304778998e-05,3.7068974166e-03,3.5628372691e-01,5.2546764834e-01,5.5097673863e-02,1.0740081189e-03,5.8338740576e-02,2.5973681079e+00,2.5244663807e-01,4.3083919842e+00
