time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_broadband,coherence_broadband
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.6653030282e-01,4.1062362492e+00
5.0000000000e-01,2.0128987212e-07,3.7100288302e-03,3.5247430333e-01,5.2794248102e-01,5.6006514407e-02,1.0936521755e-03,5.8772818949e-02,2.5863174687e+00,2.6711361681e-01,4.0989832792e+00
1.0000000000e+00,6.8576710198e-07,3.7223482181e-03,3.5058902026e-01,5.2986470243e-01,5.5757936374e-02,1.0816639104e-03,5.8983643045e-02,2.5858843390e+00,2.6635038435e-01,4.0978495880e+00
1.5000000000e+00,1.4863339426e-06,3.7295925525e-03,3.5014894323e-01,5.3062851679e-01,5.5370679484e-02,1.0786295646e-03,5.9042152041e-02,2.5852694186e+00,2.6554785420e-01,4.1028441005e+00
2.0000000000e+00,2.6363323497e-06,3.7625885572e-03,3.5444728612e-01,5.2630602935e-01,5.5312551751e-02,1.0791442421e-03,5.9089763648e-02,2.5899678692e+00,2.6665972373e-01,4.1121455835e+00
2.5000000000e+00,4.1324775980e-06,3.7878880565e-03,3.5537714907e-01,5.2441058702e-01,5.5706668037e-02,1.0837978895e-03,5.9629777448e-02,2.5978946664e+00,2.6591800927e-01,4.1171954925e+00
3.0000000000e+00,5.9111588188e-06,3.7436664100e-03,3.5787176281e-01,5.2239794038e-01,5.5483149237e-02,1.0795012540e-03,5.9418068750e-02,2.5968600083e+00,2.6459746767e-01,4.1307587933e+00
3.5000000000e+00,8.0538727431e-06,3.7495151948e-03,3.5885183639e-01,5.2042393695e-01,5.5827344016e-02,1.0826890216e-03,6.0056624557e-02,2.6043683702e+00,2.6250875632e-01,4.1369648522e+00
4.0000000000e+00,1.0506766491e-05,3.7596226520e-03,3.6287574699e-01,5.1529949719e-01,5.6694812473e-02,1.0844272544e-03,6.0275386679e-02,2.6144290612e+00,2.6017024143e-01,4.1544562368e+00
4.5000000000e+00,1.3269044868e-05,3.7352141714e-03,3.6229783465e-01,5.1650959978e-01,5.6377914562e-02,1.0814039831e-03,5.9984763807e-02,2.6115711624e+00,2.5900214078e-01,4.1745931797e+00
