time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,3.7806363766e-08,3.7525974648e-03,3.5098932029e-01,5.2939634567e-01,5.6285165803e-02,1.0929796002e-03,5.8483553370e-02,2.5858406529e+00
5.0000000000e-01,2.0064503014e-07,3.7274297719e-03,3.5272195543e-01,5.2782547947e-01,5.6036556141e-02,1.0919245941e-03,5.8596453949e-02,2.5860632575e+00
1.0000000000e+00,6.8919372193e-07,3.7267750178e-03,3.5288265692e-01,5.2742861554e-01,5.6097646312e-02,1.0846561779e-03,5.8778960833e-02,2.5883131028e+00
1.5000000000e+00,1.4927515762e-06,3.7331688070e-03,3.5191935246e-01,5.2876197462e-01,5.5802056310e-02,1.0828686831e-03,5.8699086370e-02,2.5871914580e+00
2.0000000000e+00,2.6347506919e-06,3.7439501249e-03,3.5528165374e-01,5.2514963006e-01,5.5733300135e-02,1.0875236395e-03,5.9001307550e-02,2.5922405704e+00
2.5000000000e+00,4.1093328220e-06,3.7506163375e-03,3.5499887198e-01,5.2469946488e-01,5.5983708081e-02,1.0907592757e-03,5.9472470107e-02,2.5975955301e+00
3.0000000000e+00,5.8540717165e-06,3.7197728428e-03,3.5478288821e-01,5.2506308738e-01,5.5818563854e-02,1.0832671135e-03,5.9526566529e-02,2.5969006178e+00
3.5000000000e+00,7.9692222319e-06,3.7213127435e-03,3.5376473190e-01,5.2583985709e-01,5.5734860618e-02,1.0869846527e-03,5.9844283775e-02,2.5991257924e+00
4.0000000000e+00,1.0405314928e-05,3.7108479913e-03,3.5595893320e-01,5.2310073496e-01,5.6349466245e-02,1.0799729483e-03,5.9789639337e-02,2.6042489453e+00
4.5000000000e+00,1.3100855026e-05,3.6970581498e-03,3.5575390513e-01,5.2403810757e-01,5.5723751423e-02,1.0821585777e-03,5.9691918300e-02,2.6013567139e+00
5.0000000000e+00,1.6216072125e-05,3.7112189475e-03,3.5459028173e-01,5.2500671999e-01,5.5965566136e-02,1.0769193153e-03,5.9633077807e-02,2.6033571281e+00
5.5000000000e+00,1.9671574665e-05,3.7311422870e-03,3.5487030855e-01,5.2505949707e-01,5.5661876021e-02,1.0724782832e-03,5.9585026216e-02,2.6030554809e+00
6.0000000000e+00,2.3319429892e-05,3.7223961841e-03,3.5531149504e-01,5.2548199108e-01,5.5402792894e-02,1.0755077802e-03,5.8982497592e-02,2.5998550254e+00
6.5000000000e+00,2.7078124179e-05,3.7132859138e-03,3.5572009505e-01,5.2580839510e-01,5.5037696792e-02,1.0724918851e-03,5.8620957129e-02,2.5971298865e+00
7.0000000000e+00,3.1289103653e-05,3.7043953979e-03,3.5630083007e-01,5.2549717455e-01,5.5068705525e-02,1.0732583229e-03,5.8324347024e-02,2.5969517260e+00
7.5000000000e+00,3.6161311875e-05,3.7275013669e-03,3.5772866151e-01,5.2444923574e-01,5.4677068216e-02,1.0706102562e-03,5.8310761593e-02,2.5970941055e+00
8.0000000000e+00,4.1051127757e-05,3.7120439078e-03,3.6062717922e-01,5.2245315140e-01,5.4528963149e-02,1.0646060080e-03,5.7573005188e-02,2.5942906867e+00
8.5000000000e+00,4.6371646580e-05,3.7383055757e-03,3.6054200132e-01,5.2292751352e-01,5.4083402967e-02,1.0664772046e-03,5.7595927762e-02,2.5939595789e+00
9.0000000000e+00,5.2031789122e-05,3.7411440176e-03,3.6113874591e-01,5.2328440520e-01,5.3692216095e-02,1.0640595097e-03,5.7027397483e-02,2.5901025883e+00
9.5000000000e+00,5.7800956755e-05,3.7554897477e-03,3.6179825218e-01,5.2289543875e-01,5.3881976454e-02,1.0585861098e-03,5.6552455804e-02,2.5902956013e+00
1.0000000000e+01,6.3990781042e-05,3.7514485352e-03,3.6158409124e-01,5.2398307649e-01,5.3442803888e-02,1.0553101331e-03,5.6119278932e-02,2.5864511988e+00
1.0500000000e+01,7.0516232121e-05,3.7753498817e-03,3.6060884950e-01,5.2498276158e-01,5.3585705981e-02,1.0538753005e-03,5.5922941528e-02,2.5877001005e+00
1.1000000000e+01,7.7587213833e-05,3.7858335840e-03,3.5973987486e-01,5.2550093953e-01,5.3627157945e-02,1.0462238336e-03,5.6222383029e-02,2.5895650326e+00
1.1500000000e+01,8.3968767211e-05,3.7603928078e-03,3.5952918880e-01,5.2667632344e-01,5.3198158546e-02,1.0359935611e-03,5.5715974073e-02,2.5841683355e+00
1.2000000000e+01,9.1210228917e-05,3.7499901759e-03,3.5982108627e-01,5.2662939959e-01,5.3304691396e-02,1.0314420304e-03,5.5372180307e-02,2.5840280427e+00
1.2500000000e+01,9.8717234341e-05,3.7784892680e-03,3.6084128905e-01,5.2560759240e-01,5.3231615262e-02,1.0278555608e-03,5.5414441224e-02,2.5859955936e+00
1.3000000000e+01,1.0629263301e-04,3.7818962758e-03,3.6085917212e-01,5.2624836225e-01,5.2868309863e-02,1.0215124080e-03,5.5114454449e-02,2.5826131568e+00
1.3500000000e+01,1.1442088527e-04,3.7886541201e-03,3.6270847477e-01,5.2490895442e-01,5.2742523890e-02,1.0170432531e-03,5.4719928666e-02,2.5809860651e+00
1.4000000000e+01,1.2287871917e-04,3.8036827417e-03,3.6203632767e-01,5.2620674281e-01,5.2426132701e-02,1.0142661882e-03,5.4389969167e-02,2.5787020803e+00
