time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,ipr,qfi,entropy
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00,2.4386816885e+00,8.1825585091e+03,1.6578590465e-10
5.0000000000e-01,2.0175669728e-07,3.7477303662e-03,3.5083115050e-01,5.2931910227e-01,5.6402959921e-02,1.0924710890e-03,5.8606384103e-02,2.5876147661e+00,2.4396643600e+00,8.1878973230e+03,5.6731386689e-04
1.0000000000e+00,6.9411918131e-07,3.7522439807e-03,3.5109504370e-01,5.2906598002e-01,5.6395475081e-02,1.0947248733e-03,5.8595838224e-02,2.5891369271e+00,2.4401686475e+00,8.1826145659e+03,1.1561666548e-03
1.5000000000e+00,1.5150489223e-06,3.7580446353e-03,3.5101928796e-01,5.2911079373e-01,5.6402269712e-02,1.0951661914e-03,5.8612922725e-02,2.5907020253e+00,2.4401862427e+00,8.1862705214e+03,1.6253306082e-03
2.0000000000e+00,2.6638811089e-06,3.7543786036e-03,3.5177939348e-01,5.2836276823e-01,5.6339774356e-02,1.0959235764e-03,5.8665097870e-02,2.5923728731e+00,2.4417220952e+00,8.1711126320e+03,1.9746197773e-03
2.5000000000e+00,4.1368645598e-06,3.7581923841e-03,3.5174321004e-01,5.2840773506e-01,5.6207023610e-02,1.0942079999e-03,5.8785494047e-02,2.5936447552e+00,2.4415951791e+00,8.1759445856e+03,2.3166345253e-03
3.0000000000e+00,5.9265255194e-06,3.7472583107e-03,3.5180468772e-01,5.2855087420e-01,5.6103726402e-02,1.0932149745e-03,5.8694311867e-02,2.5936459803e+00,2.4405693755e+00,8.1782808045e+03,2.6076263910e-03
3.5000000000e+00,8.0374432500e-06,3.7399581075e-03,3.5253285576e-01,5.2799501569e-01,5.5983528577e-02,1.0910303140e-03,5.8649574111e-02,2.5942308759e+00,2.4411246106e+00,8.1653617793e+03,2.8532572491e-03
4.0000000000e+00,1.0469799964e-05,3.7343852785e-03,3.5291890249e-01,5.2771396537e-01,5.5999615921e-02,1.0888931791e-03,5.8533767959e-02,2.5950236238e+00,2.4413402612e+00,8.1612494145e+03,3.1155530907e-03
4.5000000000e+00,1.3194272352e-05,3.7255543333e-03,3.5268424217e-01,5.2857065142e-01,5.5690291538e-02,1.0851291301e-03,5.8230937141e-02,2.5924380398e+00,2.4373573789e+00,8.1699882156e+03,3.5422546394e-03
5.0000000000e+00,1.6288499029e-05,3.7186716026e-03,3.5289169707e-01,5.2881927151e-01,5.5532944299e-02,1.0797427534e-03,5.7941384266e-02,2.5909863971e+00,2.4352320905e+00,8.1704693469e+03,4.0632487260e-03
5.5000000000e+00,1.9658276534e-05,3.7098570413e-03,3.5284111307e-01,5.2907260974e-01,5.5460335825e-02,1.0767098735e-03,5.7819716173e-02,2.5907523267e+00,2.4339868175e+00,8.1793532292e+03,4.5920726027e-03
6.0000000000e+00,2.3384371358e-05,3.7077360612e-03,3.5318665586e-01,5.2909836059e-01,5.5304169032e-02,1.0756841043e-03,5.7604009984e-02,2.5901504801e+00,2.4326309195e+00,8.1787791960e+03,4.9005044559e-03
6.5000000000e+00,2.7367346014e-05,3.7042301209e-03,3.5364632625e-01,5.2900230428e-01,5.5143699889e-02,1.0720723945e-03,5.7403999723e-02,2.5895072646e+00,2.4315513420e+00,8.1774622916e+03,5.2324520245e-03
7.0000000000e+00,3.1714792599e-05,3.6997415476e-03,3.5417942278e-01,5.2873147540e-01,5.5026227269e-02,1.0701816811e-03,5.7261236534e-02,2.5894402758e+00,2.4311876296e+00,8.1759143316e+03,5.6974776954e-03
7.5000000000e+00,3.6364833939e-05,3.7089376076e-03,3.5432447625e-01,5.2889228950e-01,5.4810108279e-02,1.0659013274e-03,5.7161922207e-02,2.5891142753e+00,2.4297828276e+00,8.1829208318e+03,6.0697670040e-03
8.0000000000e+00,4.1370433057e-05,3.7077552463e-03,3.5534162506e-01,5.2823006489e-01,5.4622628006e-02,1.0668754339e-03,5.6989680927e-02,2.5890265988e+00,2.4298914680e+00,8.1705125120e+03,6.5895948390e-03
8.5000000000e+00,4.6529705538e-05,3.7104795524e-03,3.5552537608e-01,5.2848385461e-01,5.4307543562e-02,1.0655764114e-03,5.6860640071e-02,2.5879383201e+00,2.4278278134e+00,8.1803915714e+03,6.9823498278e-03
9.0000000000e+00,5.2030973935e-05,3.7054380662e-03,3.5626341939e-01,5.2828389862e-01,5.4052322196e-02,1.0586365254e-03,5.6584254237e-02,2.5862688013e+00,2.4263259084e+00,8.1746907200e+03,7.1714215415e-03
9.5000000000e+00,5.7836830681e-05,3.7018019127e-03,3.5657042728e-01,5.2850237390e-01,5.3871794384e-02,1.0564817767e-03,5.6239283914e-02,2.5846270437e+00,2.4240245326e+00,8.1815532186e+03,7.6150137859e-03
1.0000000000e+01,6.3954669259e-05,3.7113613973e-03,3.5722468393e-01,5.2823233332e-01,5.3711689275e-02,1.0526893712e-03,5.6003288043e-02,2.5842833323e+00,2.4232139649e+00,8.1832059392e+03,7.6914589069e-03
1.0500000000e+01,7.0357863237e-05,3.7172224869e-03,3.5788237790e-01,5.2800059274e-01,5.3504900941e-02,1.0502672287e-03,5.5774280838e-02,2.5834849330e+00,2.4221702624e+00,8.1852848197e+03,8.1599023601e-03
1.1000000000e+01,7.6852206778e-05,3.7200214884e-03,3.5789512915e-01,5.2848828342e-01,5.3211789982e-02,1.0466539569e-03,5.5561269791e-02,2.5816268387e+00,2.4194195479e+00,8.2060577312e+03,8.8727561343e-03
1.1500000000e+01,8.3706050209e-05,3.7173098022e-03,3.5822460841e-01,5.2850447568e-01,5.3074881624e-02,1.0410406375e-03,5.5353977796e-02,2.5806660457e+00,2.4181588292e+00,8.2194761168e+03,9.3282455570e-03
1.2000000000e+01,9.1192164957e-05,3.7207341506e-03,3.5964087558e-01,5.2751529611e-01,5.2959643617e-02,1.0350481661e-03,5.5037210209e-02,2.5801645023e+00,2.4185979216e+00,8.2039561878e+03,9.5965331247e-03
1.2500000000e+01,9.8513071455e-05,3.7238969818e-03,3.6041367984e-01,5.2751708729e-01,5.2533313909e-02,1.0280306737e-03,5.4685478234e-02,2.5772815420e+00,2.4158237467e+00,8.2060609738e+03,9.6398860611e-03
