time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences
0.0000000000e+00,3.7806362608e-08,3.7525974653e-03,3.5098932029e-01,5.2939634568e-01,5.6285165795e-02,1.0929796027e-03,5.8483553366e-02,2.5858406530e+00
5.0000000000e-01,2.0127555537e-07,3.7056020220e-03,3.5262512521e-01,5.2779528822e-01,5.5978126022e-02,1.0937016469e-03,5.8801955603e-02,2.5862379167e+00
1.0000000000e+00,6.8508750613e-07,3.7189950300e-03,3.5053737142e-01,5.2992480189e-01,5.5704196080e-02,1.0804714994e-03,5.9033478991e-02,2.5855722160e+00
1.5000000000e+00,1.4838164897e-06,3.7266920589e-03,3.5003993425e-01,5.3078547907e-01,5.5274064211e-02,1.0770853555e-03,5.9095261230e-02,2.5846800777e+00
2.0000000000e+00,2.6340219892e-06,3.7627153409e-03,3.5476628514e-01,5.2604000210e-01,5.5205137064e-02,1.0774889729e-03,5.9145737357e-02,2.5896094315e+00
2.5000000000e+00,4.1322312092e-06,3.7899562705e-03,3.5577033707e-01,5.2397998719e-01,5.5634800965e-02,1.0825366731e-03,5.9738249595e-02,2.5981073951e+00
3.0000000000e+00,5.9083310054e-06,3.7402416179e-03,3.5850053604e-01,5.2179553654e-01,5.5383433192e-02,1.0776507537e-03,5.9496693529e-02,2.5966700441e+00
3.5000000000e+00,8.0517656094e-06,3.7459082480e-03,3.5955272829e-01,5.1966036794e-01,5.5756597864e-02,1.0809958110e-03,6.0195350081e-02,2.6046679365e+00
4.0000000000e+00,1.0502960988e-05,3.7559674271e-03,3.6395945582e-01,5.1405619766e-01,5.6705618001e-02,1.0826806096e-03,6.0429577526e-02,2.6154694371e+00
4.5000000000e+00,1.3262190107e-05,3.7279514493e-03,3.6328555142e-01,5.1544468087e-01,5.6349479011e-02,1.0790773429e-03,6.0099997719e-02,2.6120172287e+00
5.0000000000e+00,1.6455110842e-05,3.7180447934e-03,3.6098704439e-01,5.1783442337e-01,5.6302260725e-02,1.0645044874e-03,6.0077267121e-02,2.6106467397e+00
5.5000000000e+00,1.9887721181e-05,3.7463461264e-03,3.6222092473e-01,5.1709289513e-01,5.6014832161e-02,1.0633234382e-03,5.9841790689e-02,2.6103414040e+00
6.0000000000e+00,2.3760627570e-05,3.7750382867e-03,3.6510877738e-01,5.1458301043e-01,5.5843237266e-02,1.0713069295e-03,5.9594869085e-02,2.6120273774e+00
6.5000000000e+00,2.7701403667e-05,3.7225112322e-03,3.6478292146e-01,5.1583462482e-01,5.5458433123e-02,1.0658625717e-03,5.9107945389e-02,2.6068868757e+00
7.0000000000e+00,3.2139354343e-05,3.7270859160e-03,3.6647085000e-01,5.1342828745e-01,5.5939547265e-02,1.0672643110e-03,5.9334825708e-02,2.6129760210e+00
7.5000000000e+00,3.7298519574e-05,3.7574144477e-03,3.6824954459e-01,5.1191879811e-01,5.5808432077e-02,1.0784054371e-03,5.9150106823e-02,2.6149643281e+00
8.0000000000e+00,4.2227086479e-05,3.7415879159e-03,3.7313939265e-01,5.0836153735e-01,5.5587226035e-02,1.0621385853e-03,5.8065890376e-02,2.6102001676e+00
8.5000000000e+00,4.7727723604e-05,3.7490033346e-03,3.7184281591e-01,5.1017848748e-01,5.5380407549e-02,1.0585114648e-03,5.7743046531e-02,2.6081968280e+00
9.0000000000e+00,5.3465625180e-05,3.7545435492e-03,3.7110791117e-01,5.1162903838e-01,5.4981585382e-02,1.0553011890e-03,5.7418154702e-02,2.6049457994e+00
9.5000000000e+00,5.9008320085e-05,3.7607455229e-03,3.7260973123e-01,5.1110773747e-01,5.4732498814e-02,1.0518387503e-03,5.6678439892e-02,2.6012369416e+00
1.0000000000e+01,6.5266539717e-05,3.7793102218e-03,3.7390278929e-01,5.1075850873e-01,5.4022746189e-02,1.0422994676e-03,5.6429079563e-02,2.5984106330e+00
1.0500000000e+01,7.1745182872e-05,3.7985197353e-03,3.7330564788e-01,5.1152154859e-01,5.4142583692e-02,1.0313507802e-03,5.6128604143e-02,2.5986257129e+00
1.1000000000e+01,7.8868908034e-05,3.8091221248e-03,3.7406080093e-01,5.1035828470e-01,5.4245261384e-02,1.0245049016e-03,5.6423157058e-02,2.6016388214e+00
1.1500000000e+01,8.5204831243e-05,3.7742144989e-03,3.7305369865e-01,5.1240613139e-01,5.3560404155e-02,1.0189389098e-03,5.6101407567e-02,2.5950997371e+00
1.2000000000e+01,9.2424272468e-05,3.7497170675e-03,3.7121140209e-01,5.1436546589e-01,5.3634807121e-02,1.0103288072e-03,5.5935854751e-02,2.5938674054e+00
1.2500000000e+01,9.9480742782e-05,3.7534175388e-03,3.7179290762e-01,5.1403888705e-01,5.3466428456e-02,9.9542055500e-04,5.5853458042e-02,2.5927985084e+00
