time_fs,pop_1,pop_2,pop_3,coherence
0.000000000000000000e+00,1.000000000000000888e+00,1.250315560959565406e-32,1.560170718850958739e-32,4.734486086083671103e-16
1.002004008016031955e+00,7.088467967124250091e-01,1.826664364760042791e-01,1.084867668115713363e-01,1.555837325621935552e+00
2.004008016032063910e+00,3.297995936400406336e-01,2.340759008196879598e-01,4.361245055402716564e-01,1.953218023706231765e+00
3.006012024048096087e+00,2.889007350561946241e-01,2.662545740960297613e-01,4.448446908477761697e-01,1.959983547598727061e+00
4.008016032064127820e+00,5.972595323903914233e-01,3.102075845772891416e-01,9.253288303231994860e-02,1.669892872713659937e+00
5.010020040080159553e+00,9.498634847160889461e-01,3.878591902768373234e-02,1.135059625622809355e-02,6.335140182870353520e-01
6.012024048096192175e+00,7.852398300931728858e-01,7.258575624000618287e-02,1.421744136668215419e-01,1.348909520164706999e+00
7.014028056112223908e+00,4.311336474209204739e-01,1.639916250272944465e-01,4.048747275517854960e-01,1.882742664626208651e+00
8.016032064128255641e+00,3.350691430723707898e-01,2.433157796756983127e-01,4.216150772519312029e-01,1.963359114334215061e+00
9.018036072144287374e+00,5.057961204414528344e-01,4.100631871046804267e-01,8.414069245386728013e-02,1.694933827763907441e+00
1.002004008016031911e+01,8.179863575098732520e-01,1.404351277217794902e-01,4.157851476834802801e-02,1.199528770592621640e+00
1.102204408817635084e+01,7.857119646384538303e-01,1.553530905109925739e-02,1.987527263104474917e-01,1.122445695942428046e+00
1.202404809619238435e+01,5.436524926980675909e-01,8.975062443761798459e-02,3.665968828643150212e-01,1.697426756608583664e+00
1.302605210420841608e+01,4.606413278243454701e-01,1.727099976133329717e-01,3.666486745623218635e-01,1.889336237748736158e+00
1.402805611222444782e+01,4.815958454629482577e-01,4.451251508532214074e-01,7.327900368383050145e-02,1.662931222646678808e+00
1.503006012024047955e+01,6.525909511078917813e-01,2.665480627049423012e-01,8.086098618716644482e-02,1.587190563058482606e+00
1.603206412825651128e+01,7.008068800984357249e-01,2.423131155127434405e-02,2.749618083502907151e-01,1.301817546238008827e+00
1.703406813627254479e+01,6.163144912141700349e-01,4.666910034658047074e-02,3.370164084392499038e-01,1.501516968311485734e+00
1.803607214428857475e+01,6.259977654006052550e-01,8.429508204899102686e-02,2.897071525504044121e-01,1.623690064149782453e+00
1.903807615230460826e+01,5.440056066162783921e-01,4.012238636366650124e-01,5.477052974705706040e-02,1.576091588609499938e+00
2.004008016032063821e+01,5.124439251431371911e-01,3.699328706626191510e-01,1.176232041942439632e-01,1.779006868112188000e+00
2.104208416833667172e+01,5.561919195452733611e-01,8.479856727196889710e-02,3.590095131827581998e-01,1.677015349227183094e+00
2.204408817635270168e+01,6.176678923488641004e-01,5.615653909661752485e-02,3.261755685545190131e-01,1.540867994167731236e+00
2.304609218436873519e+01,7.750558086902151755e-01,1.845297596203051421e-02,2.064912153477549694e-01,1.162744702230264604e+00
2.404809619238476870e+01,6.761258179173299521e-01,2.932660510060143833e-01,3.060813107665628571e-02,1.367785233065409001e+00
2.505010020040079866e+01,4.436684075458328658e-01,4.127565840719520374e-01,1.435750083822155132e-01,1.847516738759478638e+00
2.605210420841683217e+01,4.021934566238742903e-01,1.638454945192646117e-01,4.339610488568615421e-01,1.882262599849742646e+00
2.705410821643286212e+01,5.489823797651289805e-01,1.162524661225823042e-01,3.347651541122891872e-01,1.757195637571168145e+00
