time_fs,pop_1,pop_2,pop_3,coherence
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.989486453698858126e-01,1.047722864465664046e-03,3.631765648589858932e-06,6.863074245323197431e-02
4.000000000000000000e+00,9.957143608856042771e-01,4.270699058340117656e-03,1.494005605564721433e-05,1.385973369012807321e-01
6.000000000000000000e+00,9.903439988880367029e-01,9.620732679010967139e-03,3.526843295221046846e-05,2.081206347996870099e-01
8.000000000000000000e+00,9.831648139851612012e-01,1.676698270453068698e-02,6.820331030812847397e-05,2.745941195492873632e-01
1.000000000000000000e+01,9.739589849475535077e-01,2.592614568112536905e-02,1.148693713210247508e-04,3.416413225588402769e-01
1.200000000000000000e+01,9.647429646345649923e-01,3.506856202426529567e-02,1.884733411697068887e-04,3.995665048769505567e-01
1.400000000000000000e+01,9.536680000326748230e-01,4.605092875649405976e-02,2.810712108311938452e-04,4.582939143236020030e-01
1.600000000000000000e+01,9.394952411001753489e-01,6.007482259724281071e-02,4.299363025819540789e-04,5.250342405691137415e-01
1.800000000000000000e+01,9.255398085429975552e-01,7.387243445981923895e-02,5.877569971832200457e-04,5.818462484023811943e-01
2.000000000000000000e+01,9.130166009944320482e-01,8.625661247277342791e-02,7.267865327946026978e-04,6.276877555073521187e-01
2.200000000000000000e+01,8.932328752331646360e-01,1.057981612388621540e-01,9.689635279732679556e-04,6.934425084705631015e-01
2.400000000000000000e+01,8.750413143873774224e-01,1.237113912653329678e-01,1.247294347289539277e-03,7.481006857148359002e-01
2.600000000000000000e+01,8.610559061759769373e-01,1.372720413291206309e-01,1.672052494902477116e-03,7.930127087594573965e-01
2.800000000000000000e+01,8.430721222573659412e-01,1.548383073578550873e-01,2.089570384779032650e-03,8.413809422040288144e-01
3.000000000000000000e+01,8.270395708273348134e-01,1.704717669716832584e-01,2.488662200981976713e-03,8.799871210295651114e-01
3.200000000000000000e+01,8.053941300790312674e-01,1.914415442459602157e-01,3.164325675008514312e-03,9.329643578662878411e-01
3.400000000000000000e+01,7.831373078207297667e-01,2.131643763885291143e-01,3.698315790741225299e-03,9.790459433620923857e-01
3.600000000000000000e+01,7.588160645056183373e-01,2.367990972516610393e-01,4.384838242720495022e-03,1.024295829140668523e+00
3.800000000000000000e+01,7.318715773770340105e-01,2.626992679661492303e-01,5.429154656816786995e-03,1.076106674774632399e+00
4.000000000000000000e+01,7.065161386062763782e-01,2.866772764673121698e-01,6.806584926411493597e-03,1.125601044033794906e+00
4.200000000000000000e+01,6.863739538344739710e-01,3.038231079683709202e-01,9.802938197155107100e-03,1.182803738380243885e+00
4.400000000000000000e+01,3.737167066208044175e-01,6.238236348440386880e-01,2.459658535156862818e-03,1.025172574494832567e+00
4.600000000000000000e+01,6.870578150049244659e-01,3.113882962640941443e-01,1.553888730981443358e-03,9.137426071106791170e-01
4.800000000000000000e+01,6.520406492599842840e-01,3.401867119344554879e-01,7.772638805560215872e-03,6.939017761249544058e-01
5.000000000000000000e+01,6.423255369405183046e-01,3.425058614413764024e-01,1.516860161810539877e-02,6.633345722672934208e-01
5.200000000000000000e+01,7.324481048131125105e-01,2.520344050099392885e-01,1.551749017694820099e-02,1.024297771879844721e+00
5.400000000000000000e+01,6.612997536142380950e-01,3.205346915436741440e-01,1.816555484208780269e-02,6.650292862704305641e-01
5.600000000000000000e+01,5.810681334759051353e-01,3.952616117582335997e-01,2.367025476586135171e-02,1.031171187142879919e+00
5.800000000000000000e+01,4.935666077385275630e-01,4.730871775287870395e-01,3.334621473268552239e-02,1.377934023504543193e+00
6.000000000000000000e+01,3.696826130694138013e-01,5.874826739433750555e-01,4.283471298721117787e-02,9.724951778041661665e-01
6.200000000000000000e+01,5.196188188320245427e-01,4.553117747729586440e-01,2.506940639501679252e-02,8.403507440741335710e-01
6.400000000000000000e+01,2.894674473940958004e-01,6.712019676614612296e-01,3.933058494444305331e-02,9.647264198577196748e-01
6.600000000000000000e+01,2.652766567389370778e-01,6.933098222045174230e-01,4.141352105654552695e-02,1.043932367809720763e+00
6.800000000000000000e+01,3.859880312000260605e-01,5.785378225937634067e-01,3.547414620621045650e-02,6.694424351061201151e-01
7.000000000000000000e+01,2.618064887032717780e-01,6.968767151145400796e-01,4.131679618218796896e-02,8.748804280724938875e-01
7.200000000000000000e+01,4.430698799328358639e-01,5.293124471712333801e-01,2.761767289593087399e-02,5.977135287488213322e-01
7.400000000000000000e+01,7.002179544920512644e-01,2.854207952631855894e-01,1.436125024476320525e-02,4.684751192459375435e-01
7.600000000000000000e+01,4.336256171916570423e-01,5.250673603538854595e-01,4.130702245445747045e-02,6.757128301010266735e-01
7.800000000000000000e+01,4.922442764510739366e-01,4.794581091765265368e-01,2.829761437239947108e-02,7.062451541446068681e-01
8.000000000000000000e+01,1.770534692054887282e-01,7.715368496987795588e-01,5.140968109573160888e-02,6.942590646302265744e-01
8.200000000000000000e+01,6.106632265092349909e-01,3.577973969800374299e-01,3.153937651072767634e-02,4.331277548131049482e-01
8.400000000000000000e+01,3.649760874531997601e-01,6.042270502350595152e-01,3.079686231174083924e-02,5.874864218677988692e-01
8.600000000000000000e+01,4.598112563820841991e-01,5.019254945544903146e-01,3.826324906342538912e-02,7.733347100328765711e-01
8.800000000000000000e+01,3.323501138403259780e-01,6.351684119331668654e-01,3.248147422650719124e-02,5.334103321415359922e-01
9.000000000000000000e+01,4.356750838930710801e-01,5.295563614889829962e-01,3.476855461794587515e-02,4.271771319482311480e-01
9.200000000000000000e+01,6.523838107919924800e-01,3.183146669177145394e-01,2.930152229029308122e-02,6.122274957078031044e-01
9.400000000000000000e+01,3.928533611936866898e-01,5.717720568879497423e-01,3.537458191836358873e-02,7.515111021821134774e-01
9.600000000000000000e+01,5.548486511598030857e-01,4.165113495794108833e-01,2.863999926078588873e-02,5.945585550443140965e-01
9.800000000000000000e+01,2.959529674521001463e-01,6.568505332440566225e-01,4.719649930384327979e-02,1.057010851139007723e+00
1.000000000000000000e+02,4.186199140630759707e-01,5.464760450811777526e-01,3.490404085574626974e-02,8.792130333168477474e-01
