time_days,temperature_k,humidity,wind_speed_m_s,dust_thickness,pce_with_environment,etr_with_environment
0.000000e+00,2.930000e+02,6.414214e-01,3.330640e+00,1.156822e-01,1.687877e-01,8.935821e-01
1.002747e+00,2.931726e+02,6.438413e-01,4.153546e+00,1.334615e-01,1.686060e-01,8.926200e-01
2.005495e+00,2.933452e+02,6.462184e-01,4.367685e+00,1.517886e-01,1.684187e-01,8.916284e-01
3.008242e+00,2.935176e+02,6.485519e-01,3.370851e+00,1.720330e-01,1.682119e-01,8.905334e-01
4.010989e+00,2.936899e+02,6.508412e-01,4.606043e+00,1.883412e-01,1.680452e-01,8.896509e-01
5.013736e+00,2.938620e+02,6.530855e-01,4.408300e+00,2.070966e-01,1.678535e-01,8.886363e-01
6.016484e+00,2.940338e+02,6.552842e-01,3.030877e+00,6.855959e-02,1.692659e-01,8.961138e-01
7.019231e+00,2.942054e+02,6.574367e-01,4.133517e+00,8.672670e-02,1.690803e-01,8.951310e-01
8.021978e+00,2.943765e+02,6.595422e-01,3.763897e+00,1.059609e-01,1.688838e-01,8.940907e-01
9.024725e+00,2.945473e+02,6.616002e-01,4.024152e+00,1.244739e-01,1.686947e-01,8.930894e-01
1.002747e+01,2.947176e+02,6.636101e-01,4.438971e+00,4.277831e-02,1.695274e-01,8.974982e-01
1.103022e+01,2.948874e+02,6.655712e-01,3.778780e+00,6.214777e-02,1.693296e-01,8.964507e-01
1.203297e+01,2.950566e+02,6.674830e-01,3.223906e+00,8.160909e-02,1.691308e-01,8.953983e-01
1.303571e+01,2.952252e+02,6.693448e-01,4.123891e+00,9.974640e-02,1.689455e-01,8.944175e-01
1.403846e+01,2.953932e+02,6.711563e-01,3.656305e+00,1.190950e-01,1.687479e-01,8.933713e-01
1.504121e+01,2.955604e+02,6.729167e-01,3.540286e+00,1.380606e-01,1.685542e-01,8.923458e-01
1.604396e+01,2.957269e+02,6.746256e-01,4.023295e+00,1.560571e-01,1.683704e-01,8.913726e-01
1.704670e+01,2.958925e+02,6.762824e-01,3.196479e+00,1.760942e-01,1.681658e-01,8.902894e-01
1.804945e+01,2.960573e+02,6.778868e-01,4.527632e+00,1.921852e-01,1.680014e-01,8.894193e-01
1.905220e+01,2.962212e+02,6.794381e-01,3.430586e+00,2.128535e-01,1.677904e-01,8.883021e-01
2.005495e+01,2.963841e+02,6.809360e-01,3.609080e+00,2.309151e-01,1.676060e-01,8.873256e-01
2.105769e+01,2.965460e+02,6.823800e-01,3.728587e+00,2.489847e-01,1.674214e-01,8.863488e-01
2.206044e+01,2.967069e+02,6.837696e-01,3.483747e+00,2.679120e-01,1.672282e-01,8.853257e-01
2.306319e+01,2.968667e+02,6.851045e-01,4.893568e+00,2.821496e-01,1.670828e-01,8.845559e-01
2.406593e+01,2.970253e+02,6.863842e-01,3.574315e+00,3.040507e-01,1.668592e-01,8.833724e-01
2.506868e+01,2.971827e+02,6.876084e-01,3.499648e+00,3.223729e-01,1.666722e-01,8.823822e-01
2.607143e+01,2.973388e+02,6.887767e-01,3.054345e+00,3.419147e-01,1.664727e-01,8.813261e-01
2.707418e+01,2.974937e+02,6.898887e-01,3.874543e+00,3.570052e-01,1.663186e-01,8.805104e-01
2.807692e+01,2.976472e+02,6.909442e-01,3.845114e+00,3.749275e-01,1.661357e-01,8.795419e-01
2.907967e+01,2.977994e+02,6.919427e-01,4.835670e+00,3.888029e-01,1.659940e-01,8.787920e-01
3.008242e+01,2.979501e+02,6.928841e-01,3.484241e+00,4.118317e-01,1.657590e-01,8.775479e-01
3.108516e+01,2.980993e+02,6.937680e-01,4.059850e+00,4.270344e-01,1.655381e-01,8.765522e-01
3.208791e+01,2.982470e+02,6.945942e-01,3.645633e+00,4.463757e-01,1.652430e-01,8.752488e-01
3.309066e+01,2.983932e+02,6.953624e-01,3.388229e+00,4.650698e-01,1.649559e-01,8.739837e-01
3.409341e+01,2.985377e+02,6.960724e-01,3.312472e+00,4.829089e-01,1.646787e-01,8.727682e-01
3.509615e+01,2.986806e+02,6.967240e-01,4.734718e+00,4.932601e-01,1.644790e-01,8.719599e-01
3.609890e+01,2.988219e+02,6.973169e-01,4.734171e+00,5.103650e-01,1.642119e-01,8.707908e-01
3.710165e+01,2.989613e+02,6.978511e-01,3.617176e+00,5.333228e-01,1.638867e-01,8.693100e-01
3.810440e+01,2.990990e+02,6.983263e-01,4.871727e+00,5.436161e-01,1.636915e-01,8.685153e-01
3.910714e+01,2.992349e+02,6.987424e-01,3.052373e+00,5.707813e-01,1.633264e-01,8.668155e-01
4.010989e+01,2.993689e+02,6.990993e-01,4.397500e+00,5.800419e-01,1.631445e-01,8.660836e-01
4.111264e+01,2.995010e+02,6.993969e-01,3.949386e+00,5.995419e-01,1.628601e-01,8.648043e-01
4.211538e+01,2.996312e+02,6.996351e-01,3.221981e+00,6.208691e-01,1.625586e-01,8.634306e-01
4.311813e+01,2.997594e+02,6.998138e-01,3.174812e+00,6.380524e-01,1.623007e-01,8.622840e-01
4.412088e+01,2.998856e+02,6.999330e-01,3.937782e+00,6.498977e-01,1.620983e-01,8.614284e-01
4.512363e+01,3.000098e+02,6.999926e-01,4.266462e+00,6.643387e-01,1.618711e-01,8.604372e-01
4.612637e+01,3.001318e+02,6.999926e-01,4.159602e+00,6.815740e-01,1.616172e-01,8.592998e-01
4.712912e+01,3.002518e+02,6.999330e-01,3.822689e+00,7.003885e-01,1.613488e-01,8.580817e-01
4.813187e+01,3.003695e+02,6.998138e-01,4.617279e+00,7.111635e-01,1.611633e-01,8.572998e-01
4.913462e+01,3.004851e+02,6.996351e-01,4.333118e+00,7.294864e-01,1.609032e-01,8.561166e-01
5.013736e+01,3.005985e+02,6.993969e-01,4.360292e+00,7.455177e-01,1.606677e-01,8.550607e-01
5.114011e+01,3.007095e+02,6.990993e-01,3.195966e+00,7.706026e-01,1.603426e-01,8.535231e-01
5.214286e+01,3.008183e+02,6.987424e-01,4.972964e+00,7.730316e-01,1.602476e-01,8.532063e-01
5.314560e+01,3.009248e+02,6.983263e-01,4.310545e+00,7.942128e-01,1.599652e-01,8.518872e-01
5.414835e+01,3.010289e+02,6.978511e-01,4.612614e+00,8.077485e-01,1.597616e-01,8.509829e-01
5.515110e+01,3.011306e+02,6.973169e-01,4.384763e+00,8.254947e-01,1.595171e-01,8.498571e-01
5.615385e+01,3.012298e+02,6.967240e-01,3.352841e+00,8.500616e-01,1.592058e-01,8.483701e-01
5.715659e+01,3.013267e+02,6.960724e-01,4.790490e+00,8.536409e-01,1.591074e-01,8.480134e-01
5.815934e+01,3.014210e+02,6.953624e-01,4.084943e+00,8.754458e-01,1.588274e-01,8.466838e-01
5.916209e+01,3.015128e+02,6.945942e-01,4.755096e+00,8.851914e-01,1.586704e-01,8.460054e-01
6.016484e+01,3.016021e+02,6.937680e-01,3.297438e+00,9.139475e-01,1.583240e-01,8.443127e-01
6.116758e+01,3.016889e+02,6.928841e-01,4.073249e+00,9.224586e-01,1.581829e-01,8.437098e-01
6.217033e+01,3.017730e+02,6.919427e-01,4.313963e+00,2.807146e-01,1.645744e-01,8.779519e-01
6.317308e+01,3.018546e+02,6.909442e-01,4.521977e+00,2.981265e-01,1.643453e-01,8.768757e-01
6.417582e+01,3.019335e+02,6.898887e-01,4.403153e+00,3.164255e-01,1.641091e-01,8.757571e-01
6.517857e+01,3.020097e+02,6.887767e-01,3.083099e+00,3.387405e-01,1.638345e-01,8.744284e-01
6.618132e+01,3.020832e+02,6.876084e-01,3.975222e+00,3.536095e-01,1.636366e-01,8.735036e-01
6.718407e+01,3.021541e+02,6.863842e-01,3.816996e+00,3.720038e-01,1.634052e-01,8.723951e-01
6.818681e+01,3.022222e+02,6.851045e-01,4.069361e+00,3.887844e-01,1.631919e-01,8.713781e-01
6.918956e+01,3.022876e+02,6.837696e-01,4.118532e+00,4.062319e-01,1.629738e-01,8.703305e-01
7.019231e+01,3.023502e+02,6.823800e-01,3.698435e+00,4.255841e-01,1.627386e-01,8.691861e-01
7.119505e+01,3.024100e+02,6.809360e-01,3.661162e+00,4.433208e-01,1.625216e-01,8.681333e-01
7.219780e+01,3.024670e+02,6.794381e-01,3.065028e+00,4.635839e-01,1.622811e-01,8.669506e-01
7.320055e+01,3.025212e+02,6.778868e-01,3.152939e+00,4.807031e-01,1.620742e-01,8.659413e-01
7.420330e+01,3.025725e+02,6.762824e-01,3.334287e+00,4.972569e-01,1.618748e-01,8.649674e-01
7.520604e+01,3.026210e+02,6.746256e-01,3.691993e+00,5.127745e-01,1.616877e-01,8.640541e-01
7.620879e+01,3.026667e+02,6.729167e-01,4.888324e+00,5.236957e-01,1.615487e-01,8.633919e-01
7.721154e+01,3.027094e+02,6.711563e-01,4.219192e+00,5.442766e-01,1.613149e-01,8.622182e-01
7.821429e+01,3.027493e+02,6.693448e-01,3.373604e+00,5.660394e-01,1.610712e-01,8.609866e-01
7.921703e+01,3.027862e+02,6.674830e-01,3.234818e+00,5.839216e-01,1.608684e-01,8.599678e-01
8.021978e+01,3.028203e+02,6.655712e-01,3.925976e+00,5.968101e-01,1.607175e-01,8.592212e-01
8.122253e+01,3.028514e+02,6.636101e-01,4.891511e+00,6.077564e-01,1.605879e-01,8.585836e-01
8.222527e+01,3.028796e+02,6.616002e-01,3.291766e+00,6.344392e-01,1.603030e-01,8.571100e-01
8.322802e+01,3.029048e+02,6.595422e-01,3.947234e+00,6.469990e-01,1.601613e-01,8.563966e-01
8.423077e+01,3.029271e+02,6.574367e-01,4.489284e+00,6.600495e-01,1.600166e-01,8.556623e-01
8.523352e+01,3.029464e+02,6.552842e-01,3.075151e+00,6.861663e-01,1.597432e-01,8.542346e-01
8.623626e+01,3.029628e+02,6.530855e-01,3.327415e+00,7.010452e-01,1.595842e-01,8.534130e-01
8.723901e+01,3.029762e+02,6.508412e-01,4.478914e+00,7.093709e-01,1.594926e-01,8.529468e-01
8.824176e+01,3.029866e+02,6.485519e-01,4.471106e+00,2.177142e-01,1.644001e-01,8.792102e-01
8.924451e+01,3.029940e+02,6.462184e-01,3.137718e+00,2.391363e-01,1.641814e-01,8.780540e-01
9.024725e+01,3.029985e+02,6.438413e-01,3.007161e+00,2.578984e-01,1.639913e-01,8.770453e-01
9.125000e+01,3.030000e+02,6.414214e-01,4.186829e+00,8.191031e-02,1.657495e-01,8.864514e-01
9.225275e+01,3.029985e+02,6.389593e-01,4.808957e+00,1.001377e-01,1.655687e-01,8.854820e-01
9.325549e+01,3.029940e+02,6.364558e-01,4.703677e+00,1.189232e-01,1.653844e-01,8.844881e-01
9.425824e+01,3.029866e+02,6.339116e-01,4.026164e+00,1.384635e-01,1.651946e-01,8.834592e-01
9.526099e+01,3.029762e+02,6.313276e-01,4.387949e+00,1.565530e-01,1.650212e-01,8.825131e-01
9.626374e+01,3.029628e+02,6.287044e-01,3.208699e+00,1.771449e-01,1.648248e-01,8.814386e-01
9.726648e+01,3.029464e+02,6.260429e-01,3.287801e+00,1.956499e-01,1.646513e-01,8.804808e-01
9.826923e+01,3.029271e+02,6.233438e-01,3.123254e+00,2.145733e-01,1.644756e-01,8.795060e-01
9.927198e+01,3.029048e+02,6.206079e-01,4.167719e+00,2.306780e-01,1.643299e-01,8.786870e-01
1.002747e+02,3.028796e+02,6.178362e-01,4.728877e+00,2.475458e-01,1.641786e-01,8.778324e-01
1.012775e+02,3.028514e+02,6.150293e-01,3.763021e+00,2.682099e-01,1.639913e-01,8.767800e-01
1.022802e+02,3.028203e+02,6.121881e-01,4.010069e+00,2.856918e-01,1.638378e-01,8.759028e-01
1.032830e+02,3.027862e+02,6.093136e-01,3.803827e+00,3.043900e-01,1.636739e-01,8.749656e-01
1.042857e+02,3.027493e+02,6.064064e-01,4.903557e+00,3.188996e-01,1.635539e-01,8.742575e-01
1.052885e+02,3.027094e+02,6.034676e-01,4.517876e+00,3.379679e-01,1.633902e-01,8.733106e-01
1.062912e+02,3.026667e+02,6.004979e-01,3.930304e+00,3.578289e-01,1.632204e-01,8.723263e-01
1.072940e+02,3.026210e+02,5.974983e-01,4.943279e+00,3.718410e-01,1.631110e-01,8.716597e-01
1.082967e+02,3.025725e+02,5.944696e-01,3.656698e+00,3.944312e-01,1.629175e-01,8.705392e-01
1.092995e+02,3.025212e+02,5.914128e-01,3.788970e+00,4.115905e-01,1.627803e-01,8.697140e-01
1.103022e+02,3.024670e+02,5.883287e-01,3.844233e+00,4.289634e-01,1.626427e-01,8.688821e-01
1.113049e+02,3.024100e+02,5.852183e-01,3.493200e+00,4.480634e-01,1.624896e-01,8.679626e-01
1.123077e+02,3.023502e+02,5.820826e-01,3.806074e+00,4.641302e-01,1.623687e-01,8.672102e-01
1.133104e+02,3.022876e+02,5.789223e-01,4.972857e+00,4.759410e-01,1.622922e-01,8.666902e-01
1.143132e+02,3.022222e+02,5.757386e-01,4.322821e+00,4.962826e-01,1.621319e-01,8.657182e-01
1.153159e+02,3.021541e+02,5.725323e-01,4.568067e+00,5.121936e-01,1.620178e-01,8.649880e-01
1.163187e+02,3.020832e+02,5.693044e-01,4.483858e+00,1.589093e-01,1.656092e-01,8.840337e-01
1.173214e+02,3.020097e+02,5.660558e-01,3.374562e+00,1.793755e-01,1.654539e-01,8.830715e-01
1.183242e+02,3.019335e+02,5.627876e-01,3.192406e+00,1.983553e-01,1.653152e-01,8.821933e-01
1.193269e+02,3.018546e+02,5.595006e-01,3.493511e+00,2.162813e-01,1.651888e-01,8.813761e-01
1.203297e+02,3.017730e+02,5.561959e-01,3.755587e+00,2.341152e-01,1.650649e-01,8.805682e-01
